"Wissenschaftlicher Name","Deutscher Name","Produzent","URL"
"Acer opalus","Schneeballblättriger Ahorn","Hof Berg-Garten",NA
"Achillea nobilis","Edel-Schafgarbe","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/achillea-nobilis-saatgut-kaufen.html"
"Achillea nobilis","Edel-Schafgarbe","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/achillea-nobilis-506-wildpflanze-naturnah.html"
"Aconitum variegatum","Bunter Eisenhut","Hof Berg-Garten",NA
"Adonis aestivalis","Sommer-Adonisröschen,Blutauge, Blutströpfchen, Sommerblutströpfchen, Feuerröschen, Kleines Teufelsauge","Hof Berg-Garten",NA
"Agrostemma githago","Gewöhnliche Kornrade","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/agrostemma-githago-saatgut-kaufen.html"
"Agrostis vinealis","Schmalrispiges Straußgras","Hof Berg-Garten",NA
"Ajuga chamaepitys","Gelber Günsel,Acker-Günsel","Hof Berg-Garten",NA
"Alchemilla hoppeana","Berg-Silbermantel","Hof Berg-Garten",NA
"Allium angulosum","Kanten-Lauch","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/allium-angulosum-wildpflanze-naturnah.html"
"Allium carinatum","Kiel-Lauch","Hof Berg-Garten",NA
"Allium rotundum","Runder Lauch","Hof Berg-Garten",NA
"Allium schoenoprasum","Schnittlauch","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/allium-schoenoprasum-saatgut-kaufen.html"
"Allium schoenoprasum","Schnittlauch","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/allium-schoenoprasum-519-wildpflanze-naturnah.html"
"Allium sphaerocephalon","Kugelköpfiger Lauch,Kopflauch","Hof Berg-Garten",NA
"Allium suaveolens","Duftlauch,Wohlriechender Lauch","Hof Berg-Garten",NA
"Alnus alnobetula","Grün-Erle","Hof Berg-Garten",NA
"Althaea officinalis","Echter Eibisch","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/althaea-officinalis-saatgut-kaufen.html"
"Althaea officinalis","Echter Eibisch","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/althaea-officinalis-523-wildpflanze-naturnah.html"
"Alyssum alyssoides","Kelch-Steinkraut","Hof Berg-Garten",NA
"Anagallis tenella","Zarter Gauchheil","Hof Berg-Garten",NA
"Anchusa officinalis","Gemeine Ochsenzunge","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/anchusa-officinalis-saatgut-kaufen.html"
"Anchusa officinalis","Gemeine Ochsenzunge","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/anchusa-officinalis-527-wildpflanze-naturnah.html"
"Andromeda polifolia","Polei-Gränke,Lavendelheide, Rosmarinheide","Hof Berg-Garten",NA
"Anemone narcissiflora","Narzissen-Windröschen","Hof Berg-Garten",NA
"Anemone sylvestris","Großes Windröschen","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/anemone-sylvestris-wildpflanze-naturnah.html"
"Antennaria dioica","Gewöhnliche Katzenpfötchen","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/antennaria-dioica-saatgut-kaufen.html"
"Antennaria dioica","Gewöhnliche Katzenpfötchen","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/antennaria-dioica-534-wildpflanze-naturnah.html"
"Anthemis arvensis","Acker-Hundskamille","Hof Berg-Garten",NA
"Anthemis tinctoria","Färberkamille,Färber-Hundskamille","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/anthemis-tinctoria-saatgut-kaufen.html"
"Anthemis tinctoria","Färberkamille,Färber-Hundskamille","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/anthemis-tinctoria-535-wildpflanze-naturnah.html"
"Anthericum liliago","Traubige Graslilie,Astlose Graslilie","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/anthericum-liliago-saatgut-kaufen.html"
"Anthericum liliago","Traubige Graslilie,Astlose Graslilie","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/anthericum-liliago-536-wildpflanze-naturnah.html"
"Anthericum ramosum","Ästige Graslilie,Rispige Graslilie","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/anthericum-ramosum-saatgut-kaufen.html"
"Anthericum ramosum","Ästige Graslilie,Rispige Graslilie","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/anthericum-ramosum-537-wildpflanze-naturnah.html"
"Apium graveolens","Sellerie","Hof Berg-Garten",NA
"Apium nodiflorum","Knotenblütiger Sellerie,Sumpfschirm","Hof Berg-Garten",NA
"Aquilegia atrata","Schwarzviolette Akelei","Hof Berg-Garten",NA
"Aquilegia vulgaris","Gemeine Akelei","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/aquilegia-vulgaris-saatgut-kaufen.html"
"Aquilegia vulgaris","Gemeine Akelei","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/aquilegia-vulgaris-alba-wildpflanze-naturnah.html"
"Aquilegia vulgaris","Gemeine Akelei","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/aquilegia-vulgaris-541-wildpflanze-naturnah.html"
"Arabis alpina","Alpen-Gänsekresse","Hof Berg-Garten",NA
"Arctostaphylos uva-ursi","Echte Bärentraube","Hof Berg-Garten",NA
"Arnica montana","Echte Arnika","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/arnica-montana-397-saatgut-kaufen.html"
"Artemisia campestris","Feld-Beifuß","Hof Berg-Garten",NA
"Artemisia pontica","Pontischer Beifuß,Römischer Wermut","Hof Berg-Garten",NA
"Asperula tinctoria","Färber-Meier","Hof Berg-Garten",NA
"Aster amellus","Berg-Aster,Kalk-Aster","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/aster-amellus-saatgut-kaufen.html"
"Aster amellus","Berg-Aster,Kalk-Aster","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/aster-amellus-556-wildpflanze-naturnah.html"
"Aster bellidiastrum","Alpenmaßlieb","Hof Berg-Garten",NA
"Aster linosyris","Goldhaar-Aster","Hof Berg-Garten",NA
"Astragalus cicer","Kicher-Tragant","Hof Berg-Garten",NA
"Athamanta cretensis","Alpen-Augenwurz,Zottige Augenwurz","Hof Berg-Garten",NA
"Bartsia alpina","Alpen-Bartschie,Alpenhelm","Hof Berg-Garten",NA
"Betula humilis","Niedrige Birke","Hof Berg-Garten",NA
"Betula nana","Zwerg-Birke","Hof Berg-Garten",NA
"Bryonia alba","Weiße Zaunrübe","Hof Berg-Garten",NA
"Buphthalmum salicifolium","Ochsenauge,Weidenblatt-Rindsauge","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/buphthalmum-salicifolium-saatgut-kaufen.html"
"Buphthalmum salicifolium","Ochsenauge,Weidenblatt-Rindsauge","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/buphthalmum-salicifolium-566-wildpflanze-naturnah.html"
"Bupleurum longifolium","Langblättriges Hasenohr","Hof Berg-Garten",NA
"Bupleurum rotundifolium","Rundblättriges Hasenohr,Acker-Hasenohr, Durchwachskraut, Durchwachs-Hasenohr","Hof Berg-Garten",NA
"Calamagrostis pseudophragmites","Ufer-Reitgras","Hof Berg-Garten",NA
"Calamagrostis varia","Berg-Reitgras","Hof Berg-Garten",NA
