"Wissenschaftlicher Name","Deutscher Name","Produzent","URL"
"Acer opalus","Schneeballblättriger Ahorn","Blauetikett Bornträger",NA
"Achillea nobilis","Edel-Schafgarbe","Blauetikett Bornträger",NA
"Aconitum variegatum","Bunter Eisenhut","Blauetikett Bornträger",NA
"Adonis aestivalis","Sommer-Adonisröschen,Blutauge, Blutströpfchen, Sommerblutströpfchen, Feuerröschen, Kleines Teufelsauge","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/adonis-aestivalis-blutstr-pfchen.html"
"Agrostemma githago","Gewöhnliche Kornrade","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/agrostemma-githago-kornrade.html"
"Agrostis vinealis","Schmalrispiges Straußgras","Blauetikett Bornträger",NA
"Ajuga chamaepitys","Gelber Günsel,Acker-Günsel","Blauetikett Bornträger",NA
"Alchemilla hoppeana","Berg-Silbermantel","Blauetikett Bornträger",NA
"Allium angulosum","Kanten-Lauch","Blauetikett Bornträger",NA
"Allium carinatum","Kiel-Lauch","Blauetikett Bornträger",NA
"Allium rotundum","Runder Lauch","Blauetikett Bornträger",NA
"Allium schoenoprasum","Schnittlauch","Blauetikett Bornträger",NA
"Allium sphaerocephalon","Kugelköpfiger Lauch,Kopflauch","Blauetikett Bornträger",NA
"Allium suaveolens","Duftlauch,Wohlriechender Lauch","Blauetikett Bornträger",NA
"Alnus alnobetula","Grün-Erle","Blauetikett Bornträger",NA
"Althaea officinalis","Echter Eibisch","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/althaea-officinalis-eibisch.html"
"Alyssum alyssoides","Kelch-Steinkraut","Blauetikett Bornträger",NA
"Anagallis tenella","Zarter Gauchheil","Blauetikett Bornträger",NA
"Anchusa officinalis","Gemeine Ochsenzunge","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/anchusa-officinalis-ochsenzunge.html"
"Andromeda polifolia","Polei-Gränke,Lavendelheide, Rosmarinheide","Blauetikett Bornträger",NA
