"Wissenschaftlicher Name","Deutscher Name","Produzent","URL"
"Acer opalus","Schneeballblättriger Ahorn","Staudengärtnerei StaudenSpatz",NA
"Achillea nobilis","Edel-Schafgarbe","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/edle-schafgarbe-duft-scharfgarbe-achillea-nobilis.html"
"Aconitum variegatum","Bunter Eisenhut","Staudengärtnerei StaudenSpatz",NA
"Adonis aestivalis","Sommer-Adonisröschen,Blutauge, Blutströpfchen, Sommerblutströpfchen, Feuerröschen, Kleines Teufelsauge","Staudengärtnerei StaudenSpatz",NA
"Agrostemma githago","Gewöhnliche Kornrade","Staudengärtnerei StaudenSpatz",NA
"Agrostis vinealis","Schmalrispiges Straußgras","Staudengärtnerei StaudenSpatz",NA
"Ajuga chamaepitys","Gelber Günsel,Acker-Günsel","Staudengärtnerei StaudenSpatz",NA
"Alchemilla hoppeana","Berg-Silbermantel","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/hoppes-frauenmantel-alchemilla-hoppeana.html"
"Allium angulosum","Kanten-Lauch","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/kanten-lauch-allium-angulosum.html"
"Allium carinatum","Kiel-Lauch","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/nickender-schoenlauch-allium-carinatum-ssp-pulchellum.html"
"Allium rotundum","Runder Lauch","Staudengärtnerei StaudenSpatz",NA
"Allium schoenoprasum","Schnittlauch","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/schnittlauch-allium-schoenoprasum.html"
"Allium schoenoprasum","Schnittlauch","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/schnittlauch-forescate-allium-schoenoprasum-forescate.html"
"Allium schoenoprasum","Schnittlauch","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/weisser-schnitt-lauch-elbe-allium-schoenoprasum-elbe.html"
"Allium sphaerocephalon","Kugelköpfiger Lauch,Kopflauch","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/kugelkoepfiger-lauch-allium-sphaerocephalon.html"
"Allium suaveolens","Duftlauch,Wohlriechender Lauch","Staudengärtnerei StaudenSpatz",NA
"Alnus alnobetula","Grün-Erle","Staudengärtnerei StaudenSpatz",NA
"Althaea officinalis","Echter Eibisch","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/echter-eibisch-samtpappel-althaea-officinalis.html"
"Alyssum alyssoides","Kelch-Steinkraut","Staudengärtnerei StaudenSpatz",NA
"Anagallis tenella","Zarter Gauchheil","Staudengärtnerei StaudenSpatz",NA
"Anchusa officinalis","Gemeine Ochsenzunge","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/ochsenzunge-anchusa-officinalis.html"
"Andromeda polifolia","Polei-Gränke,Lavendelheide, Rosmarinheide","Staudengärtnerei StaudenSpatz",NA
"Anemone narcissiflora","Narzissen-Windröschen","Staudengärtnerei StaudenSpatz",NA
"Anemone sylvestris","Großes Windröschen","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/wald-anemone-grosses-windroeschen-anemone-sylvestris.html"
"Antennaria dioica","Gewöhnliche Katzenpfötchen","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/katzenpfoetchen-antennaria-dioica.html"
"Antennaria dioica","Gewöhnliche Katzenpfötchen","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/katzenpfoetchen-grillfeuer-antennaria-dioica-grillfeuer.html"
"Antennaria dioica","Gewöhnliche Katzenpfötchen","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/katzenpfoetchen-rotes-wunder-antennaria-dioica-rotes-wunder.html"
"Anthemis arvensis","Acker-Hundskamille","Staudengärtnerei StaudenSpatz",NA
"Anthemis tinctoria","Färberkamille,Färber-Hundskamille","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/faerberkamille-anthemis-tinctoria.html"
"Anthemis tinctoria","Färberkamille,Färber-Hundskamille","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/faerberkamille-e-c-buxton-anthemis-tinctoria-e-c-buxton.html"
"Anthericum liliago","Traubige Graslilie,Astlose Graslilie","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/traubige-graslilie-aehrige-graslilie-anthericum-liliago.html"
"Anthericum ramosum","Ästige Graslilie,Rispige Graslilie","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/aestige-graslilie-anthericum-ramosum.html"
"Apium graveolens","Sellerie","Staudengärtnerei StaudenSpatz",NA
"Apium nodiflorum","Knotenblütiger Sellerie,Sumpfschirm","Staudengärtnerei StaudenSpatz",NA
"Aquilegia atrata","Schwarzviolette Akelei","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/dunkle-akelei-aquilegia-atrata.html"
"Aquilegia vulgaris","Gemeine Akelei","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/gewoehnliche-akelei-aquilegia-vulgaris.html"
"Aquilegia vulgaris","Gemeine Akelei","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/gewoehnliche-akelei-aquilegia-vulgaris-alba.html"
"Arabis alpina","Alpen-Gänsekresse","Staudengärtnerei StaudenSpatz",NA
"Arctostaphylos uva-ursi","Echte Bärentraube","Staudengärtnerei StaudenSpatz",NA
"Arnica montana","Echte Arnika","Staudengärtnerei StaudenSpatz",NA
"Artemisia campestris","Feld-Beifuß","Staudengärtnerei StaudenSpatz",NA
"Artemisia pontica","Pontischer Beifuß,Römischer Wermut","Staudengärtnerei StaudenSpatz",NA
"Asperula tinctoria","Färber-Meier","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/faerber-meister-faerber-meier-asperula-tinctoria.html"
"Aster amellus","Berg-Aster,Kalk-Aster","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/berg-aster-dr-otto-petschek-aster-amellus-dr-otto-petschek.html"
"Aster amellus","Berg-Aster,Kalk-Aster","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/berg-aster-lady-hindlip-aster-amellus-lady-hindlip.html"
"Aster amellus","Berg-Aster,Kalk-Aster","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/berg-aster-rosa-erfuellung-aster-amellus-rosa-erfuellung.html"
"Aster amellus","Berg-Aster,Kalk-Aster","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/berg-aster-sternkugel-aster-amellus-sternkugel.html"
"Aster amellus","Berg-Aster,Kalk-Aster","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/berg-aster-veilchenkoenigin-aster-amellus-veilchenkoenigin.html"
"Aster amellus","Berg-Aster,Kalk-Aster","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/berg-aster-kalk-aster-aster-amellus.html"
"Aster bellidiastrum","Alpenmaßlieb","Staudengärtnerei StaudenSpatz",NA
"Aster linosyris","Goldhaar-Aster","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/goldhaar-aster-aster-linosyris.html"
"Astragalus cicer","Kicher-Tragant","Staudengärtnerei StaudenSpatz",NA
"Athamanta cretensis","Alpen-Augenwurz,Zottige Augenwurz","Staudengärtnerei StaudenSpatz",NA
"Bartsia alpina","Alpen-Bartschie,Alpenhelm","Staudengärtnerei StaudenSpatz",NA
"Betula humilis","Niedrige Birke","Staudengärtnerei StaudenSpatz",NA
"Betula nana","Zwerg-Birke","Staudengärtnerei StaudenSpatz",NA
"Bryonia alba","Weiße Zaunrübe","Staudengärtnerei StaudenSpatz",NA
"Buphthalmum salicifolium","Ochsenauge,Weidenblatt-Rindsauge","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/ochsenauge-buphthalmum-salicifolium.html"
"Bupleurum longifolium","Langblättriges Hasenohr","Staudengärtnerei StaudenSpatz",NA
"Bupleurum rotundifolium","Rundblättriges Hasenohr,Acker-Hasenohr, Durchwachskraut, Durchwachs-Hasenohr","Staudengärtnerei StaudenSpatz",NA
"Calamagrostis pseudophragmites","Ufer-Reitgras","Staudengärtnerei StaudenSpatz",NA
"Calamagrostis varia","Berg-Reitgras","Staudengärtnerei StaudenSpatz",NA
"Calendula arvensis","Acker-Ringelblume","Staudengärtnerei StaudenSpatz",NA
"Calla palustris","Sumpfkalla,Drachenwurz","Staudengärtnerei StaudenSpatz",NA
"Campanula cervicaria","Borstige Glockenblume","Staudengärtnerei StaudenSpatz",NA
"Campanula cochleariifolia","Zwerg-Glockenblume,Niedliche Glockenblume","Staudengärtnerei StaudenSpatz",NA
"Campanula glomerata","Knäuel-Glockenblume,Büschelglockenblume, Knäuekblütige Glockenblume","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/knaeul-glockenblume-campanula-glomerata.html"
"Campanula rhomboidalis","Rautenblättrige Glockenblume","Staudengärtnerei StaudenSpatz",NA
"Campanula scheuchzeri","Scheuchzers Glockenblume","Staudengärtnerei StaudenSpatz",NA
"Carduus acanthoides","Weg-Distel","Staudengärtnerei StaudenSpatz",NA
"Carduus defloratus","Alpen-Distel","Staudengärtnerei StaudenSpatz",NA
"Carex davalliana","Davalls Segge,Torf-Segge","Staudengärtnerei StaudenSpatz",NA
"Carex diandra","Draht-Segge","Staudengärtnerei StaudenSpatz",NA
"Carex ericetorum","Heide-Segge","Staudengärtnerei StaudenSpatz",NA
"Carex flava","Gelbe Segge","Staudengärtnerei StaudenSpatz",NA
"Carex humilis","Erd-Segge,Zwergsegge","Staudengärtnerei StaudenSpatz",NA
