"species","avail"
"Abies alba","not available"
"Acer opalus","not available"
"Achillea macrophylla","not available"
"Achillea salicifolia","not available"
"Acinos arvensis","not available"
"Aconitum variegatum","not available"
"Actaea spicata","not available"
"Adenophora liliifolia","not available"
"Aethusa cynapium","not available"
"Agrostis vinealis","not available"
"Ajuga chamaepitys","not available"
"Allium strictum","not available"
"Allium suaveolens","not available"
"Alnus alnobetula","not available"
"Ambrosia artemisiifolia","not available"
"Ammophila arenaria","not available"
"Anagallis tenella","not available"
"Anarrhinum bellidifolium","not available"
"Andromeda polifolia","not available"
"Anemone narcissiflora","not available"
"Angelica palustris","not available"
"Anthemis austriaca","not available"
"Arabis alpina","not available"
"Arabis hirsuta","not available"
"Armeria arenaria","not available"
"Artemisia maritima","not available"
"Artemisia scoparia","not available"
"Artemisia verlotiorum","not available"
"Asclepias syriaca","not available"
"Asplenium ruta-muraria","not available"
"Aster bellidiastrum","not available"
"Astragalus alpinus","not available"
"Astrantia bavarica","not available"
"Atriplex calotheca","not available"
"Azolla filiculoides","not available"
"Baldellia ranunculoides","not available"
"Barbarea stricta","not available"
"Bartsia alpina","not available"
"Berula erecta","not available"
"Betula pubescens","not available"
"Bidens tripartita","not available"
"Biscutella laevigata","not available"
"Brassica nigra","not available"
"Bryonia alba","not available"
"Buglossoides purpurocaerulea","not available"
"Bupleurum longifolium","not available"
"Cakile maritima","not available"
"Calamagrostis arundinacea","not available"
"Calamagrostis canescens","not available"
"Calamagrostis pseudophragmites","not available"
"Campanula cervicaria","not available"
"Campanula rhomboidalis","not available"
"Campanula scheuchzeri","not available"
"Campanula sibirica","not available"
"Cardamine alpina","not available"
"Cardamine bulbifera","not available"
"Cardamine flexuosa","not available"
"Cardamine impatiens","not available"
"Carduus acanthoides","not available"
"Carex acuta","not available"
"Carex arenaria","not available"
"Carex brizoides","not available"
"Carex davalliana","not available"
"Carex diandra","not available"
"Carex divulsa","not available"
"Carex ericetorum","not available"
"Carex obtusata","not available"
"Carex pilulifera","not available"
"Carex rostrata","not available"
"Carex sempervirens","not available"
"Carex spicata","not available"
"Centaurea phrygia","not available"
"Cephalanthera damasonium","not available"
"Cerastium arvense","not available"
"Ceratophyllum submersum","not available"
"Cerinthe minor","not available"
"Chenopodium foliosum","not available"
"Chenopodium hybridum","not available"
"Chondrilla juncea","not available"
"Cicuta virosa","not available"
"Cladium mariscus","not available"
"Comarum palustre","not available"
"Coronilla coronata","not available"
"Coronilla vaginalis","not available"
"Corydalis intermedia","not available"
"Corydalis pumila","not available"
"Cotoneaster integerrimus","not available"
"Crepis paludosa","not available"
"Crepis tectorum","not available"
"Cynosurus cristatus","not available"
"Cystopteris fragilis","not available"
"Dactylis polygama","not available"
"Dactylorhiza incarnata","not available"
"Dactylorhiza praetermissa","not available"
"Danthonia decumbens","not available"
"Descurainia sophia","not available"
"Dichoropetalum carvifolia","not available"
"Dryas octopetala","not available"
"Echinocystis lobata","not available"
"Elodea canadensis","not available"
"Elymus caninus","not available"
"Empetrum nigrum","not available"
"Epilobium fleischeri","not available"
"Epilobium palustre","not available"
"Epilobium roseum","not available"
"Epilobium tetragonum","not available"
"Epipactis helleborine","not available"
"Erica tetralix","not available"
"Eryngium maritimum","not available"
"Erysimum cheiranthoides","not available"
"Erysimum crepidifolium","not available"
"Euphorbia dulcis","not available"
"Euphorbia epithymoides","not available"
"Euphrasia stricta","not available"
"Fagopyrum tataricum","not available"
"Fallopia dumetorum","not available"
"Festuca altissima","not available"
"Fraxinus excelsior","not available"
"Gagea lutea","not available"
"Gagea villosa","not available"
"Galeobdolon luteum","not available"
"Galeopsis angustifolia","not available"
"Galeopsis ladanum","not available"
"Galeopsis segetum","not available"
"Galeopsis speciosa","not available"
"Galium pumilum","not available"
"Galium saxatile","not available"
"Galium uliginosum","not available"
"Genista anglica","not available"
"Genista germanica","not available"
"Gentiana pneumonanthe","not available"
"Gentianella germanica","not available"
"Geranium dissectum","not available"
"Geranium rotundifolium","not available"
"Glaucium flavum","not available"
"Globularia bisnagarica","not available"
"Glyceria maxima","not available"
"Glyceria notata","not available"
"Gymnadenia conopsea","not available"
"Gymnocarpium dryopteris","not available"
"Gypsophila fastigiata","not available"
"Gypsophila muralis","not available"
"Helianthemum canum","not available"
"Hieracium bauhini","not available"
"Hieracium lachenalii","not available"
"Hieracium levicaule","not available"
"HierochloÃ« odorata","not available"
"Hippocrepis emerus","not available"
"Homogyne alpina","not available"
"Honckenya peploides","not available"
"Hylotelephium maximum","not available"
"Hypericum elodes","not available"
"Hypochaeris glabra","not available"
"Hypochaeris maculata","not available"
"Impatiens noli-tangere","not available"
"Iris aphylla","not available"
"Juncus subnodulosus","not available"
"Juniperus communis","not available"
"Juniperus sabina","not available"
"Kickxia spuria","not available"
"Lactuca perennis","not available"
"Lactuca virosa","not available"
