"Wissenschaftlicher Name","Deutscher Name","Produzent","URL"
"Abies alba","Weiß-Tanne,Edel-Tanne, Silber-Tanne","Rieger-Hofmann",NA
"Acer campestre","Feldahorn,Maßholder","Rieger-Hofmann",NA
"Acer monspessulanum","Französischer Ahorn,Burgenahorn","Rieger-Hofmann",NA
"Acer opalus","Schneeballblättriger Ahorn","Rieger-Hofmann",NA
"Achillea macrophylla","Großblättrige Schafgarbe","Rieger-Hofmann",NA
"Achillea nobilis","Edel-Schafgarbe","Rieger-Hofmann",NA
"Achillea ptarmica","Sumpf-Schafgarbe","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=0"
"Achillea salicifolia","Weidenblättrige Sumpf-Schafgarbe","Rieger-Hofmann",NA
"Acinos arvensis","Steinquendel","Rieger-Hofmann",NA
"Aconitum lycoctonum","Wolfs-Eisenhut","Rieger-Hofmann",NA
"Aconitum napellus","Blauer Eisenhut","Rieger-Hofmann",NA
"Aconitum variegatum","Bunter Eisenhut","Rieger-Hofmann",NA
"Actaea spicata","Christophskraut","Rieger-Hofmann",NA
"Adenophora liliifolia","Becherglocke,Lilienblättrige Becherglocke","Rieger-Hofmann",NA
"Adonis aestivalis","Sommer-Adonisröschen,Blutauge, Blutströpfchen, Sommerblutströpfchen, Feuerröschen, Kleines Teufelsauge","Rieger-Hofmann",NA
"Adonis vernalis","Frühlings-Adonisröschen","Rieger-Hofmann",NA
"Aethusa cynapium","Hundspetersilie","Rieger-Hofmann",NA
"Agrimonia eupatoria","Gewöhnlicher Odermennig,Wohlriechender Odermennig, Kleiner Odermennig","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=0"
"Agrimonia procera","Großer Odermennig","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=0"
"Agrostemma githago","Gewöhnliche Kornrade","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=0"
"Agrostis vinealis","Schmalrispiges Straußgras","Rieger-Hofmann",NA
"Ajuga chamaepitys","Gelber Günsel,Acker-Günsel","Rieger-Hofmann",NA
"Ajuga genevensis","Genfer Günsel","Rieger-Hofmann",NA
"Ajuga reptans","Kriechender Günsel","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=0"
"Alchemilla alpina","Alpen-Frauenmantel,Alpen-Silbermantel, Bergfrauenmantel, Silberkraut, Silbermänteli","Rieger-Hofmann",NA
"Alchemilla hoppeana","Berg-Silbermantel","Rieger-Hofmann",NA
"Alchemilla vulgaris","Gemeiner Frauenmantel,Alchemilla xanthochlora","Rieger-Hofmann",NA
"Alchemilla xanthochlora","Gelbgrüner Frauenmantel","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=0"
"Alisma lanceolatum","Lanzettblättriger Froschlöffel","Rieger-Hofmann",NA
