"Wissenschaftlicher Name","Deutscher Name","Produzent","URL"
"Abies alba","Weiß-Tanne,Edel-Tanne, Silber-Tanne",NA,NA
"Acer campestre","Feldahorn,Maßholder","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/artikel/3562/acer-campestre"
"Acer monspessulanum","Französischer Ahorn,Burgenahorn","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/artikel/2016/acer-monspessulanum"
"Acer opalus","Schneeballblättriger Ahorn",NA,NA
"Achillea macrophylla","Großblättrige Schafgarbe",NA,NA
"Achillea nobilis","Edel-Schafgarbe","Staudengärtnerei StaudenSpatz","https://www.staudenspatz.de/edle-schafgarbe-duft-scharfgarbe-achillea-nobilis.html"
"Achillea nobilis","Edel-Schafgarbe","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/artikel/2492/achillea-nobilis"
"Achillea nobilis","Edel-Schafgarbe","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/achillea-nobilis-saatgut-kaufen.html"
"Achillea nobilis","Edel-Schafgarbe","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/achillea-nobilis-506-wildpflanze-naturnah.html"
"Achillea ptarmica","Sumpf-Schafgarbe","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=0"
"Achillea ptarmica","Sumpf-Schafgarbe","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/achillea-ptarmica-bertramsgarbe.html"
"Achillea ptarmica","Sumpf-Schafgarbe","Staudengärtnerei StaudenSpatz","https://www.staudenspatz.de/sumpf-schafgarbe-achillea-ptarmica.html"
"Achillea ptarmica","Sumpf-Schafgarbe","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/artikel/1729/achillea-ptarmica"
"Achillea ptarmica","Sumpf-Schafgarbe","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/achillea-ptarmica-saatgut-kaufen.html"
"Achillea ptarmica","Sumpf-Schafgarbe","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/achillea-ptarmica-507-wildpflanze-naturnah.html"
"Achillea ptarmica","Sumpf-Schafgarbe","Staudengärtnerei Gaißmayer","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Achillea%20ptarmica"
"Achillea salicifolia","Weidenblättrige Sumpf-Schafgarbe",NA,NA
"Acinos arvensis","Steinquendel","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/artikel/2807/carlina-acaulis"
"Aconitum lycoctonum","Wolfs-Eisenhut","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/artikel/2511/aconitum-lamarckii-lycoctonum-sspneapolitanum"
"Aconitum lycoctonum","Wolfs-Eisenhut","Staudengärtnerei Gaißmayer","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Aconitum%20lycoctonum"
"Aconitum napellus","Blauer Eisenhut","Staudengärtnerei StaudenSpatz","https://www.staudenspatz.de/berg-eisenhut-aconitum-napellus.html"
"Aconitum napellus","Blauer Eisenhut","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/artikel/2535/aconitum-napellus"
"Aconitum napellus","Blauer Eisenhut","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/aconitum-napellus-saatgut-kaufen.html"
"Aconitum napellus","Blauer Eisenhut","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/aconitum-napellus-501-wildpflanze-naturnah.html"
"Aconitum napellus","Blauer Eisenhut","Staudengärtnerei Gaißmayer","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Aconitum%20napellus"
"Aconitum variegatum","Bunter Eisenhut",NA,NA
"Actaea spicata","Christophskraut",NA,NA
"Adenophora liliifolia","Becherglocke,Lilienblättrige Becherglocke",NA,NA
"Adonis aestivalis","Sommer-Adonisröschen,Blutauge, Blutströpfchen, Sommerblutströpfchen, Feuerröschen, Kleines Teufelsauge","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/adonis-aestivalis-blutstr-pfchen.html"
"Adonis vernalis","Frühlings-Adonisröschen","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/adonis-vernalis-sommeradonisroeschen.html"
"Adonis vernalis","Frühlings-Adonisröschen","Staudengärtnerei Gaißmayer","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Adonis%20vernalis"
"Aethusa cynapium","Hundspetersilie",NA,NA
"Agrimonia eupatoria","Gewöhnlicher Odermennig,Wohlriechender Odermennig, Kleiner Odermennig","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=0"
"Agrimonia eupatoria","Gewöhnlicher Odermennig,Wohlriechender Odermennig, Kleiner Odermennig","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/agrimonia-eupatoria-kleiner-odermennig.html"
"Agrimonia eupatoria","Gewöhnlicher Odermennig,Wohlriechender Odermennig, Kleiner Odermennig","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/artikel/2592/agrimonia-eupatoria"
"Agrimonia eupatoria","Gewöhnlicher Odermennig,Wohlriechender Odermennig, Kleiner Odermennig","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/agrimonia-eupatoria-saatgut-kaufen.html"
"Agrimonia eupatoria","Gewöhnlicher Odermennig,Wohlriechender Odermennig, Kleiner Odermennig","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/agrimonia-eupatoria-511-wildpflanze-naturnah.html"
"Agrimonia eupatoria","Gewöhnlicher Odermennig,Wohlriechender Odermennig, Kleiner Odermennig","Staudengärtnerei Gaißmayer","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Agrimonia%20eupatoria"
"Agrimonia procera","Großer Odermennig","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=0"
"Agrimonia procera","Großer Odermennig","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/artikel/2118/agrimonia-procera"
"Agrimonia procera","Großer Odermennig","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/agrimonia-procera-saatgut-kaufen.html"
"Agrimonia procera","Großer Odermennig","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/agrimonia-procera-512-wildpflanze-naturnah.html"
"Agrostemma githago","Gewöhnliche Kornrade","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=0"
"Agrostemma githago","Gewöhnliche Kornrade","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/agrostemma-githago-kornrade.html"
"Agrostemma githago","Gewöhnliche Kornrade","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/artikel/1684/agrostemma-githago-sa-10qm"
"Agrostemma githago","Gewöhnliche Kornrade","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/agrostemma-githago-saatgut-kaufen.html"
"Agrostemma githago","Gewöhnliche Kornrade","Staudengärtnerei Gaißmayer","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Agrostemma%20githago"
"Agrostis vinealis","Schmalrispiges Straußgras",NA,NA
"Ajuga chamaepitys","Gelber Günsel,Acker-Günsel",NA,NA
"Ajuga genevensis","Genfer Günsel","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/artikel/2616/ajuga-genevensis"
"Ajuga genevensis","Genfer Günsel","Staudengärtnerei Gaißmayer","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Ajuga%20genevensis"
"Ajuga reptans","Kriechender Günsel","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=0"
"Ajuga reptans","Kriechender Günsel","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/ajuga-reptans-kriechender-g-nsel.html"
"Ajuga reptans","Kriechender Günsel","Staudengärtnerei StaudenSpatz","https://www.staudenspatz.de/kriechender-guensel-ajuga-reptans.html"
"Ajuga reptans","Kriechender Günsel","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/artikel/1738/ajuga-reptans"
"Ajuga reptans","Kriechender Günsel","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/ajuga-reptans-saatgut-kaufen.html"
"Ajuga reptans","Kriechender Günsel","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/ajuga-reptans-513-wildpflanze-naturnah.html"
"Ajuga reptans","Kriechender Günsel","Staudengärtnerei Gaißmayer","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Ajuga%20reptans"
"Alchemilla alpina","Alpen-Frauenmantel,Alpen-Silbermantel, Bergfrauenmantel, Silberkraut, Silbermänteli","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/artikel/2651/alchemilla-alpina"
"Alchemilla alpina","Alpen-Frauenmantel,Alpen-Silbermantel, Bergfrauenmantel, Silberkraut, Silbermänteli","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/alchemilla-alpina-wildpflanze-naturnah.html"
"Alchemilla hoppeana","Berg-Silbermantel","Staudengärtnerei StaudenSpatz","https://www.staudenspatz.de/hoppes-frauenmantel-alchemilla-hoppeana.html"
"Alchemilla hoppeana","Berg-Silbermantel","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/artikel/2673/alchemilla-hoppeana"
