Bundesland,Wissenschaftlicher Name,Gefährdung
Baden-Württemberg,Acer opalus,R
Baden-Württemberg,Aceras anthropophorum,2
Baden-Württemberg,Achillea nobilis,3
Baden-Württemberg,Aconitum napellus ssp. lusitanicum,V
Baden-Württemberg,Aconitum variegatum,V
Baden-Württemberg,Adenostyles glabra,0
Baden-Württemberg,Adonis aestivalis,3
Baden-Württemberg,Adonis flammea,1
Baden-Württemberg,Agrostemma githago,1
Baden-Württemberg,Agrostis vinealis,V
Baden-Württemberg,Aira caryophyllea,3
Baden-Württemberg,Aira praecox,3
Baden-Württemberg,Ajuga chamaepitys,2
Baden-Württemberg,Ajuga pyramidalis,R
Baden-Württemberg,Alchemilla connivens,G
Baden-Württemberg,Alchemilla coriacea,G
Baden-Württemberg,Alchemilla crinita,R
Baden-Württemberg,Alchemilla glaucescens,3
Baden-Württemberg,Alchemilla hoppeana,R
Baden-Württemberg,Alchemilla reniformis,G
Baden-Württemberg,Alchemilla strigosula,V
Baden-Württemberg,Alisma gramineum,V
Baden-Württemberg,Allium angulosum,3
Baden-Württemberg,Allium carinatum,3
Baden-Württemberg,Allium rotundum,2
Baden-Württemberg,Allium schoenoprasum,V
Baden-Württemberg,Allium scorodoprasum,V
Baden-Württemberg,Allium senescens ssp. montanum,3
Baden-Württemberg,Allium sphaerocephalon,3
Baden-Württemberg,Allium suaveolens,3
Baden-Württemberg,Allium victorialis,1
Baden-Württemberg,Alnus alnobetula,V
Baden-Württemberg,Alopecurus rendlei,0
Baden-Württemberg,Althaea hirsuta,2
Baden-Württemberg,Althaea officinalis,2
Baden-Württemberg,Alyssum alyssoides,3
Baden-Württemberg,Alyssum montanum ssp. gmelinii,1
Baden-Württemberg,Alyssum montanum ssp. montanum,V
Baden-Württemberg,Amaranthus graecizans ssp. sylvestris,2
Baden-Württemberg,Ambrosia trifida,2
Baden-Württemberg,Anacamptis pyramidalis,3
Baden-Württemberg,Anagallis foemina,3
Baden-Württemberg,Anagallis minima,3
Baden-Württemberg,Anagallis tenella,1
Baden-Württemberg,Anchusa officinalis,3
Baden-Württemberg,Andromeda polifolia,3
Baden-Württemberg,Androsace lactea,1
Baden-Württemberg,Androsace septentrionalis,0
Baden-Württemberg,Anemone narcissiflora,3
Baden-Württemberg,Anemone sylvestris,2
Baden-Württemberg,Antennaria dioica,2
Baden-Württemberg,Anthemis arvensis,V
Baden-Württemberg,Anthemis cotula,G
Baden-Württemberg,Anthemis tinctoria,3
Baden-Württemberg,Anthericum liliago,3
Baden-Württemberg,Anthericum ramosum,V
Baden-Württemberg,Anthoxanthum alpinum,V
Baden-Württemberg,Anthoxanthum aristatum,2
Baden-Württemberg,Anthriscus sylvestris ssp. stenophyllus,R
Baden-Württemberg,Anthyllis vulneraria ssp. alpestris,G
Baden-Württemberg,Anthyllis vulneraria ssp. carpatica,V
Baden-Württemberg,Aphanes inexspectata,V
Baden-Württemberg,Apium graveolens,1
Baden-Württemberg,Apium nodiflorum,3
Baden-Württemberg,Apium repens,1
Baden-Württemberg,Aposeris foetida,R
Baden-Württemberg,Aquilegia atrata,V
Baden-Württemberg,Aquilegia vulgaris,V
Baden-Württemberg,Arabis alpina,2
Baden-Württemberg,Arabis auriculata,3
Baden-Württemberg,Arabis ciliata,0
Baden-Württemberg,Arabis nemorensis,2
Baden-Württemberg,Arabis pauciflora,V
Baden-Württemberg,Arabis turrita,V
Baden-Württemberg,Arctostaphylos uva-ursi,1
Baden-Württemberg,Aremonia agrimonoides,3
Baden-Württemberg,Aristolochia clematitis,V
Baden-Württemberg,Armeria purpurea,0
Baden-Württemberg,Armeria vulgaris,1
Baden-Württemberg,Arnica montana,2
Baden-Württemberg,Arnoseris minima,1
Baden-Württemberg,Artemisia campestris,V
Baden-Württemberg,Artemisia pontica,1
Baden-Württemberg,Asperugo procumbens,2
Baden-Württemberg,Asperula arvensis,0
Baden-Württemberg,Asperula tinctoria,2
Baden-Württemberg,Asplenium adiantum-nigrum,3
Baden-Württemberg,Asplenium ceterach,2
Baden-Württemberg,Asplenium fontanum,R
Baden-Württemberg,Asplenium obovatum ssp. lanceolatum,R
Baden-Württemberg,Asplenium septentrionale,V
Baden-Württemberg,Aster amellus,V
Baden-Württemberg,Aster bellidiastrum,V
Baden-Württemberg,Aster linosyris,3
Baden-Württemberg,Astragalus cicer,3
Baden-Württemberg,Astragalus danicus,0
Baden-Württemberg,Athamanta cretensis,2
Baden-Württemberg,Bartsia alpina,V
Baden-Württemberg,Bassia laniflora,1
Baden-Württemberg,Betula humilis,2
Baden-Württemberg,Betula nana,1
Baden-Württemberg,Bidens cernuus,3
Baden-Württemberg,Bidens radiatus,3
Baden-Württemberg,Bifora radians,2
Baden-Württemberg,Biscutella laevigata ssp. varia,3
Baden-Württemberg,Blackstonia acuminata,2
Baden-Württemberg,Blackstonia perfoliata,2
Baden-Württemberg,Blysmus compressus,2
Baden-Württemberg,Bothriochloa ischoemum,3
Baden-Württemberg,Botrychium lunaria,2
Baden-Württemberg,Botrychium matricariifolium,2
Baden-Württemberg,Botrychium multifidum,0
Baden-Württemberg,Botrychium simplex,0
Baden-Württemberg,Bromus arvensis,3
Baden-Württemberg,Bromus grossus,2
Baden-Württemberg,Bromus racemosus,3
Baden-Württemberg,Bromus secalinus,3
Baden-Württemberg,Bromus squarrosus,R
Baden-Württemberg,Bryonia alba,R
Baden-Württemberg,Bunium bulbocastanum,2
Baden-Württemberg,Buphthalmum salicifolium,V
Baden-Württemberg,Bupleurum longifolium,V
Baden-Württemberg,Bupleurum rotundifolium,1
Baden-Württemberg,Calamagrostis phragmitoides,R
Baden-Württemberg,Calamagrostis pseudophragmites,2
Baden-Württemberg,Calamagrostis stricta,2
Baden-Württemberg,Calamagrostis varia,V
Baden-Württemberg,Calamintha menthifolia,V
Baden-Württemberg,Calendula arvensis,1
Baden-Württemberg,Calepina irregularis,0
Baden-Württemberg,Calla palustris,2
Baden-Württemberg,Camelina alyssum,0
Baden-Württemberg,Camelina microcarpa,3
Baden-Württemberg,Camelina sativa,G
Baden-Württemberg,Campanula barbata,0
Baden-Württemberg,Campanula baumgartenii,0
Baden-Württemberg,Campanula cervicaria,2
Baden-Württemberg,Campanula cochleariifolia,3
Baden-Württemberg,Campanula glomerata,V
Baden-Württemberg,Campanula rhomboidalis,R
Baden-Württemberg,Campanula scheuchzeri,V
Baden-Württemberg,Cardamine enneaphyllos,R
Baden-Württemberg,Cardaminopsis halleri,R
Baden-Württemberg,Carduus acanthoides,V
Baden-Württemberg,Carduus defloratus,V
Baden-Württemberg,Carex appropinquata,3
Baden-Württemberg,Carex bohemica,3
Baden-Württemberg,Carex brachystachys,R
Baden-Württemberg,Carex brunnescens,0
Baden-Württemberg,Carex buxbaumii,2
Baden-Württemberg,Carex canescens,V
Baden-Württemberg,Carex capitata,0
Baden-Württemberg,Carex cespitosa,3
Baden-Württemberg,Carex chordorrhiza,2
Baden-Württemberg,Carex davalliana,3
Baden-Württemberg,Carex diandra,2
Baden-Württemberg,Carex dioica,2
Baden-Württemberg,Carex distans,3
Baden-Württemberg,Carex echinata,V
Baden-Württemberg,Carex elongata,V
Baden-Württemberg,Carex ericetorum,2
Baden-Württemberg,Carex flava,V
Baden-Württemberg,Carex frigida,V
Baden-Württemberg,Carex halleriana,R
Baden-Württemberg,Carex hartmanii,2
Baden-Württemberg,Carex heleonastes,0
Baden-Württemberg,Carex hostiana,2
Baden-Württemberg,Carex humilis,V
Baden-Württemberg,Carex lasiocarpa,3
Baden-Württemberg,Carex lepidocarpa,3
Baden-Württemberg,Carex limosa,2
Baden-Württemberg,Carex microglochin,0
Baden-Württemberg,Carex nigra,V
Baden-Württemberg,Carex pauciflora,2
Baden-Württemberg,Carex praecox,3
Baden-Württemberg,Carex pseudocyperus,V
Baden-Württemberg,Carex pulicaris,2
Baden-Württemberg,Carex sempervirens,3
Baden-Württemberg,Carex supina,1
Baden-Württemberg,Carex tomentosa,3
Baden-Württemberg,Carex viridula,3
Baden-Württemberg,Carex vulpina,V
Baden-Württemberg,Carlina acaulis ssp. caulescens,V
Baden-Württemberg,Catabrosa aquatica,2
Baden-Württemberg,Caucalis platycarpos,2
Baden-Württemberg,Centaurea calcitrapa,0
Baden-Württemberg,Centaurea pseudophrygia,3
Baden-Württemberg,Centaurium pulchellum,3
Baden-Württemberg,Cephalanthera longifolia,V
Baden-Württemberg,Cephalanthera rubra,V
Baden-Württemberg,Cerastium brachypetalum,V
Baden-Württemberg,Cerastium dubium,0
Baden-Württemberg,Ceratocephala falcata,0
Baden-Württemberg,Ceratophyllum submersum,3
Baden-Württemberg,Cerinthe alpina,1
Baden-Württemberg,Chenopodium bonus-henricus,V
Baden-Württemberg,Chenopodium glaucum,V
Baden-Württemberg,Chenopodium murale,1
Baden-Württemberg,Chenopodium opulifolium,G
Baden-Württemberg,Chenopodium rubrum,3
Baden-Württemberg,Chenopodium striatiforme,3
Baden-Württemberg,Chenopodium urbicum,0
Baden-Württemberg,Chenopodium vulvaria,1
Baden-Württemberg,Chimaphila umbellata,0
Baden-Württemberg,Chlorocrepis staticifolia,0
Baden-Württemberg,Chondrilla chondrilloides,0
Baden-Württemberg,Chondrilla juncea,3
Baden-Württemberg,Chrysanthemum segetum,0
Baden-Württemberg,Cicendia filiformis,0
Baden-Württemberg,Cicerbita plumieri,1
Baden-Württemberg,Cicuta virosa,2
Baden-Württemberg,Cirsium acaule,V
Baden-Württemberg,Cirsium rivulare,V
Baden-Württemberg,Cirsium tuberosum,3
Baden-Württemberg,Cladium mariscus,3
Baden-Württemberg,Cochlearia pyrenaica,2
Baden-Württemberg,Coeloglossum viride,2
Baden-Württemberg,Colutea arborescens,2
Baden-Württemberg,Conium maculatum,3
Baden-Württemberg,Conringia orientalis,1
Baden-Württemberg,Consolida regalis,V
Baden-Württemberg,Corallorrhiza trifida,V
Baden-Württemberg,Corispermum leptopterum,V
Baden-Württemberg,Corispermum marschallii,1
Baden-Württemberg,Coronilla coronata,V
Baden-Württemberg,Coronilla vaginalis,3
Baden-Württemberg,Coronopus squamatus,3
Baden-Württemberg,Corrigiola litoralis,1
Baden-Württemberg,Corydalis intermedia,V
Baden-Württemberg,Corynephorus canescens,3
Baden-Württemberg,Cotoneaster tomentosus,3
Baden-Württemberg,Crepis alpestris,3
Baden-Württemberg,Crepis foetida,3
Baden-Württemberg,Crepis mollis,3
Baden-Württemberg,Crepis praemorsa,2
Baden-Württemberg,Crepis pulchra,V
Baden-Württemberg,Crepis pyrenaica,R
Baden-Württemberg,Crepis setosa,V
Baden-Württemberg,Crepis tectorum,2
Baden-Württemberg,Crocus albiflorus,1
Baden-Württemberg,Cryptogramma crispa,2
Baden-Württemberg,Cucubalus baccifer,R
Baden-Württemberg,Cuscuta epilinum,0
Baden-Württemberg,Cuscuta epithymum,V
Baden-Württemberg,Cynoglossum germanicum,3
Baden-Württemberg,Cyperus flavescens,2
Baden-Württemberg,Cyperus fuscus,V
Baden-Württemberg,Cyperus longus,0
Baden-Württemberg,Cypripedium calceolus,3
Baden-Württemberg,Cystopteris dickieana,R
Baden-Württemberg,Cystopteris montana,R
Baden-Württemberg,Cytisus nigricans,V
Baden-Württemberg,Dactylorhiza incarnata,3
Baden-Württemberg,Dactylorhiza majalis,3
Baden-Württemberg,Dactylorhiza ochroleuca,2
Baden-Württemberg,Dactylorhiza sambucina,2
Baden-Württemberg,Dactylorhiza traunsteineri,2
Baden-Württemberg,Daphne cneorum,2
Baden-Württemberg,Daphne laureola,R
Baden-Württemberg,Deschampsia littoralis,1
Baden-Württemberg,Deschampsia media,1
Baden-Württemberg,Descurainia sophia,3
Baden-Württemberg,Dianthus armeria,V
Baden-Württemberg,Dianthus carthusianorum,V
Baden-Württemberg,Dianthus deltoides,3
Baden-Württemberg,Dianthus gratianopolitanus,3
Baden-Württemberg,Dianthus superbus,3
Baden-Württemberg,Dianthus sylvaticus,2
Baden-Württemberg,Dictamnus albus,3
Baden-Württemberg,Digitalis grandiflora,V
Baden-Württemberg,Digitalis lutea,V
Baden-Württemberg,Diphasiastrum alpinum,3
Baden-Württemberg,Diphasiastrum complanatum,2
Baden-Württemberg,Diphasiastrum issleri,1
Baden-Württemberg,Diphasiastrum oellgaardii,G
Baden-Württemberg,Diphasiastrum tristachyum,2
Baden-Württemberg,Diphasiastrum zeilleri,1
Baden-Württemberg,Diplotaxis muralis,3
Baden-Württemberg,Draba aizoides,3
Baden-Württemberg,Draba muralis,V
Baden-Württemberg,Drosera intermedia,2
Baden-Württemberg,Drosera longifolia,2
Baden-Württemberg,Drosera rotundifolia,3
Baden-Württemberg,Dryopteris cristata,2
Baden-Württemberg,Echinocystis lobata,1
Baden-Württemberg,Elatine alsinastrum,1
Baden-Württemberg,Elatine hexandra,2
Baden-Württemberg,Elatine hydropiper,1
Baden-Württemberg,Elatine triandra,1
Baden-Württemberg,Eleocharis acicularis,V
Baden-Württemberg,Eleocharis ovata,3
Baden-Württemberg,Eleocharis quinqueflora,2
Baden-Württemberg,Eleocharis uniglumis,V
Baden-Württemberg,Empetrum hermaphroditum,2
Baden-Württemberg,Empetrum nigrum,2
Baden-Württemberg,Epilobium alpestre,R
Baden-Württemberg,Epilobium alsinifolium,2
Baden-Württemberg,Epilobium anagallidifolium,1
Baden-Württemberg,Epilobium duriaei,R
Baden-Württemberg,Epilobium nutans,R
Baden-Württemberg,Epilobium palustre,V
Baden-Württemberg,Epipactis atrorubens,V
Baden-Württemberg,Epipactis microphylla,V
Baden-Württemberg,Epipactis muelleri,V
Baden-Württemberg,Epipactis palustris,3
Baden-Württemberg,Epipogium aphyllum,V
Baden-Württemberg,Equisetum x moorei,G
Baden-Württemberg,Equisetum pratense,R
Baden-Württemberg,Equisetum ramosissimum,3
Baden-Württemberg,Equisetum x trachyodon,2
Baden-Württemberg,Equisetum variegatum,2
Baden-Württemberg,Eragrostis cilianensis,1
Baden-Württemberg,Erica carnea,0
Baden-Württemberg,Erigeron acris ssp. angulosus,0
Baden-Württemberg,Erigeron gaudinii,R
Baden-Württemberg,Eriophorum angustifolium,3
Baden-Württemberg,Eriophorum gracile,1
Baden-Württemberg,Eriophorum latifolium,3
Baden-Württemberg,Eriophorum vaginatum,V
Baden-Württemberg,Eryngium campestre,3
Baden-Württemberg,Erysimum cheiri,V
Baden-Württemberg,Erysimum crepidifolium,R
Baden-Württemberg,Erysimum odoratum,2
Baden-Württemberg,Erysimum repandum,1
Baden-Württemberg,Erysimum strictum,G
Baden-Württemberg,Euonymus latifolius,V
Baden-Württemberg,Euphorbia esula,V
Baden-Württemberg,Euphorbia falcata,1
Baden-Württemberg,Euphorbia palustris,3
Baden-Württemberg,Euphorbia platyphyllos,V
Baden-Württemberg,Euphorbia seguieriana,2
Baden-Württemberg,Euphrasia micrantha,G
Baden-Württemberg,Euphrasia salisburgensis,G
Baden-Württemberg,Fagopyrum tataricum,0
Baden-Württemberg,Festuca amethystina,3
Baden-Württemberg,Festuca duvalii,G
Baden-Württemberg,Festuca filiformis,V
Baden-Württemberg,Filago arvensis,2
Baden-Württemberg,Filago gallica,0
Baden-Württemberg,Filago lutescens,1
Baden-Württemberg,Filago minima,3
Baden-Württemberg,Filago pyramidata,2
Baden-Württemberg,Filago vulgaris,3
Baden-Württemberg,Filipendula vulgaris,3
Baden-Württemberg,Fragaria moschata,G
Baden-Württemberg,Fritillaria meleagris,1
Baden-Württemberg,Fumana procumbens,2
Baden-Württemberg,Fumaria parviflora,0
Baden-Württemberg,Fumaria schleicheri,G
Baden-Württemberg,Gagea pratensis,3
Baden-Württemberg,Gagea spathacea,R
Baden-Württemberg,Gagea villosa,V
Baden-Württemberg,Galeopsis ladanum,G
Baden-Württemberg,Galeopsis segetum,3
Baden-Württemberg,Galium anisophyllon,V
Baden-Württemberg,Galium boreale,3
Baden-Württemberg,Galium elongatum,G
Baden-Württemberg,Galium glaucum,V
Baden-Württemberg,Galium lucidum,R
Baden-Württemberg,Galium parisiense,1
Baden-Württemberg,Galium pumilum,V
Baden-Württemberg,Galium spurium,G
Baden-Württemberg,Galium tricornutum,2
Baden-Württemberg,Galium valdepilosum,R
Baden-Württemberg,Galium wirtgenii,G
Baden-Württemberg,Gaudinia fragilis,R
Baden-Württemberg,Genista germanica,3
Baden-Württemberg,Genista pilosa,V
Baden-Württemberg,Gentiana asclepiadea,3
Baden-Württemberg,Gentiana cruciata,2
Baden-Württemberg,Gentiana lutea,V
Baden-Württemberg,Gentiana pneumonanthe,2
Baden-Württemberg,Gentiana utriculosa,2
Baden-Württemberg,Gentiana verna,2
Baden-Württemberg,Gentianella campestris,1
Baden-Württemberg,Gentianella ciliata,V
Baden-Württemberg,Gentianella germanica,V
Baden-Württemberg,Gladiolus palustris,1
Baden-Württemberg,Globularia punctata,3
Baden-Württemberg,Gnaphalium supinum,3
Baden-Württemberg,Goodyera repens,V
Baden-Württemberg,Gratiola officinalis,1
Baden-Württemberg,Groenlandia densa,2
Baden-Württemberg,Gymnadenia conopsea,V
Baden-Württemberg,Gymnadenia odoratissima,3
Baden-Württemberg,Gypsophila muralis,3
Baden-Württemberg,Gypsophila repens,0
Baden-Württemberg,Hammarbya paludosa,1
Baden-Württemberg,Helianthemum canum,R
Baden-Württemberg,Helianthemum nummularium,V
Baden-Württemberg,Helichrysum arenarium,2
Baden-Württemberg,Helictotrichon pratense,V
Baden-Württemberg,Heliotropium europaeum,1
Baden-Württemberg,Helleborus viridis,2
Baden-Württemberg,Herminium monorchis,2
Baden-Württemberg,Herniaria hirsuta,3
Baden-Württemberg,Hieracium amplexicaule,R
Baden-Württemberg,Hieracium aridum,0
Baden-Württemberg,Hieracium arvicola,2
Baden-Württemberg,Hieracium auriculoides,3
Baden-Württemberg,Hieracium bauhini,V
Baden-Württemberg,Hieracium benzianum,0
Baden-Württemberg,Hieracium bifidum,3
Baden-Württemberg,Hieracium bupleuroides,3
Baden-Württemberg,Hieracium caesium,0
Baden-Württemberg,Hieracium calodon,3
Baden-Württemberg,Hieracium cottetii,2
Baden-Württemberg,Hieracium cymosum,3
Baden-Württemberg,Hieracium fallacinum,3
Baden-Württemberg,Hieracium fallax,2
Baden-Württemberg,Hieracium flagellare,0
Baden-Württemberg,Hieracium franconicum,2
Baden-Württemberg,Hieracium hoppeanum,0
Baden-Württemberg,Hieracium humile,V
Baden-Württemberg,Hieracium inuloides,R
Baden-Württemberg,Hieracium kerneri,0
Baden-Württemberg,Hieracium lactucella,V
Baden-Württemberg,Hieracium leptophyton,0
Baden-Württemberg,Hieracium longiscapum,0
Baden-Württemberg,Hieracium lycopifolium,3
Baden-Württemberg,Hieracium onosmoides,0
Baden-Württemberg,Hieracium oxyodon,1
