"Wissenschaftlicher Name","Deutscher Name","Produzent","URL"
"Abies alba","Weiß-Tanne,Edel-Tanne, Silber-Tanne","Staudengärtnerei StaudenSpatz",NA
"Acer campestre","Feldahorn,Maßholder","Staudengärtnerei StaudenSpatz",NA
"Acer monspessulanum","Französischer Ahorn,Burgenahorn","Staudengärtnerei StaudenSpatz",NA
"Acer opalus","Schneeballblättriger Ahorn","Staudengärtnerei StaudenSpatz",NA
"Achillea macrophylla","Großblättrige Schafgarbe","Staudengärtnerei StaudenSpatz",NA
"Achillea nobilis","Edel-Schafgarbe","Staudengärtnerei StaudenSpatz",NA
"Achillea ptarmica","Sumpf-Schafgarbe","Staudengärtnerei StaudenSpatz",NA
"Achillea salicifolia","Weidenblättrige Sumpf-Schafgarbe","Staudengärtnerei StaudenSpatz",NA
"Acinos arvensis","Steinquendel","Staudengärtnerei StaudenSpatz",NA
"Aconitum lycoctonum","Wolfs-Eisenhut","Staudengärtnerei StaudenSpatz",NA
"Aconitum napellus","Blauer Eisenhut","Staudengärtnerei StaudenSpatz",NA
"Aconitum variegatum","Bunter Eisenhut","Staudengärtnerei StaudenSpatz",NA
"Actaea spicata","Christophskraut","Staudengärtnerei StaudenSpatz",NA
"Adenophora liliifolia","Becherglocke,Lilienblättrige Becherglocke","Staudengärtnerei StaudenSpatz",NA
"Adonis aestivalis","Sommer-Adonisröschen,Blutauge, Blutströpfchen, Sommerblutströpfchen, Feuerröschen, Kleines Teufelsauge","Staudengärtnerei StaudenSpatz",NA
"Adonis vernalis","Frühlings-Adonisröschen","Staudengärtnerei StaudenSpatz",NA
"Aethusa cynapium","Hundspetersilie","Staudengärtnerei StaudenSpatz",NA
"Agrimonia eupatoria","Gewöhnlicher Odermennig,Wohlriechender Odermennig, Kleiner Odermennig","Staudengärtnerei StaudenSpatz",NA
"Agrimonia procera","Großer Odermennig","Staudengärtnerei StaudenSpatz",NA
"Agrostemma githago","Gewöhnliche Kornrade","Staudengärtnerei StaudenSpatz",NA
"Agrostis vinealis","Schmalrispiges Straußgras","Staudengärtnerei StaudenSpatz",NA
"Ajuga chamaepitys","Gelber Günsel,Acker-Günsel","Staudengärtnerei StaudenSpatz",NA
"Ajuga genevensis","Genfer Günsel","Staudengärtnerei StaudenSpatz",NA
"Ajuga reptans","Kriechender Günsel","Staudengärtnerei StaudenSpatz",NA
"Alchemilla alpina","Alpen-Frauenmantel,Alpen-Silbermantel, Bergfrauenmantel, Silberkraut, Silbermänteli","Staudengärtnerei StaudenSpatz",NA
"Alchemilla hoppeana","Berg-Silbermantel","Staudengärtnerei StaudenSpatz",NA
"Alchemilla vulgaris","Gemeiner Frauenmantel,Alchemilla xanthochlora","Staudengärtnerei StaudenSpatz",NA
"Alchemilla xanthochlora","Gelbgrüner Frauenmantel","Staudengärtnerei StaudenSpatz",NA
"Alisma lanceolatum","Lanzettblättriger Froschlöffel","Staudengärtnerei StaudenSpatz",NA
"Alisma plantago-aquatica","Gewöhnlicher Froschlöffel","Staudengärtnerei StaudenSpatz",NA
"Allium angulosum","Kanten-Lauch","Staudengärtnerei StaudenSpatz",NA
"Allium carinatum","Kiel-Lauch","Staudengärtnerei StaudenSpatz",NA
"Allium lusitanicum","Berg-Lauch","Staudengärtnerei StaudenSpatz",NA
"Allium rotundum","Runder Lauch","Staudengärtnerei StaudenSpatz",NA
"Allium schoenoprasum","Schnittlauch","Staudengärtnerei StaudenSpatz",NA
"Allium sphaerocephalon","Kugelköpfiger Lauch,Kopflauch","Staudengärtnerei StaudenSpatz",NA
"Allium strictum","Steifer Lauch","Staudengärtnerei StaudenSpatz",NA
"Allium suaveolens","Duftlauch,Wohlriechender Lauch","Staudengärtnerei StaudenSpatz",NA
"Allium ursinum","Bärlauch","Staudengärtnerei StaudenSpatz",NA
"Allium vineale","Weinbergs-Lauch","Staudengärtnerei StaudenSpatz",NA
"Alnus alnobetula","Grün-Erle","Staudengärtnerei StaudenSpatz",NA
"Althaea officinalis","Echter Eibisch","Staudengärtnerei StaudenSpatz",NA
"Alyssum alyssoides","Kelch-Steinkraut","Staudengärtnerei StaudenSpatz",NA
"Alyssum montanum","Berg-Steinkraut,Steinkresse, Steinrich","Staudengärtnerei StaudenSpatz",NA
"Ambrosia artemisiifolia","Beifußblättriges Traubenkraut","Staudengärtnerei StaudenSpatz",NA
"Amelanchier ovalis","Gewöhnliche Felsenbirne,Echte Felsenbirne","Staudengärtnerei StaudenSpatz",NA
"Ammophila arenaria","Gewöhnlicher Strandhafer","Staudengärtnerei StaudenSpatz",NA
"Anagallis arvensis","Acker-Gauchheil,Roter Gauchheil, Nebelpflanze, Weinbergsstern, Wetterkraut","Staudengärtnerei StaudenSpatz",NA
"Anagallis tenella","Zarter Gauchheil","Staudengärtnerei StaudenSpatz",NA
"Anarrhinum bellidifolium","Lochschlund","Staudengärtnerei StaudenSpatz",NA
"Anchusa arvensis","Acker-Ochsenzunge","Staudengärtnerei StaudenSpatz",NA
"Anchusa officinalis","Gemeine Ochsenzunge","Staudengärtnerei StaudenSpatz",NA
"Andromeda polifolia","Polei-Gränke,Lavendelheide, Rosmarinheide","Staudengärtnerei StaudenSpatz",NA
"Anemone narcissiflora","Narzissen-Windröschen","Staudengärtnerei StaudenSpatz",NA
"Anemone nemorosa","Busch-Windröschen","Staudengärtnerei StaudenSpatz",NA
"Anemone ranunculoides","Gelbes Windröschen","Staudengärtnerei StaudenSpatz",NA
