"Wissenschaftlicher Name","Deutscher Name","Produzent","URL"
"Abies alba","Weiß-Tanne,Edel-Tanne, Silber-Tanne","Kräuter- und Wildpflanzen-Gärtnerei Strickler",NA
"Acer campestre","Feldahorn,Maßholder","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-697-FeldAhorn_Acer_campestre.htm"
"Acer campestre","Feldahorn,Maßholder","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-3-FeldAhorn_Acer_campestre_60100.htm"
"Acer monspessulanum","Französischer Ahorn,Burgenahorn","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-406-FranzA¶sischer_Ahorn_Acer_monspessulanum.htm"
"Acer monspessulanum","Französischer Ahorn,Burgenahorn","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-3088-FranzA¶sischer_Ahorn_Acer_monspessulanum.htm"
"Acer opalus","Schneeballblättriger Ahorn","Kräuter- und Wildpflanzen-Gärtnerei Strickler",NA
"Achillea macrophylla","Großblättrige Schafgarbe","Kräuter- und Wildpflanzen-Gärtnerei Strickler",NA
"Achillea nobilis","Edel-Schafgarbe","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-2016-Edle_Schafgarbe_DuftSchafgarbe_Achillea_nobilis.htm"
"Achillea nobilis","Edel-Schafgarbe","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-39674-Edle_Schafgarbe_DuftSchafgarbe_Achillea_nobilis.htm"
"Achillea ptarmica","Sumpf-Schafgarbe","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-702-SumpfSchafgarbe_Achillea_ptarmica.htm"
"Achillea ptarmica","Sumpf-Schafgarbe","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-2017-SumpfSchafgarbe_Achillea_ptarmica.htm"
"Achillea ptarmica","Sumpf-Schafgarbe","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/shop-39671-SumpfSchafgarbe_BertramsGarbe_Achillea_ptarmica.htm"
"Achillea salicifolia","Weidenblättrige Sumpf-Schafgarbe","Kräuter- und Wildpflanzen-Gärtnerei Strickler",NA
"Acinos arvensis","Steinquendel","Kräuter- und Wildpflanzen-Gärtnerei Strickler",NA
