"Species","Producer","URL"
"Abies alba","Hof Berg-Garten",NA
"Acer campestre","Hof Berg-Garten",NA
"Acer monspessulanum","Hof Berg-Garten",NA
"Acer opalus","Hof Berg-Garten",NA
"Achillea macrophylla","Hof Berg-Garten",NA
"Achillea nobilis","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/achillea-nobilis-saatgut-kaufen.html"
"Achillea nobilis","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/achillea-nobilis-506-wildpflanze-naturnah.html"
"Achillea ptarmica","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/achillea-ptarmica-saatgut-kaufen.html"
"Achillea ptarmica","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/achillea-ptarmica-507-wildpflanze-naturnah.html"
"Achillea salicifolia","Hof Berg-Garten",NA
"Acinos arvensis","Hof Berg-Garten",NA
"Aconitum lycoctonum","Hof Berg-Garten",NA
"Aconitum napellus","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/aconitum-napellus-saatgut-kaufen.html"
"Aconitum napellus","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/aconitum-napellus-501-wildpflanze-naturnah.html"
"Aconitum variegatum","Hof Berg-Garten",NA
"Actaea spicata","Hof Berg-Garten",NA
"Adenophora liliifolia","Hof Berg-Garten",NA
"Adonis aestivalis","Hof Berg-Garten",NA
"Adonis vernalis","Hof Berg-Garten",NA
"Aethusa cynapium","Hof Berg-Garten",NA
"Agrimonia eupatoria","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/agrimonia-eupatoria-saatgut-kaufen.html"
"Agrimonia eupatoria","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/agrimonia-eupatoria-511-wildpflanze-naturnah.html"
"Agrimonia procera","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/agrimonia-procera-saatgut-kaufen.html"
"Agrimonia procera","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/agrimonia-procera-512-wildpflanze-naturnah.html"
"Agrostemma githago","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/agrostemma-githago-saatgut-kaufen.html"
"Agrostis vinealis","Hof Berg-Garten",NA
"Ajuga chamaepitys","Hof Berg-Garten",NA
"Ajuga genevensis","Hof Berg-Garten",NA
"Ajuga reptans","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/ajuga-reptans-saatgut-kaufen.html"
"Ajuga reptans","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/ajuga-reptans-513-wildpflanze-naturnah.html"
"Alchemilla alpina","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/alchemilla-alpina-wildpflanze-naturnah.html"
"Alchemilla hoppeana","Hof Berg-Garten",NA
"Alchemilla vulgaris","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/alchemilla-vulgaris-saatgut-kaufen.html"
"Alchemilla vulgaris","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/alchemilla-vulgaris-515-wildpflanze-naturnah.html"
"Alchemilla xanthochlora","Hof Berg-Garten",NA
"Alisma lanceolatum","Hof Berg-Garten",NA
"Alisma plantago-aquatica","Hof Berg-Garten",NA
"Allium angulosum","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/allium-angulosum-wildpflanze-naturnah.html"
"Allium carinatum","Hof Berg-Garten",NA
"Allium lusitanicum","Hof Berg-Garten",NA
"Allium rotundum","Hof Berg-Garten",NA
"Allium schoenoprasum","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/allium-schoenoprasum-saatgut-kaufen.html"
"Allium schoenoprasum","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/allium-schoenoprasum-519-wildpflanze-naturnah.html"
"Allium sphaerocephalon","Hof Berg-Garten",NA
"Allium strictum","Hof Berg-Garten",NA
"Allium suaveolens","Hof Berg-Garten",NA
