"Species","Producer","URL"
"Abies alba","Blauetikett Bornträger",NA
"Acer campestre","Blauetikett Bornträger",NA
"Acer monspessulanum","Blauetikett Bornträger",NA
"Acer opalus","Blauetikett Bornträger",NA
"Achillea macrophylla","Blauetikett Bornträger",NA
"Achillea nobilis","Blauetikett Bornträger",NA
"Achillea ptarmica","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/achillea-ptarmica-bertramsgarbe.html"
"Achillea salicifolia","Blauetikett Bornträger",NA
"Acinos arvensis","Blauetikett Bornträger",NA
"Aconitum lycoctonum","Blauetikett Bornträger",NA
"Aconitum napellus","Blauetikett Bornträger",NA
"Aconitum variegatum","Blauetikett Bornträger",NA
"Actaea spicata","Blauetikett Bornträger",NA
"Adenophora liliifolia","Blauetikett Bornträger",NA
"Adonis aestivalis","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/adonis-aestivalis-blutstr-pfchen.html"
"Adonis vernalis","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/adonis-vernalis-sommeradonisroeschen.html"
"Aethusa cynapium","Blauetikett Bornträger",NA
"Agrimonia eupatoria","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/agrimonia-eupatoria-kleiner-odermennig.html"
"Agrimonia procera","Blauetikett Bornträger",NA
"Agrostemma githago","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/agrostemma-githago-kornrade.html"
"Agrostis vinealis","Blauetikett Bornträger",NA
"Ajuga chamaepitys","Blauetikett Bornträger",NA
"Ajuga genevensis","Blauetikett Bornträger",NA
"Ajuga reptans","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/ajuga-reptans-kriechender-g-nsel.html"
"Alchemilla alpina","Blauetikett Bornträger",NA
"Alchemilla hoppeana","Blauetikett Bornträger",NA
"Alchemilla vulgaris","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/alchemilla-vulgaris-frauenmantel.html"
"Alchemilla xanthochlora","Blauetikett Bornträger",NA
"Alisma lanceolatum","Blauetikett Bornträger",NA
"Alisma plantago-aquatica","Blauetikett Bornträger",NA
"Allium angulosum","Blauetikett Bornträger",NA
"Allium carinatum","Blauetikett Bornträger",NA
"Allium lusitanicum","Blauetikett Bornträger",NA
"Allium rotundum","Blauetikett Bornträger",NA
"Allium schoenoprasum","Blauetikett Bornträger",NA
"Allium sphaerocephalon","Blauetikett Bornträger",NA
"Allium strictum","Blauetikett Bornträger",NA
"Allium suaveolens","Blauetikett Bornträger",NA
"Allium ursinum","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/b-rlauch-wilder-knoblauch-allium-ursinum.html"
"Allium ursinum","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/allium-ursinum-baerlauch.html"
"Allium vineale","Blauetikett Bornträger",NA
"Alnus alnobetula","Blauetikett Bornträger",NA
"Althaea officinalis","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/althaea-officinalis-eibisch.html"
"Alyssum alyssoides","Blauetikett Bornträger",NA
"Alyssum montanum","Blauetikett Bornträger",NA
"Ambrosia artemisiifolia","Blauetikett Bornträger",NA
"Amelanchier ovalis","Blauetikett Bornträger",NA
"Ammophila arenaria","Blauetikett Bornträger",NA
"Anagallis arvensis","Blauetikett Bornträger",NA
"Anagallis tenella","Blauetikett Bornträger",NA
"Anarrhinum bellidifolium","Blauetikett Bornträger",NA
"Anchusa arvensis","Blauetikett Bornträger",NA
"Anchusa officinalis","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/anchusa-officinalis-ochsenzunge.html"
"Andromeda polifolia","Blauetikett Bornträger",NA
"Anemone narcissiflora","Blauetikett Bornträger",NA
"Anemone nemorosa","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/anemone-nemorosa-buschwindr-schen.html"
"Anemone ranunculoides","Blauetikett Bornträger",NA
