"Species","Producer","URL"
"Abies alba","Rieger-Hofmann",NA
"Acer campestre","Rieger-Hofmann",NA
"Acer monspessulanum","Rieger-Hofmann",NA
"Acer opalus","Rieger-Hofmann",NA
"Achillea macrophylla","Rieger-Hofmann",NA
"Achillea nobilis","Rieger-Hofmann",NA
"Achillea ptarmica","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=0"
"Achillea salicifolia","Rieger-Hofmann",NA
"Acinos arvensis","Rieger-Hofmann",NA
"Aconitum lycoctonum","Rieger-Hofmann",NA
"Aconitum napellus","Rieger-Hofmann",NA
"Aconitum variegatum","Rieger-Hofmann",NA
"Actaea spicata","Rieger-Hofmann",NA
"Adenophora liliifolia","Rieger-Hofmann",NA
"Adonis aestivalis","Rieger-Hofmann",NA
"Adonis vernalis","Rieger-Hofmann",NA
"Aethusa cynapium","Rieger-Hofmann",NA
"Agrimonia eupatoria","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=0"
"Agrimonia procera","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=0"
"Agrostemma githago","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=0"
"Agrostis vinealis","Rieger-Hofmann",NA
"Ajuga chamaepitys","Rieger-Hofmann",NA
"Ajuga genevensis","Rieger-Hofmann",NA
"Ajuga reptans","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=0"
"Alchemilla alpina","Rieger-Hofmann",NA
"Alchemilla hoppeana","Rieger-Hofmann",NA
"Alchemilla vulgaris","Rieger-Hofmann",NA
"Alchemilla xanthochlora","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=0"
"Alisma lanceolatum","Rieger-Hofmann",NA
"Alisma plantago-aquatica","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=0"
"Allium angulosum","Rieger-Hofmann",NA
"Allium carinatum","Rieger-Hofmann",NA
