"Species","Producer","URL"
"Abies alba",NA,NA
"Acer campestre","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/artikel/3562/acer-campestre"
"Acer monspessulanum","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/artikel/2016/acer-monspessulanum"
"Acer opalus",NA,NA
"Achillea macrophylla",NA,NA
"Achillea nobilis","Staudengärtnerei StaudenSpatz","https://www.staudenspatz.de/edle-schafgarbe-duft-scharfgarbe-achillea-nobilis.html"
"Achillea nobilis","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/artikel/2492/achillea-nobilis"
"Achillea nobilis","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/achillea-nobilis-saatgut-kaufen.html"
"Achillea nobilis","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/achillea-nobilis-506-wildpflanze-naturnah.html"
"Achillea ptarmica","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=0"
"Achillea ptarmica","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/achillea-ptarmica-bertramsgarbe.html"
"Achillea ptarmica","Staudengärtnerei StaudenSpatz","https://www.staudenspatz.de/sumpf-schafgarbe-achillea-ptarmica.html"
"Achillea ptarmica","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/artikel/1729/achillea-ptarmica"
"Achillea ptarmica","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/achillea-ptarmica-saatgut-kaufen.html"
"Achillea ptarmica","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/achillea-ptarmica-507-wildpflanze-naturnah.html"
"Achillea ptarmica","Staudengärtnerei Gaißmayer","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Achillea%20ptarmica"
"Achillea salicifolia",NA,NA
