State,Species,Endangerment,Light,Water,Nutrients,PH-value,Soil,Freezing tolerance,Maximale height,Flower color,Bees,Butterflies,Birds,Mammals,Roof,Balcony,h_binned
Brandenburg,Abies alba,1,Sun to Shade,moist,N-rich,NA,normal to humus,to -23 °C (to Climatic zone 6),4000,yellow,NA,Butterflies (17 spp.),NA,17 spp. of mammals,NA,NA,100+ cm
Saxony,Abies alba,1,Sun to Shade,moist,N-rich,NA,normal to humus,to -23 °C (to Climatic zone 6),4000,yellow,NA,Butterflies (17 spp.),NA,17 spp. of mammals,NA,NA,100+ cm
Brandenburg,Acer campestre,G,Sun to Half-shade,moist to dry,N-poor to intermediate,NA,permeable to normal,to -28 °C (to Climatic zone 5),1500,green,Bees (16 spp.),Butterflies (23 spp.),Birds (23 spp.),23 spp. of mammals,NA,NA,100+ cm
Bavaria,Acer monspessulanum,3,Sun to Half-shade,moist to dry,intermediate,NA,NA,to -23 °C (to Climatic zone 6),1000,green,NA,Butterflies (2 spp.),NA,NA,NA,NA,100+ cm
Baden-Württemberg,Acer opalus,R,Sun to Half-shade,moist to dry,intermediate,alkaline,normal,NA,1200,yellow,NA,NA,NA,NA,NA,NA,100+ cm
Bavaria,Achillea macrophylla,R,Sun to Half-shade,wet to moist,intermediate to N-rich,NA,permeable to normal,NA,100,white,NA,NA,NA,NA,NA,NA,60-100 cm
Baden-Württemberg,Achillea nobilis,3,Sun to Half-shade,moist to dry,N-rich,alkaline,loamy,to -23 °C (to Climatic zone 6),50,white,NA,Butterflies (1 spp.),NA,1 spp. of mammals,yes,yes,40-60 cm
Hesse,Achillea nobilis,3,Sun to Half-shade,moist to dry,N-rich,alkaline,loamy,to -23 °C (to Climatic zone 6),50,white,NA,Butterflies (1 spp.),NA,1 spp. of mammals,yes,yes,40-60 cm
North Rhine-Westphalia,Achillea nobilis,0,Sun to Half-shade,moist to dry,N-rich,alkaline,loamy,to -23 °C (to Climatic zone 6),50,white,NA,Butterflies (1 spp.),NA,1 spp. of mammals,yes,yes,40-60 cm
Saxony,Achillea nobilis,1,Sun to Half-shade,moist to dry,N-rich,alkaline,loamy,to -23 °C (to Climatic zone 6),50,white,NA,Butterflies (1 spp.),NA,1 spp. of mammals,yes,yes,40-60 cm
Saxony-Anhalt,Achillea nobilis,3,Sun to Half-shade,moist to dry,N-rich,alkaline,loamy,to -23 °C (to Climatic zone 6),50,white,NA,Butterflies (1 spp.),NA,1 spp. of mammals,yes,yes,40-60 cm
Berlin,Achillea ptarmica,3,Sun to Half-shade,wet to moist,intermediate to N-rich,NA,permeable to normal,to -28 °C (to Climatic zone 5),70,white,Bees,Butterflies (2 spp.),NA,1 spp. of mammals,NA,NA,60-100 cm
Brandenburg,Achillea ptarmica,V,Sun to Half-shade,wet to moist,intermediate to N-rich,NA,permeable to normal,to -28 °C (to Climatic zone 5),70,white,Bees,Butterflies (2 spp.),NA,1 spp. of mammals,NA,NA,60-100 cm
Hamburg,Achillea ptarmica,V,Sun to Half-shade,wet to moist,intermediate to N-rich,NA,permeable to normal,to -28 °C (to Climatic zone 5),70,white,Bees,Butterflies (2 spp.),NA,1 spp. of mammals,NA,NA,60-100 cm
Mecklenburg-Western Pomerania,Achillea ptarmica,3,Sun to Half-shade,wet to moist,intermediate to N-rich,NA,permeable to normal,to -28 °C (to Climatic zone 5),70,white,Bees,Butterflies (2 spp.),NA,1 spp. of mammals,NA,NA,60-100 cm
North Rhine-Westphalia,Achillea ptarmica,V,Sun to Half-shade,wet to moist,intermediate to N-rich,NA,permeable to normal,to -28 °C (to Climatic zone 5),70,white,Bees,Butterflies (2 spp.),NA,1 spp. of mammals,NA,NA,60-100 cm
Saxony-Anhalt,Achillea ptarmica,V,Sun to Half-shade,wet to moist,intermediate to N-rich,NA,permeable to normal,to -28 °C (to Climatic zone 5),70,white,Bees,Butterflies (2 spp.),NA,1 spp. of mammals,NA,NA,60-100 cm
Schleswig-Holstein,Achillea ptarmica,3,Sun to Half-shade,wet to moist,intermediate to N-rich,NA,permeable to normal,to -28 °C (to Climatic zone 5),70,white,Bees,Butterflies (2 spp.),NA,1 spp. of mammals,NA,NA,60-100 cm
Thuringia,Achillea ptarmica,2,Sun to Half-shade,wet to moist,intermediate to N-rich,NA,permeable to normal,to -28 °C (to Climatic zone 5),70,white,Bees,Butterflies (2 spp.),NA,1 spp. of mammals,NA,NA,60-100 cm
Berlin,Achillea salicifolia,0,Sun to Half-shade,wet to moist,intermediate,NA,NA,NA,60,white,NA,NA,NA,NA,NA,NA,40-60 cm
Brandenburg,Achillea salicifolia,G,Sun to Half-shade,wet to moist,intermediate,NA,NA,NA,60,white,NA,NA,NA,NA,NA,NA,40-60 cm
Saxony-Anhalt,Achillea salicifolia,V,Sun to Half-shade,wet to moist,intermediate,NA,NA,NA,60,white,NA,NA,NA,NA,NA,NA,40-60 cm
Berlin,Acinos arvensis,3,Sun,dry,N-poor,alkaline,permeable,to -12 °C (to Climatic zone 8),30,blue,Bees (2 spp.),NA,NA,NA,NA,NA,0-40 cm
Bremen/Lower Saxony,Acinos arvensis,V,Sun,dry,N-poor,alkaline,permeable,to -12 °C (to Climatic zone 8),30,blue,Bees (2 spp.),NA,NA,NA,NA,NA,0-40 cm
Hamburg,Acinos arvensis,1,Sun,dry,N-poor,alkaline,permeable,to -12 °C (to Climatic zone 8),30,blue,Bees (2 spp.),NA,NA,NA,NA,NA,0-40 cm
Mecklenburg-Western Pomerania,Acinos arvensis,V,Sun,dry,N-poor,alkaline,permeable,to -12 °C (to Climatic zone 8),30,blue,Bees (2 spp.),NA,NA,NA,NA,NA,0-40 cm
North Rhine-Westphalia,Acinos arvensis,3,Sun,dry,N-poor,alkaline,permeable,to -12 °C (to Climatic zone 8),30,blue,Bees (2 spp.),NA,NA,NA,NA,NA,0-40 cm
Saarland,Acinos arvensis,3,Sun,dry,N-poor,alkaline,permeable,to -12 °C (to Climatic zone 8),30,blue,Bees (2 spp.),NA,NA,NA,NA,NA,0-40 cm
