State,Species,Endangerment,NaturaDB
Baden-Württemberg,Aceras anthropophorum,2,not in naturadb
Baden-Württemberg,Adenostyles glabra,0,not in naturadb
Baden-Württemberg,Adonis flammea,1,not in naturadb
Baden-Württemberg,Aira caryophyllea,3,not in naturadb
Baden-Württemberg,Aira praecox,3,not in naturadb
Baden-Württemberg,Ajuga pyramidalis,R,not in naturadb
Baden-Württemberg,Alchemilla connivens,G,not in naturadb
Baden-Württemberg,Alchemilla coriacea,G,not in naturadb
Baden-Württemberg,Alchemilla crinita,R,not in naturadb
Baden-Württemberg,Alchemilla glaucescens,3,not in naturadb
Baden-Württemberg,Alchemilla reniformis,G,not in naturadb
Baden-Württemberg,Alchemilla strigosula,V,not in naturadb
Baden-Württemberg,Alisma gramineum,V,not in naturadb
Baden-Württemberg,Allium scorodoprasum,V,not in naturadb
Baden-Württemberg,Allium senescens ssp. montanum,3,not in naturadb
Baden-Württemberg,Allium victorialis,1,not in naturadb
Baden-Württemberg,Alopecurus rendlei,0,not in naturadb
Baden-Württemberg,Althaea hirsuta,2,not in naturadb
Baden-Württemberg,Amaranthus graecizans ssp. sylvestris,2,not in naturadb
Baden-Württemberg,Ambrosia trifida,2,not in naturadb
Baden-Württemberg,Anacamptis pyramidalis,3,not in naturadb
Baden-Württemberg,Anagallis foemina,3,not in naturadb
Baden-Württemberg,Anagallis minima,3,not in naturadb
Baden-Württemberg,Androsace lactea,1,not in naturadb
Baden-Württemberg,Androsace septentrionalis,0,not in naturadb
Baden-Württemberg,Anthemis cotula,G,not in naturadb
Baden-Württemberg,Anthoxanthum alpinum,V,not in naturadb
Baden-Württemberg,Anthoxanthum aristatum,2,not in naturadb
Baden-Württemberg,Aphanes inexspectata,V,not in naturadb
Baden-Württemberg,Apium repens,1,not in naturadb
Baden-Württemberg,Aposeris foetida,R,not in naturadb
Baden-Württemberg,Arabis auriculata,3,not in naturadb
Baden-Württemberg,Arabis ciliata,0,not in naturadb
Baden-Württemberg,Arabis nemorensis,2,not in naturadb
Baden-Württemberg,Arabis pauciflora,V,not in naturadb
Baden-Württemberg,Arabis turrita,V,not in naturadb
Baden-Württemberg,Aremonia agrimonoides,3,not in naturadb
Baden-Württemberg,Aristolochia clematitis,V,not in naturadb
Baden-Württemberg,Armeria purpurea,0,not in naturadb
Baden-Württemberg,Armeria vulgaris,1,not in naturadb
Baden-Württemberg,Arnoseris minima,1,not in naturadb
Baden-Württemberg,Asperugo procumbens,2,not in naturadb
Baden-Württemberg,Asperula arvensis,0,not in naturadb
Baden-Württemberg,Asplenium adiantum-nigrum,3,not in naturadb
Baden-Württemberg,Asplenium ceterach,2,not in naturadb
Baden-Württemberg,Asplenium fontanum,R,not in naturadb
Baden-Württemberg,Asplenium obovatum ssp. lanceolatum,R,not in naturadb
Baden-Württemberg,Asplenium septentrionale,V,not in naturadb
Baden-Württemberg,Astragalus danicus,0,not in naturadb
Baden-Württemberg,Bassia laniflora,1,not in naturadb
Baden-Württemberg,Bidens cernuus,3,not in naturadb
Baden-Württemberg,Bidens radiatus,3,not in naturadb
Baden-Württemberg,Bifora radians,2,not in naturadb
