"Species","Producer","URL"
"Abies alba","Staudengärtnerei StaudenSpatz",NA
"Acer campestre","Staudengärtnerei StaudenSpatz",NA
"Acer monspessulanum","Staudengärtnerei StaudenSpatz",NA
"Acer opalus","Staudengärtnerei StaudenSpatz",NA
"Achillea macrophylla","Staudengärtnerei StaudenSpatz",NA
"Achillea nobilis","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/edle-schafgarbe-duft-scharfgarbe-achillea-nobilis.html"
"Achillea ptarmica","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/sumpf-schafgarbe-achillea-ptarmica.html"
"Achillea salicifolia","Staudengärtnerei StaudenSpatz",NA
"Acinos arvensis","Staudengärtnerei StaudenSpatz",NA
"Aconitum lycoctonum","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/wolfs-eisenhut-aconitum-lycoctonum-ssp-vulparia.html"
"Aconitum napellus","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/berg-eisenhut-aconitum-napellus.html"
"Aconitum napellus","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/berg-eisenhut-schneewittchen-aconitum-napellus-schneewittchen.html"
"Aconitum variegatum","Staudengärtnerei StaudenSpatz",NA
"Actaea spicata","Staudengärtnerei StaudenSpatz",NA
"Adenophora liliifolia","Staudengärtnerei StaudenSpatz",NA
"Adonis aestivalis","Staudengärtnerei StaudenSpatz",NA
"Adonis vernalis","Staudengärtnerei StaudenSpatz",NA
"Aethusa cynapium","Staudengärtnerei StaudenSpatz",NA
"Agrimonia eupatoria","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/odermennig-agrimonia-eupatoria.html"
"Agrimonia procera","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/wohlriechender-odermennig-agrimonia-procera.html"
"Agrostemma githago","Staudengärtnerei StaudenSpatz",NA
"Agrostis vinealis","Staudengärtnerei StaudenSpatz",NA
"Ajuga chamaepitys","Staudengärtnerei StaudenSpatz",NA
"Ajuga genevensis","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/genfer-guensel-ajuga-genevensis.html"
"Ajuga reptans","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/kriechender-guensel-ajuga-reptans.html"
"Ajuga reptans","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/kriechender-guensel-catlins-giant-ajuga-reptans-catlins-giant.html"
"Alchemilla alpina","Staudengärtnerei StaudenSpatz",NA
"Alchemilla hoppeana","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/hoppes-frauenmantel-alchemilla-hoppeana.html"
"Alchemilla vulgaris","Staudengärtnerei StaudenSpatz",NA
"Alchemilla xanthochlora","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/gewoehnlicher-frauenmantel-alchemilla-xanthochlora.html"
"Alisma lanceolatum","Staudengärtnerei StaudenSpatz",NA
"Alisma plantago-aquatica","Staudengärtnerei StaudenSpatz",NA
"Allium angulosum","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/kanten-lauch-allium-angulosum.html"
"Allium carinatum","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/nickender-schoenlauch-allium-carinatum-ssp-pulchellum.html"
"Allium lusitanicum","Staudengärtnerei StaudenSpatz",NA
"Allium rotundum","Staudengärtnerei StaudenSpatz",NA
"Allium schoenoprasum","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/schnittlauch-allium-schoenoprasum.html"
"Allium schoenoprasum","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/schnittlauch-forescate-allium-schoenoprasum-forescate.html"
"Allium schoenoprasum","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/weisser-schnitt-lauch-elbe-allium-schoenoprasum-elbe.html"
"Allium sphaerocephalon","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/kugelkoepfiger-lauch-allium-sphaerocephalon.html"
"Allium strictum","Staudengärtnerei StaudenSpatz",NA
"Allium suaveolens","Staudengärtnerei StaudenSpatz",NA
"Allium ursinum","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/baer-lauch-allium-ursinum.html"
"Allium vineale","Staudengärtnerei StaudenSpatz",NA
"Alnus alnobetula","Staudengärtnerei StaudenSpatz",NA
"Althaea officinalis","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/echter-eibisch-samtpappel-althaea-officinalis.html"
"Alyssum alyssoides","Staudengärtnerei StaudenSpatz",NA
"Alyssum montanum","Staudengärtnerei StaudenSpatz","https://www.stauden-spatzundfrank.de/berg-steinkraut-alyssum-montanum-berggold.html"
"Ambrosia artemisiifolia","Staudengärtnerei StaudenSpatz",NA
"Amelanchier ovalis","Staudengärtnerei StaudenSpatz",NA
"Ammophila arenaria","Staudengärtnerei StaudenSpatz",NA
"Anagallis arvensis","Staudengärtnerei StaudenSpatz",NA
