"Species","Producer","URL"
"Acer campestre","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/artikel/3562/acer-campestre"
"Acer monspessulanum","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/artikel/2016/acer-monspessulanum"
"Achillea nobilis","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/artikel/2492/achillea-nobilis"
"Achillea ptarmica","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/artikel/1729/achillea-ptarmica"
"Acinos arvensis","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/artikel/2807/carlina-acaulis"
"Aconitum lycoctonum","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/artikel/2511/aconitum-lamarckii-lycoctonum-sspneapolitanum"
"Aconitum napellus","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/artikel/2535/aconitum-napellus"
"Agrimonia eupatoria","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/artikel/2592/agrimonia-eupatoria"
"Agrimonia procera","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/artikel/2118/agrimonia-procera"
"Agrostemma githago","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/artikel/1684/agrostemma-githago-sa-10qm"
"Ajuga genevensis","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/artikel/2616/ajuga-genevensis"
"Ajuga reptans","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/artikel/1738/ajuga-reptans"
"Alchemilla alpina","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/artikel/2651/alchemilla-alpina"
