"fed_state","species_cleaned","common_name","rl_cat","species_naturadb"
"Baden-Württemberg","Acer opalus","Schneeballblättriger Ahorn","R","acer-opalus"
"Baden-Württemberg","Aceras anthropophorum","Ohnsporn","2","aceras-anthropophorum"
"Baden-Württemberg","Achillea nobilis","Edel-Schafgarbe","3","achillea-nobilis"
"Baden-Württemberg","Aconitum napellus ssp. lusitanicum","Neuberger Eisenhut","V","aconitum-napellus"
"Baden-Württemberg","Aconitum variegatum","Gescheckter Eisenhut","V","aconitum-variegatum"
"Baden-Württemberg","Adenostyles glabra","Kahler Alpendost","0","adenostyles-glabra"
"Baden-Württemberg","Adonis aestivalis","Sommer-Adonisröschen","3","adonis-aestivalis"
"Baden-Württemberg","Adonis flammea","Flammen-Adonisröschen","1","adonis-flammea"
"Baden-Württemberg","Agrostemma githago","Kornrade","1","agrostemma-githago"
"Baden-Württemberg","Agrostis vinealis","Sand-Straußgras","V","agrostis-vinealis"
"Baden-Württemberg","Aira caryophyllea","Nelken-Schmielenhafer","3","aira-caryophyllea"
"Baden-Württemberg","Aira praecox","Früher Schmielenhafer","3","aira-praecox"
"Baden-Württemberg","Ajuga chamaepitys","Gelber Günsel","2","ajuga-chamaepitys"
"Baden-Württemberg","Ajuga pyramidalis","Pyramiden-Günsel","R","ajuga-pyramidalis"
"Baden-Württemberg","Alchemilla connivens","Zusammenneigender Frauenmantel","G","alchemilla-connivens"
"Baden-Württemberg","Alchemilla coriacea","Leder-Frauenmantel","G","alchemilla-coriacea"
"Baden-Württemberg","Alchemilla crinita","Borstiger Frauenmantel","R","alchemilla-crinita"
"Baden-Württemberg","Alchemilla glaucescens","Filz-Frauenmantel","3","alchemilla-glaucescens"
"Baden-Württemberg","Alchemilla hoppeana","Hoppes Frauenmantel","R","alchemilla-hoppeana"
"Baden-Württemberg","Alchemilla reniformis","Nierenblättriger Frauenmantel","G","alchemilla-reniformis"
"Baden-Württemberg","Alchemilla strigosula","Gestriegelter Frauenmantel","V","alchemilla-strigosula"
"Baden-Württemberg","Alisma gramineum","Gras-Froschlöffel","V","alisma-gramineum"
"Baden-Württemberg","Allium angulosum","Kanten-Lauch","3","allium-angulosum"
"Baden-Württemberg","Allium carinatum","Gekielter Lauch","3","allium-carinatum"
"Baden-Württemberg","Allium rotundum","Runder Lauch","2","allium-rotundum"
"Baden-Württemberg","Allium schoenoprasum","Schnittlauch","V","allium-schoenoprasum"
"Baden-Württemberg","Allium scorodoprasum","Wilder Lauch","V","allium-scorodoprasum"
"Baden-Württemberg","Allium senescens ssp. montanum","Berg-Lauch","3","allium-senescens"
"Baden-Württemberg","Allium sphaerocephalon","Kugel-Lauch","3","allium-sphaerocephalon"
"Baden-Württemberg","Allium suaveolens","Wohlriechender Lauch","3","allium-suaveolens"
"Baden-Württemberg","Allium victorialis","Allermannsharnisch","1","allium-victorialis"
