"cat","val","species","common_name"
"Licht:","Sonne","Allium-cepa","Zwiebel,Zwiebellauch, Gartenzwiebel"
"Boden:","durchlässig bis humus","Allium-cepa","Zwiebel,Zwiebellauch, Gartenzwiebel"
"Wasser:","frisch","Allium-cepa","Zwiebel,Zwiebellauch, Gartenzwiebel"
"Nährstoffe:","nährstoffreicher Boden","Allium-cepa","Zwiebel,Zwiebellauch, Gartenzwiebel"
"Kübel/Balkon geeignet:","ja","Allium-cepa","Zwiebel,Zwiebellauch, Gartenzwiebel"
"Pflanzenart:","Zwiebel","Allium-cepa","Zwiebel,Zwiebellauch, Gartenzwiebel"
"Wuchs:"," aufrecht","Allium-cepa","Zwiebel,Zwiebellauch, Gartenzwiebel"
"Höhe:","20 - 120 cm","Allium-cepa","Zwiebel,Zwiebellauch, Gartenzwiebel"
"Breite:","10 - 15 cm","Allium-cepa","Zwiebel,Zwiebellauch, Gartenzwiebel"
"Wurzelsystem:","Zwiebel","Allium-cepa","Zwiebel,Zwiebellauch, Gartenzwiebel"
"Blütenfarbe:"," weiß","Allium-cepa","Zwiebel,Zwiebellauch, Gartenzwiebel"
"Blühzeit:","jfmamjjasond","Allium-cepa","Zwiebel,Zwiebellauch, Gartenzwiebel"
"Blütenform:","kugelförmig, dicht","Allium-cepa","Zwiebel,Zwiebellauch, Gartenzwiebel"
"Fruchtreife:","jfmamjjasond","Allium-cepa","Zwiebel,Zwiebellauch, Gartenzwiebel"
"Fruchtaroma:","würzig","Allium-cepa","Zwiebel,Zwiebellauch, Gartenzwiebel"
"Bienen:","Bienenweide (5 Arten)","Allium-cepa","Zwiebel,Zwiebellauch, Gartenzwiebel"
"Aussaat:","jfmamjjasond","Allium-cepa","Zwiebel,Zwiebellauch, Gartenzwiebel"
"Pflanzen je ㎡:","100","Allium-cepa","Zwiebel,Zwiebellauch, Gartenzwiebel"
"Ordnung:","Spargelartige","Allium-cepa","Zwiebel,Zwiebellauch, Gartenzwiebel"
"Familie:","Amaryllisgewächse","Allium-cepa","Zwiebel,Zwiebellauch, Gartenzwiebel"
"Gattung:","Lauch","Allium-cepa","Zwiebel,Zwiebellauch, Gartenzwiebel"
"Licht:","Sonne","Allium-porrum","Lauch,Porree, Winterlauch, Breitlauch"
"Boden:","normal bis humus","Allium-porrum","Lauch,Porree, Winterlauch, Breitlauch"
"Wasser:","frisch","Allium-porrum","Lauch,Porree, Winterlauch, Breitlauch"
"Nährstoffe:","nährstoffreicher Boden","Allium-porrum","Lauch,Porree, Winterlauch, Breitlauch"
"Pflanzenart:","Zwiebel","Allium-porrum","Lauch,Porree, Winterlauch, Breitlauch"
"Wuchs:"," aufrecht","Allium-porrum","Lauch,Porree, Winterlauch, Breitlauch"
"Höhe:","60 - 80 cm","Allium-porrum","Lauch,Porree, Winterlauch, Breitlauch"
"Breite:","30 - 40 cm","Allium-porrum","Lauch,Porree, Winterlauch, Breitlauch"
"Wurzelsystem:","Zwiebel","Allium-porrum","Lauch,Porree, Winterlauch, Breitlauch"
"Blütenfarbe:"," weiß","Allium-porrum","Lauch,Porree, Winterlauch, Breitlauch"
"Blühzeit:","jfmamjjasond","Allium-porrum","Lauch,Porree, Winterlauch, Breitlauch"
"Blütenform:","kugelig, vielblütig","Allium-porrum","Lauch,Porree, Winterlauch, Breitlauch"
"Bienen:","Bienenweide (2 Arten)","Allium-porrum","Lauch,Porree, Winterlauch, Breitlauch"
"Aussaat:","jfmamjjasond","Allium-porrum","Lauch,Porree, Winterlauch, Breitlauch"
"Ordnung:","Spargelartige","Allium-porrum","Lauch,Porree, Winterlauch, Breitlauch"
"Familie:","Amaryllisgewächse","Allium-porrum","Lauch,Porree, Winterlauch, Breitlauch"
"Gattung:","Lauch","Allium-porrum","Lauch,Porree, Winterlauch, Breitlauch"
"Licht:","Sonne","Allium-sativum","Knoblauch"
"Boden:","durchlässig bis humus","Allium-sativum","Knoblauch"
"Wasser:","trocken","Allium-sativum","Knoblauch"
"Nährstoffe:","nährstoffreicher Boden","Allium-sativum","Knoblauch"
"Kübel/Balkon geeignet:","ja","Allium-sativum","Knoblauch"
"Pflanzenart:","Zwiebel","Allium-sativum","Knoblauch"
"Wuchs:","bogig, geneigt, horstig","Allium-sativum","Knoblauch"
"Höhe:","45 - 60 cm","Allium-sativum","Knoblauch"
"Breite:","10 - 20 cm","Allium-sativum","Knoblauch"
"Wurzelsystem:","Zwiebel","Allium-sativum","Knoblauch"
"Frostverträglich:","bis -17 °C (bis Klimazone 7)","Allium-sativum","Knoblauch"
"Blütenfarbe:"," weiß","Allium-sativum","Knoblauch"
