"species_cleaned","rl_cat","naturadb_common_name"
"Acer opalus","R","naturadb"
"Achillea macrophylla","R","naturadb"
"Achillea pannonica","V","not in naturadb"
"Achillea roseoalba","2","not in naturadb"
"Achillea setacea","3","not in naturadb"
"Achillea nobilis","V","naturadb"
"Acinos arvensis","V","naturadb"
"Aconitum plicatum","R","not in naturadb"
"Aconitum tauricum","R","not in naturadb"
"Aconitum variegatum","V","naturadb"
"Adenophora liliifolia","1","naturadb"
"Adonis aestivalis","2","naturadb"
"Adonis flammea","1","not in naturadb"
"Adonis vernalis","3","naturadb"
"Aethionema saxatile","1","not in naturadb"
"Agrostemma githago","2","naturadb"
"Agrostis vinealis","V","naturadb"
"Aira caryophyllea","V","not in naturadb"
"Aira praecox","V","not in naturadb"
"Ajuga chamaepitys","2","naturadb"
"Ajuga genevensis","V","naturadb"
"Alchemilla alpina","R","naturadb"
"Alchemilla baltica","R","not in naturadb"
"Alchemilla fallax","R","not in naturadb"
"Alchemilla sericoneura","R","not in naturadb"
"Alchemilla glaucescens","3","not in naturadb"
"Alchemilla plicata","3","not in naturadb"
"Alchemilla splendens","R","not in naturadb"
"Alchemilla carniolica","R","not in naturadb"
"Alchemilla compta","R","not in naturadb"
"Alchemilla cymatophylla","R","not in naturadb"
"Alchemilla filicaulis","V","not in naturadb"
"Alchemilla frigens","R","not in naturadb"
"Alchemilla glabricaulis f.","R","not in naturadb"
"Alchemilla glomerulans","2","not in naturadb"
"Alchemilla hirtipes","R","not in naturadb"
"Alchemilla longituba","R","not in naturadb"
"Alchemilla obscura","R","not in naturadb"
"Alchemilla obtusa","2","not in naturadb"
"Alchemilla propinqua","3","not in naturadb"
"Alchemilla racemulosa","R","not in naturadb"
"Alchemilla rubristipula","R","not in naturadb"
"Alchemilla semisecta","R","not in naturadb"
"Alchemilla subglobosa","3","not in naturadb"
"Alchemilla tenuis","R","not in naturadb"
"Alchemilla tirolensis","R","not in naturadb"
"Alchemilla versipila","R","not in naturadb"
"Aldrovanda vesiculosa","0","not in naturadb"
"Alisma gramineum","3","not in naturadb"
"Allium angulosum","3","naturadb"
"Allium carinatum","3","naturadb"
"Allium cirrhosum","1","naturadb"
"Allium lusitanicum","3","naturadb"
"Allium rotundum","3","naturadb"
"Allium schoenoprasum","V","naturadb"
"Allium sphaerocephalon","3","naturadb"
"Allium strictum","2","naturadb"
"Allium suaveolens","3","naturadb"
"Alopecurus arundinaceus","2","not in naturadb"
"Alopecurus bulbosus","2","not in naturadb"
"Alopecurus rendlei","1","not in naturadb"
"Althaea hirsuta","3","not in naturadb"
"Althaea officinalis","3","naturadb"
"Alyssum alyssoides","3","naturadb"
"Alyssum montanum","3","naturadb"
"Amaranthus blitum","3","not in naturadb"
"Anagallis foemina","3","not in naturadb"
"Anagallis minima","2","not in naturadb"
"Anagallis tenella","2","naturadb"
"Anarrhinum bellidifolium","2","naturadb"
"Anchusa officinalis","V","naturadb"
"Andromeda polifolia","3","naturadb"
"Androsace elongata","1","not in naturadb"
"Androsace hausmannii","R","not in naturadb"
"Androsace lactea","3","not in naturadb"
"Androsace maxima","0","not in naturadb"
"Androsace obtusifolia","1","not in naturadb"
"Androsace septentrionalis","1","not in naturadb"
"Anemonastrum narcissiflorum","3","not in naturadb"
"Anemone baldensis","R","not in naturadb"
"Anemone sylvestris","3","naturadb"
"Angelica palustris","2","naturadb"
"Antennaria carpatica","3","not in naturadb"
"Antennaria dioica","3","naturadb"
"Anthemis arvensis","V","naturadb"
"Anthemis austriaca","V","naturadb"
"Anthemis cotula","V","not in naturadb"
"Anthericum liliago","V","naturadb"
"Anthericum ramosum","V","naturadb"
"Aphanes australis Rydb.","V","not in naturadb"
"Apium graveolens","3","naturadb"
"Aquilegia einseleana","R","not in naturadb"
"Aquilegia vulgaris","V","naturadb"
"Arabidopsis lyrata","2","not in naturadb"
"Arabis auriculata","2","not in naturadb"
"Arabis hirsuta","V","naturadb"
"Arabis nemorensis","2","not in naturadb"
"Arabis sagittata","3","not in naturadb"
"Arctostaphylos uva-ursi","2","naturadb"
"Arenaria ciliata","R","not in naturadb"
"Aristolochia clematitis","V","naturadb"
"Armeria arenaria","0","naturadb"
"Armeria maritima","V","naturadb"
"Armeria purpurea","1","not in naturadb"
"Arnica montana","3","naturadb"
"Arnoseris minima","2","not in naturadb"
"Artemisia laciniata","0","not in naturadb"
"Artemisia mutellina","R","not in naturadb"
"Artemisia rupestris","1","not in naturadb"
"Artemisia scoparia","1","naturadb"
"Arum cylindraceum","R","not in naturadb"
"Asperugo procumbens","2","not in naturadb"
"Asperula arvensis","0","not in naturadb"
"Asperula cynanchica","V","naturadb"
"Asperula neilreichii","R","not in naturadb"
"Asperula tinctoria","3","naturadb"
"Asplenium adiantum-nigrum","3","not in naturadb"
"Asplenium cuneifolium","2","not in naturadb"
"Asplenium adulterinum","2","not in naturadb"
"Asplenium ceterach","3","not in naturadb"
"Asplenium fissum","2","not in naturadb"
"Asplenium fontanum","R","not in naturadb"
"Asplenium obovatum","R","not in naturadb"
"Asplenium seelosii","R","not in naturadb"
"Asplenium septentrionale","V","not in naturadb"
"Asplenium viride","V","not in naturadb"
"Aster amellus","3","naturadb"
"Astragalus alpinus","1","naturadb"
"Astragalus arenarius","2","not in naturadb"
"Astragalus australis","1","not in naturadb"
"Astragalus cicer","V","naturadb"
"Astragalus danicus","3","not in naturadb"
"Astragalus exscapus","2","not in naturadb"
"Astragalus penduliflorus","R","not in naturadb"
"Astrantia bavarica","3","naturadb"
"Atocion armeria","3","not in naturadb"
"Atriplex laciniata","1","not in naturadb"
"Atriplex pedunculata","3","not in naturadb"
"Atriplex calotheca","2","naturadb"
"Atriplex glabriuscula","2","not in naturadb"
"Atriplex praecox","R","not in naturadb"
"Atriplex rosea","3","not in naturadb"
"Aurinia saxatilis","3","not in naturadb"
"Baldellia ranunculoides","2","naturadb"
"Bassia laniflora","2","not in naturadb"
"Betonica officinalis","V","not in naturadb"
"Betula humilis","2","naturadb"
"Betula nana","1","naturadb"
"Blackstonia acuminata","2","not in naturadb"
"Blackstonia perfoliata","2","not in naturadb"
"Blysmus compressus","2","not in naturadb"
"Blysmus rufus","2","not in naturadb"
"Bothriochloa ischoemum","3","not in naturadb"
"Botrychium lunaria","3","not in naturadb"
"Botrychium matricariifolium","2","not in naturadb"
"Botrychium multifidum","1","not in naturadb"
"Botrychium simplex","1","not in naturadb"
"Botrychium virginianum","1","not in naturadb"
"Brassica oleracea","R","naturadb"
"Bromus arvensis","V","not in naturadb"
"Bromus brachystachys","0","not in naturadb"
"Bromus racemosus","3","not in naturadb"
"Bromus grossus","2","not in naturadb"
"Bryonia alba","V","naturadb"
"Buglossoides arvensis","V","not in naturadb"
"Buglossoides incrassata","3","not in naturadb"
"Buglossoides purpurocaerulea","V","naturadb"
"Bunium bulbocastanum","3","not in naturadb"
"Bupleurum falcatum","V","naturadb"
"Bupleurum longifolium","3","naturadb"
"Bupleurum ranunculoides","R","naturadb"
"Bupleurum rotundifolium","2","naturadb"
"Bupleurum tenuissimum","2","not in naturadb"
"Bupleurum virgatum","1","not in naturadb"
"Buxus sempervirens","3","naturadb"
"Calamagrostis rivalis","2","not in naturadb"
"Calamagrostis pseudophragmites","2","naturadb"
"Calamagrostis stricta","3","not in naturadb"
"Calamagrostis varia","V","naturadb"
"Calamintha foliosa","R","not in naturadb"
"Calamintha nepeta","1","naturadb"
"Caldesia parnassifolia","1","not in naturadb"
"Calendula arvensis","1","naturadb"
"Calla palustris","V","naturadb"
"Callitriche hermaphroditica","2","not in naturadb"
"Callitriche brutia","1","not in naturadb"
"Callitriche cophocarpa","V","not in naturadb"
"Caltha palustris","V","naturadb"
"Calystegia soldanella","1","not in naturadb"
"Camelina alyssum","0","not in naturadb"
"Camelina microcarpa","V","not in naturadb"
"Campanula alpina","R","not in naturadb"
"Campanula bononiensis","2","naturadb"
"Campanula cervicaria","1","naturadb"
"Campanula glomerata","3","naturadb"
"Campanula patula","V","naturadb"
"Campanula baumgartenii","3","not in naturadb"
"Campanula sibirica","2","naturadb"
"Campanula thyrsoides","3","not in naturadb"
"Cardamine alpina","R","naturadb"
"Cardamine enneaphyllos","V","not in naturadb"
"Cardamine parviflora","3","not in naturadb"
"Cardamine resedifolia","R","not in naturadb"
"Carduus defloratus","V","naturadb"
"Carduus personata","V","not in naturadb"
"Carex appropinquata","3","not in naturadb"
"Carex aquatilis","3","not in naturadb"
"Carex colchica","V","not in naturadb"
"Carex pseudobrizoides","3","not in naturadb"
"Carex atherodes","R","not in naturadb"
"Carex baldensis","2","not in naturadb"
"Carex bigelowii","2","not in naturadb"
"Carex binervis","3","not in naturadb"
"Carex bohemica","3","not in naturadb"
"Carex buekii","3","not in naturadb"
"Carex buxbaumii","2","not in naturadb"
"Carex hartmaniorum","2","not in naturadb"
"Carex brunnescens","3","not in naturadb"
"Carex capitata","0","not in naturadb"
"Carex caryophyllea","V","naturadb"
"Carex cespitosa","3","not in naturadb"
"Carex chordorrhiza f.","2","not in naturadb"
"Carex curvula","0","not in naturadb"
"Carex davalliana","3","naturadb"
"Carex depauperata","1","not in naturadb"
"Carex diandra","2","naturadb"
"Carex dioica","2","not in naturadb"
"Carex distans","3","not in naturadb"
"Carex ericetorum","3","naturadb"
"Carex extensa","V","not in naturadb"
"Carex demissa","V","not in naturadb"
"Carex flava","V","naturadb"
"Carex lepidocarpa","3","not in naturadb"
"Carex viridula","V","not in naturadb"
"Carex frigida","R","not in naturadb"
"Carex fuliginosa","R","not in naturadb"
"Carex halleriana","R","not in naturadb"
"Carex heleonastes f.","1","not in naturadb"
"Carex hordeistichos","2","not in naturadb"
"Carex hostiana","2","not in naturadb"
"Carex humilis","V","naturadb"
"Carex laevigata","3","not in naturadb"
"Carex lasiocarpa","3","not in naturadb"
"Carex limosa","2","not in naturadb"
"Carex loliacea","0","not in naturadb"
"Carex melanostachya","R","not in naturadb"
"Carex michelii","1","not in naturadb"
"Carex microglochin","0","not in naturadb"
"Carex microstachya","0","not in naturadb"
"Carex obtusata","1","naturadb"
"Carex pallidula","R","not in naturadb"
"Carex panicea","V","naturadb"
"Carex pauciflora","3","not in naturadb"
"Carex paupercula","3","not in naturadb"
"Carex praecox","V","not in naturadb"
"Carex pulicaris","2","not in naturadb"
"Carex punctata","1","not in naturadb"
"Carex rupestris","1","not in naturadb"
"Carex secalina","1","not in naturadb"
"Carex simpliciuscula","R","not in naturadb"
"Carex supina","2","not in naturadb"
"Carex tomentosa","3","not in naturadb"
"Carex trinervis","2","not in naturadb"
"Carex umbrosa","V","naturadb"
"Carex vaginata","R","not in naturadb"
"Carex vulpina","V","naturadb"
"Carlina acaulis","V","naturadb"
"Carlina biebersteinii","3","not in naturadb"
"Carpesium cernuum","0","not in naturadb"
"Carum verticillatum","0","not in naturadb"
"Catabrosa aquatica","2","not in naturadb"
"Caucalis platycarpos","2","not in naturadb"
"Centaurea cyanus","V","naturadb"
"Centaurea phrygia","1","naturadb"
"Centaurea pseudophrygia","3","naturadb"
"Centaurea triumfettii","1","naturadb"
"Centaurium capitatum","R","not in naturadb"
"Centaurium pulchellum","V","not in naturadb"
"Cephalanthera longifolia","V","not in naturadb"
"Cephalanthera rubra","V","not in naturadb"
"Cerastium alpinum","R","not in naturadb"
"Cerastium diffusum","3","not in naturadb"
"Cerastium latifolium","R","not in naturadb"
"Cerastium uniflorum","R","not in naturadb"
"Ceratocephala falcata","0","not in naturadb"
"Ceratophyllum platyacanthum","0","not in naturadb"
"Cerinthe minor","3","naturadb"
"Chamaecytisus ratisbonensis","3","naturadb"
"Chamaecytisus supinus","3","naturadb"
"Chenopodium opulifolium","3","not in naturadb"
"Chenopodium bonus-henricus","3","naturadb"
"Chenopodium murale","2","not in naturadb"
"Chenopodium chenopodioides","2","not in naturadb"
"Chenopodium urbicum","1","not in naturadb"
"Chenopodium vulvaria","2","not in naturadb"
"Chimaphila umbellata","2","not in naturadb"
"Chlorocrepis staticifolia","V","not in naturadb"
"Chondrilla chondrilloides","1","not in naturadb"
"Cicendia filiformis","2","not in naturadb"
"Cicerbita plumieri","R","naturadb"
"Cicuta virosa","V","naturadb"
"Cirsium acaulon","V","naturadb"
"Cirsium canum","2","naturadb"
"Cirsium dissectum","2","not in naturadb"
"Cirsium heterophyllum","V","not in naturadb"
"Cirsium rivulare","3","naturadb"
"Cirsium tuberosum","3","naturadb"
"Cladium mariscus","3","naturadb"
"Clematis recta","3","naturadb"
"Cochlearia anglica","V","not in naturadb"
"Cochlearia bavarica","2","not in naturadb"
"Cochlearia officinalis","2","naturadb"
"Cochlearia pyrenaica","2","not in naturadb"
"Coeloglossum viride","2","not in naturadb"
"Coleanthus subtilis","V","not in naturadb"
"Comastoma tenellum","R","not in naturadb"
"Conringia orientalis","1","not in naturadb"
"Consolida regalis","3","naturadb"
"Corallorhiza trifida","3","not in naturadb"
"Cornus suecica","1","not in naturadb"
"Coronilla coronata","3","naturadb"
"Coronilla vaginalis","3","naturadb"
"Corrigiola litoralis","3","not in naturadb"
"Corydalis pumila","V","naturadb"
"Cotoneaster integerrimus","V","naturadb"
"Cotoneaster tomentosus","V","not in naturadb"
"Crambe maritima","3","naturadb"
"Crassula aquatica","0","not in naturadb"
"Crassula tillaea","2","not in naturadb"
"Crataegus lindmanii","3","not in naturadb"
"Crataegus rhipidophylla","2","not in naturadb"
"Crepis alpestris","3","not in naturadb"
"Crepis conyzifolia","3","not in naturadb"
"Crepis foetida","V","not in naturadb"
"Crepis mollis","3","not in naturadb"
"Crepis pontana","3","not in naturadb"
"Crepis praemorsa","2","not in naturadb"
"Crithmum maritimum","R","naturadb"
"Crocus albiflorus","3","not in naturadb"
"Cryptogramma crispa","2","not in naturadb"
"Cuscuta epilinum","0","not in naturadb"
"Cuscuta epithymum","3","not in naturadb"
"Cyclamen purpurascens","3","naturadb"
"Cynoglossum germanicum","V","not in naturadb"
"Cynoglossum officinale","V","naturadb"
"Cyperus flavescens","1","not in naturadb"
"Cyperus fuscus","3","not in naturadb"
"Cyperus longus","1","naturadb"
"Cyperus michelianus","1","not in naturadb"
"Cypripedium calceolus","3","not in naturadb"
"Cystopteris dickieana","R","not in naturadb"
"Cystopteris sudetica","R","not in naturadb"
"Cytisus nigricans","3","naturadb"
"Dactylorhiza incarnata","3","naturadb"
"Dactylorhiza ochroleuca","2","not in naturadb"
"Dactylorhiza fuchsii","V","not in naturadb"
"Dactylorhiza maculata","3","not in naturadb"
"Dactylorhiza curvifolia","1","not in naturadb"
"Dactylorhiza lapponica","3","not in naturadb"
"Dactylorhiza majalis","3","not in naturadb"
"Dactylorhiza praetermissa","V","naturadb"
"Dactylorhiza ruthei","2","not in naturadb"
"Dactylorhiza sphagnicola","2","not in naturadb"
"Dactylorhiza traunsteineri","2","not in naturadb"
"Dactylorhiza vosagiaca","R","not in naturadb"
"Dactylorhiza sambucina","2","not in naturadb"
"Danthonia alpina","1","not in naturadb"
"Danthonia decumbens","V","naturadb"
"Daphne cneorum","2","naturadb"
"Daphne laureola","R","not in naturadb"
"Deschampsia rhenana","1","not in naturadb"
"Deschampsia wibeliana","3","not in naturadb"
"Deschampsia media","1","not in naturadb"
"Deschampsia setacea","2","not in naturadb"
"Dianthus arenarius","1","naturadb"
"Dianthus carthusianorum","V","naturadb"
"Dianthus deltoides","V","naturadb"
"Dianthus gratianopolitanus","3","naturadb"
"Dianthus superbus","3","naturadb"
