"wittList"
"Acebia guinata"
"Achillea millefolium"
"Achillea nobilis"
"Achillea ptarmica"
"Aconitum napellus"
"Aconitum variegatum"
"Aconitum vulparia"
"Acorus calamus"
"Actaea spicata"
"Actinidia arguta"
"Actinidia aestivalis"
"Actinidia flammea"
"Actinidia vernalis"
"Adoxa moschatellina"
"Agrimonia eupatoria"
"Agrostemma githago"
"Ajuga chamaepitys"
"Ajuga genevensis"
"Ajuga pyramidalis"
"Ajuga reptans"
"Alchemilla vulgaris"
"Alisma plantago-aquatica"
"Allium angulosum"
"Allium carinatum"
"Allium flavum"
"Allium oleraceum"
"Allium rotundum"
"Allium scorodoprasum"
"Allium sphaerocephalon"
"Allium suavolens"
"Allium ursinum"
"Allium victoralis"
"Allium vineale"
"Althaea hirsuta"
"Amelanchier ovalis"
"Ampelopsis aconitifolia"
"Anagallis arvensis"
"Anchusa officinalis"
"Anemone narcissiflora"
"Anemone nemorosa"
"Anemone ranunculoides"
"Angelica silvestris"
"Antennaria dioica"
"Anthemis arvensis"
"Anthemis tinctoria"
"Anthericum liliago"
"Anthoxantum odoratum"
"Anthyllis alpestris"
"Anthyllis vulneraria"
"Antirhimum majus"
"Antirhimum orontium"
"Aquilegia atrata"
"Aquilegia vulgaris"
"Arctium lappa"
"Arctium minus"
"Arctostaphylos uva-ursi"
"Arenatherum elatior"
"Aristolochia clematitis"
"Aristolochia macrophylla"
"Armeria maritima"
"Arnica montana"
"Artemisia absinthium"
"Artemisia vulgaris"
"Arum maculatum"
"Aruncus dioicus"
"Asarum europaeum"
"Asperula cynanchica"
"Asplenium ruta-muraria"
"Asplenium alpinus"
"Asplenium amellus"
"Asplenium linosyris"
"Astragalus alpinus"
"Astragalus danicus"
"Astragalus exscapus"
"Astragalus glycophyllos"
"Astrantia major"
"Atropa belladonna"
"Ballota nigra"
"Bellis perennis"
"Berberis vulgaris"
"Berula erecta"
"Borago officinalis"
"Brachypodium pinnatum"
"Briza media"
"Bromus erectus"
"Bryonia alba"
"Bryonia dioica"
"Bunium bulbocastanum"
"Buphthalmum salicifolium"
"Bupleurum rotundifolium"
"Butomus umbellatus"
"Buxus sempervirens"
"Calamintha acinos"
"Calendula arvensis"
"Calla palustris"
"Calluna vulgaris"
"Calmintha acinos"
"Caltha palustris"
"Camelina microcarpa"
"Camelina sativa"
"Campanula cochleariifolia"
"Campanula glomerata"
"Campanula latifolia"
"Campanula patula"
"Campanula persicifolia"
"Campanula rapunculoides"
"Campanula rapunculus"
"Campanula rotundifolia"
"Campanula thyrsoides"
"Campanula trachelium"
"Campsis radicans"
"Cardamine pratensis"
"Carduus crispus"
"Carduus glaucus"
"Carduus nutans"
"Carex acuta"
"Carlina acaulis"
"Celastrus orbiculatus"
"Centaurea cyanus"
"Centaurea jacea"
"Centaurea montana"
"Centaurea pseudophrygia"
"Centaurea scabiosa"
"Centaurea stoebe"
"Ceratophyllum demersum"
"Ceterach officinarium"
"Chaerophyllum hirsutum"
"Cheiranthus cheiri"
"Chelidonium majus"
"Chrysanthemum corymbosum"
"Chrysanthemum leucanthemum"
"Chrysanthemum segetum"
"Chrysanthemum vulgare"
"Chrysoplenium alternifolium"
"Cichorium intybus"
"Cicuta virosa"
"Cirsium eriophorum"
"Cirsium oleraceum"
"Cirsium palustris"
"Clematis alpina"
"Clematis montana rubens"
"Clematis recta"
"Clematis vitalba"
"Clinopodium vulgare"
"Cobaea scandens"
"Colchicum autumnale"
"Colutea arborescens"
"Consolida regalis"
"Convallaria majalis"
"Cornus mas"
"Cornus sanguinea"
"Coronilla coronata"
"Coronilla emerus"
"Coronilla minima"
