"Bundesland","species","rl_cat","price","size"
"Baden-Württemberg","Achillea nobilis","3",3.4,"Tb 9"
"Baden-Württemberg","Alchemilla hoppeana","R",4.4,"Tb 9"
"Baden-Württemberg","Allium carinatum","3",3.8,"Tb 9"
"Baden-Württemberg","Allium rotundum","2",14.9,"10 St."
"Baden-Württemberg","Antennaria dioica","2",3.4,"Tb 8 oder 9"
"Baden-Württemberg","Anthemis tinctoria","3",4.6,"Portion"
"Baden-Württemberg","Anthericum liliago","3",4.4,"Tb 8 oder 9"
"Baden-Württemberg","Artemisia pontica","1",4.4,"Tb 9"
"Baden-Württemberg","Campanula cochleariifolia","3",3.8,"Tb 9"
"Baden-Württemberg","Daphne cneorum","2",33,"Tb 20/25"
"Baden-Württemberg","Dianthus deltoides","3",3.4,"Tb 9"
"Baden-Württemberg","Dianthus gratianopolitanus","3",3.8,"Tb 9"
"Baden-Württemberg","Draba aizoides","3",3.8,"Tb 8 oder 9"
"Baden-Württemberg","Erica carnea","0",3.5,"Tb 9 10/15"
"Baden-Württemberg","Fumana procumbens","2",6.2,"Tb 9"
"Baden-Württemberg","Gypsophila repens","0",3.4,"Tb 8 oder 9"
"Baden-Württemberg","Helleborus viridis","2",6.2,"Tb 9"
"Baden-Württemberg","Hyssopus officinalis","R",4.4,"Tb 11"
"Baden-Württemberg","Koeleria glauca","2",1.1,"0 (Lieferung in der Regel im Topf)"
"Baden-Württemberg","Marrubium vulgare","1",4.4,"Tb 11"
"Baden-Württemberg","Muscari botryoides","3",6.2,"10 St."
"Baden-Württemberg","Muscari comosum","3",7,"15 St."
"Baden-Württemberg","Muscari neglectum","3",7,"20 St."
"Baden-Württemberg","Potentilla rupestris","2",3.8,"Tb 9"
"Baden-Württemberg","Primula vulgaris","2",3.8,"Tb 9"
"Baden-Württemberg","Pulsatilla vulgaris","3",4.4,"Tb 9"
"Baden-Württemberg","Ruta graveolens","3",4.4,"Tb 9"
"Baden-Württemberg","Sorbus chamaemespilus","R",41.5,"Tb 20/30"
"Baden-Württemberg","Stipa calamagrostis","2",4.8,"Tb 11"
"Baden-Württemberg","Stipa capillata","2",4.4,"Tb 8 oder 9"
"Baden-Württemberg","Stipa pennata","3",4.4,"Tb 8 oder 9"
"Baden-Württemberg","Teucrium montanum","3",6,"Tb 11"
"Baden-Württemberg","Thymus serpyllum","2",3.4,"Tb 8 oder 9"
"Baden-Württemberg","Tulipa sylvestris","3",12.9,"20 St."
"Bayern","Alchemilla alpina","R",3.8,"Tb 9"
"Bayern","Antennaria dioica","3",3.4,"Tb 8 oder 9"
"Bayern","Anthericum liliago","3",4.4,"Tb 8 oder 9"
"Bayern","Calamintha nepeta","1",3.4,"Tb 9"
"Bayern","Chamaecytisus ratisbonensis","3",19,"Tb 10/40"
"Bayern","Chamaecytisus supinus","3",16.5,"Tb 10/40"
"Bayern","Corydalis solida","3",4.8,"Tb 9, 5 St."
"Bayern","Cyclamen purpurascens","3",7,"Tb 9"
"Bayern","Cytisus nigricans","3",13,"Tb 2 Liter 20/30"
"Bayern","Daphne cneorum","2",33,"Tb 20/25"
"Bayern","Dianthus gratianopolitanus","2",3.8,"Tb 9"
"Bayern","Draba aizoides","3",3.8,"Tb 8 oder 9"
"Bayern","Fumana procumbens","2",6.2,"Tb 9"
"Bayern","Gentiana acaulis","3",5.2,"Tb 9"
"Bayern","Helianthemum apenninum","3",3.4,"Tb 9"
"Bayern","Helleborus foetidus","3",4.4,"Tb 9"
"Bayern","Inula ensifolia","0",3.4,"Tb 9"
"Bayern","Luzula nivea","3",3.4,"Tb 9"
"Bayern","Malva moschata","3",3.4,"Tb 9"
"Bayern","Marrubium vulgare","1",4.4,"Tb 11"
"Bayern","Muscari botryoides","3",6.2,"20 St."
"Bayern","Muscari comosum","2",7,"15 St."
"Bayern","Muscari neglectum","2",7,"20 St."
"Bayern","Potentilla rupestris","1",3.8,"Tb 9"
"Bayern","Primula vulgaris","2",3.8,"Tb 9"
"Bayern","Reseda luteola","3",3.4,"Tb 9"
"Bayern","Ribes nigrum","3",15,"Tb 30/50"
"Bayern","Sagina subulata","0",3.2,"Tb 9"
"Bayern","Scilla bifolia","3",6.2,"20 St."
"Bayern","Silene viscaria","3",3.4,"Tb 8 oder 9"
"Bayern","Stipa capillata","2",4.4,"Tb 8 oder 9"
"Bayern","Stipa pennata","2",4.4,"Tb 8 oder 9"
"Bayern","Thymus serpyllum","3",3.4,"Tb 9"
"Berlin","Allium carinatum","1",3.8,"Tb 9"
"Berlin","Allium rotundum","R",14.9,"10 St."
"Berlin","Antennaria dioica","0",3.4,"Tb 8 oder 9"
"Berlin","Anthemis tinctoria","G",4.6,"Portion"
"Berlin","Anthericum liliago","2",4.4,"Tb 8 oder 9"
"Berlin","Anthericum ramosum","2",3.8,"Tb 8 oder 9"
"Berlin","Asplenium trichomanes","2",4.4,"Tb 9"
"Berlin","Briza media","2",1.1,"0 (Lieferung in der Regel im Topf)"
"Berlin","Calluna vulgaris","3",5,"Tb 10/20"
"Berlin","Campanula glomerata","0",3.8,"Tb 9"
"Berlin","Carex flacca","2",3.8,"Tb 9"
"Berlin","Carex montana","0",3.4,"Tb 8 oder 9"
"Berlin","Carex panicea","3",3.8,"Tb 9"
"Berlin","Dianthus carthusianorum","1",3.2,"Tb 8 oder 9"
"Berlin","Dianthus deltoides","3",3.4,"Tb 9"
"Berlin","Helleborus foetidus","R",4.4,"Tb 9"
"Berlin","Inula salicina","1",3.4,"Tb 9"
"Berlin","Koeleria glauca","1",3.4,"Tb 8 oder 9"
"Berlin","Luzula luzuloides","3",3.8,"Tb 9"
"Berlin","Malva moschata","3",3.4,"Tb 9"
"Berlin","Marrubium vulgare","0",4.4,"Tb 11"
"Berlin","Melica nutans","3",3.4,"Tb 9"
"Berlin","Ononis spinosa","0",3.4,"Tb 9"
"Berlin","Pimpinella saxifraga","3",3.4,"Tb 9"
"Berlin","Polystichum aculeatum","0",4.8,"Tb 11"
"Berlin","Primula veris","1",12.5,"Portion"
"Berlin","Prunella grandiflora","0",3.4,"Tb 8 oder 9"
"Berlin","Pulsatilla vulgaris","0",4.4,"Tb 9"
"Berlin","Ranunculus bulbosus","3",3.8,"Tb 9"
"Berlin","Salvia pratensis","G",3.4,"Tb 9"
"Berlin","Stipa capillata","1",4.4,"Tb 8 oder 9"
"Berlin","Stipa pennata","1",4.4,"Tb 8 oder 9"
"Berlin","Teucrium scorodonia","2",3.4,"Tb 9"
"Berlin","Thymus serpyllum","2",3.4,"Tb 8 oder 9"
"Brandenburg","Allium carinatum","R",3.8,"Tb 9"
"Brandenburg","Alyssum montanum","1",3.4,"Tb 9"
"Brandenburg","Antennaria dioica","1",3.4,"Tb 8 oder 9"
"Brandenburg","Anthericum liliago","3",4.4,"Tb 8 oder 9"
"Brandenburg","Anthericum ramosum","3",3.8,"Tb 8 oder 9"
"Brandenburg","Asplenium trichomanes","2",4.4,"Tb 9"
"Brandenburg","Briza media","3",3.4,"Tb 8 oder 9"
"Brandenburg","Campanula glomerata","2",3.8,"Tb 9"
"Brandenburg","Carex flacca","3",3.8,"Tb 9"
"Brandenburg","Carex humilis","3",3.8,"Tb 8 oder 9"
