"Bundesland";"Wissenschaftlicher Name";"rl_cat";"price"
"Baden-Württemberg";"Gypsophila repens";"0";"3,5"
"Baden-Württemberg";"Linum flavum";"2";"4,5"
"Baden-Württemberg";"Ononis natrix";"0";"4,5"
"Baden-Württemberg";"Potentilla alba";"2";"3,9"
"Baden-Württemberg";"Trifolium rubens";"3";"3,9"
"Bayern";"Calamintha nepeta";"1";"3,5"
"Bayern";"Dorycnium germanicum";"3";NA
"Bayern";"Inula ensifolia";"0";"3,5"
"Bayern";"Ornithogalum vulgare";"3";NA
"Bayern";"Petrorhagia saxifraga";"3";"3,2"
"Berlin";"Allium lusitanicum/senescens";"0";NA
"Berlin";"Anthyllis vulneraria";"1";"3,5"
"Berlin";"Campanula trachelium";"0";"3,9"
"Berlin";"Geranium sanguineum";"1";"3,5"
"Berlin";"Salvia pratensis";"G";"3,5"
"Brandenburg";"Anthericum liliago";"3";"4,5"
"Brandenburg";"Helianthemum nummularium";"G";"3,5"
"Brandenburg";"Potentilla rupestris";"0";"3,9"
"Brandenburg";"Primula veris";"3";"3,5"
"Brandenburg";"Veronica spicata";"3";NA
"Bremen/Niedersachsen";"Centaurea montana";"2";"3,9"
"Bremen/Niedersachsen";"Digitalis grandiflora";"2";"3,9"
"Bremen/Niedersachsen";"Fritillaria meleagris";"3";"4,8"
"Bremen/Niedersachsen";"Melittis melissophyllum";"1";"4,8"
"Bremen/Niedersachsen";"Primula vulgaris";"1";"3,9"
"Hamburg";"Campanula rotundifolia";"3";"3,9"
"Hamburg";"Echium vulgare";"3";"3,5"
"Hamburg";"Galium verum";"3";"3,2"
"Hamburg";"Silene vulgaris";"3";"3,5"
"Hamburg";"Solidago virgaurea";"3";"3,5"
"Hessen";"Alyssum montanum";"R";"3,5"
"Hessen";"Euphorbia seguieriana";"2";"3,9"
"Hessen";"Onobrychis arenaria";"0";"3,9"
"Hessen";"Scabiosa ochroleuca";"0";"3,9"
"Hessen";"Teucrium montanum";"R";"6,0"
"Mecklenburg-Vorpommern";"Campanula sibirica";"1";NA
"Mecklenburg-Vorpommern";"Centaurea jacea";"3";"3,5"
"Mecklenburg-Vorpommern";"Limonium vulgare";"2";"3,9"
"Mecklenburg-Vorpommern";"Salvia verticillata";"1";"3,5"
"Mecklenburg-Vorpommern";"Tanacetum corymbosum";"0";"3,9"
"Nordrhein-Westfalen";"Achillea nobilis";"0";"3,5"
"Nordrhein-Westfalen";"Ajuga genevensis";"3";"4,8"
"Nordrhein-Westfalen";"Anthemis tinctoria";"3";"3,2"
"Nordrhein-Westfalen";"Aster amellus";"1";"3,9"
"Nordrhein-Westfalen";"Pulsatilla vulgaris";"3";"3,9"
"Rheinland-Pfalz";"Armeria maritima";"0";"3,5"
"Rheinland-Pfalz";"Inula hirta";"2";"3,9"
"Rheinland-Pfalz";"Muscari neglectum";"2";"7,0"
"Rheinland-Pfalz";"Saxifraga paniculata";"3";"3,5"
"Rheinland-Pfalz";"Scabiosa canescens";"2";"3,9"
"Saarland";"Anemone sylvestris";"0";"3,5"
"Saarland";"Anthericum ramosum";"R";"3,9"
"Saarland";"Dianthus carthusianorum";"R";"3,2"
"Saarland";"Stachys recta";"2";"3,9"
"Saarland";"Trifolium montanum";"3";NA
"Sachsen";"Aster linosyris";"0";"3,9"
"Sachsen";"Campanula glomerata";"1";"3,9"
"Sachsen";"Knautia drymeia";"R";NA
"Sachsen";"Salvia nemorosa";"1";"3,5"
"Sachsen";"Solidago virgaurea ssp. minuta";"R";NA
"Sachsen";"Thymus praecox";"0";"3,5"
"Sachsen-Anhalt";"Allium sphaerocephalon";"0";"6,0"
"Sachsen-Anhalt";"Aster alpinus";"R";"3,9"
"Sachsen-Anhalt";"Dracocephalum ruyschiana";"0";"3,9"
"Sachsen-Anhalt";"Muscari comosum";"1";"7,0"
"Sachsen-Anhalt";"Scabiosa columbaria";"3";"3,9"
"Schleswig-Holstein";"Betonica officinalis";"1";NA
"Schleswig-Holstein";"Campanula persicifolia";"1";"3,5"
"Schleswig-Holstein";"Centaurea scabiosa";"2";"3,9"
"Schleswig-Holstein";"Clinopodium vulgare";"3";"3,5"
"Schleswig-Holstein";"Potentilla verna";"1";NA
"Thüringen";"Dianthus gratianopolitanus";"1";"3,9"
"Thüringen";"Muscari botryoides";"2";"6,2"
"Thüringen";"Potentilla recta";"1";"3,2"
"Thüringen";"Prunella grandiflora";"1";"3,5"
"Thüringen";"Thymus serpyllum";"0";"3,5"
