"values","name"
"https://www.blauetikett.de/samen-1/wildblumen/kamille-echte.html","Kamille, Echte  Samen"
"https://www.blauetikett.de/samen-1/wildblumen/kuemmel.html","Kümmel, Carum carvi"
"https://www.blauetikett.de/samen-1/wildblumen/beifu-artemisia-vulgaris.html","Beifuß, Artemisia vulgaris   Samen"
"https://www.blauetikett.de/samen-1/wildblumen/roemische-kamille-chamaemelum-nobile-biosamen.html","Römische Kamille,Chamaemelum nobile  Samen"
"https://www.blauetikett.de/samen-1/wildblumen/waldmeister-galium-odoratum.html","Waldmeister, Galium odoratum  Samen"
"https://www.blauetikett.de/samen-1/wildblumen/weinraute-ruta-graveolens.html","Weinraute, Ruta graveolens  Samen"
"https://www.blauetikett.de/samen-1/wildblumen/wermut-artemisia-absinthium.html","Wermut, Artemisia absinthium   Samen"
"https://www.blauetikett.de/samen-1/wildblumen/aufgeblasenes-leimkraut-silene-vulgaris.html","Aufgeblasenes Leimkraut, Silene vulgaris"
"https://www.blauetikett.de/samen-1/wildblumen/bach-ehrenpreis-veronica-beccabunga.html","Bach-Ehrenpreis, Veronica beccabunga Samen"
"https://www.blauetikett.de/samen-1/wildblumen/b-rlauch-wilder-knoblauch-allium-ursinum.html","Bärlauch, Wilder Knoblauch, Allium ursinum  Samen"
"https://www.blauetikett.de/samen-1/wildblumen/bl-tensalat-mischung.html","Blütensalat, Mischung"
"https://www.blauetikett.de/samen-1/wildblumen/erdbeerspinat-chenopodium-capitatum.html","Erdbeerspinat, Chenopodium capitatum"
"https://www.blauetikett.de/samen-1/wildblumen/grosse-brennessel-urtica-dioica.html","Große Brennessel, Urtica dioica"
"https://www.blauetikett.de/samen-1/wildblumen/gro-e-klette-arctium-lappa.html","Große Klette, Arctium lappa Samen"
"https://www.blauetikett.de/samen-1/wildblumen/gro-er-sauerampfer-rumex-acetosa.html","Großer Sauerampfer, Rumex acetosa"
"https://www.blauetikett.de/samen-1/wildblumen/grosser-wiesenknopf-sanguisorba-officinalis.html","Großer Wiesenknopf, Sanguisorba officinalis"
"https://www.blauetikett.de/samen-1/wildblumen/guter-heinrich-chenopodium-bonus-henricus.html","Guter Heinrich, Chenopodium bonus henricus Samen"
"https://www.blauetikett.de/samen-1/wildblumen/hirtent-schel-capsella-bursa-pastoris.html","Hirtentäschel, Capsella bursa pastoris  Samen"
"https://www.blauetikett.de/samen-1/wildblumen/kerbelruebe-chaerophyllum-bulbosum.html","Kerbelrübe, Chaerophyllum bulbosum  Samen"
"https://www.blauetikett.de/samen-1/wildblumen/knoblauch-rauke-alliaria-petiolata.html","Knoblauch-Rauke, Alliaria petiolata  Samen"
"https://www.blauetikett.de/samen-1/wildblumen/l-wenzahn-taraxacum-officinalis.html","Löwenzahn, Taraxacum officinalis Samen"
"https://www.blauetikett.de/samen-1/wildblumen/rapontika-nachtkerze-oenothera-biennis.html","Rapontika, Nachtkerze, Oenothera biennis  Samen"
"https://www.blauetikett.de/samen-1/wildblumen/rapunzel-glockenblume-campanula-rapunculus.html","Rapunzel-Glockenblume, Campanula rapunculus  Samen"
"https://www.blauetikett.de/samen-1/wildblumen/schafgarbe-achillea-millefolium.html","Schafgarbe, Achillea millefolium Samen"
"https://www.blauetikett.de/samen-1/wildblumen/vogelmiere-stellaria-media.html","Vogelmiere, Stellaria media  Samen"
"https://www.blauetikett.de/samen-1/wildblumen/wald-ehrenpreis-veronica-officinalis.html","Wald-Ehrenpreis, Veronica officinalis  Samen"
"https://www.blauetikett.de/samen-1/wildblumen/wegmalve-malva-neglecta.html","Wegmalve, Malva neglecta"
"https://www.blauetikett.de/samen-1/wildblumen/wegwarte-cichorium-intybus.html","Wegwarte, Cichorium intybus  Samen"
"https://www.blauetikett.de/samen-1/wildblumen/wei-er-g-nsefu-chenopodium-album.html","Weißer Gänsefuß, Chenopodium album  Samen"
"https://www.blauetikett.de/samen-1/wildblumen/wiesenb-renklau-heracleum-sphondyllium.html","Wiesenbärenklau, Heracleum sphondyllium Samen"
"https://www.blauetikett.de/samen-1/wildblumen/wiesenbocksbart-tragopogon-pratense.html","Wiesenbocksbart, Tragopogon pratense  Samen"
"https://www.blauetikett.de/samen-1/wildblumen/wiesenschl-sselblume-primula-veris.html","Wiesenschlüsselblume, Primula veris  Samen"
"https://www.blauetikett.de/samen-1/wildblumen/wiesenstorchschnabel-geranium-pratense.html","Wiesenstorchschnabel, Geranium pratense Samen"
"https://www.blauetikett.de/samen-1/wildblumen/wiesenstochschnabel-geranium-pratense.html","Wiesenstochschnabel, Geranium pratense Samen   10 g"
