"species","url"
"Agrostemma githago","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Agrostemma%20githago"
"Alchemilla hoppeana","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Alchemilla%20hoppeana"
"Allium carinatum","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Allium%20carinatum"
"Allium schoenoprasum","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Allium%20schoenoprasum"
"Allium sphaerocephalon","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Allium%20sphaerocephalon"
"Althaea officinalis","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Althaea%20officinalis"
"Anemone sylvestris","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Anemone%20sylvestris"
"Antennaria dioica","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Antennaria%20dioica"
"Anthemis tinctoria","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Anthemis%20tinctoria"
"Anthericum liliago","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Anthericum%20liliago"
"Anthericum ramosum","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Anthericum%20ramosum"
"Apium graveolens","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Apium%20graveolens"
"Aquilegia atrata","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Aquilegia%20atrata"
"Aquilegia vulgaris","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Aquilegia%20vulgaris"
"Artemisia pontica","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Artemisia%20pontica"
"Asperula tinctoria","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Asperula%20tinctoria"
"Aster amellus","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Aster%20amellus"
"Aster linosyris","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Aster%20linosyris"
"Buphthalmum salicifolium","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Buphthalmum%20salicifolium"
"Calamagrostis varia","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Calamagrostis%20varia"
"Calla palustris","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Calla%20palustris"
"Campanula cochleariifolia","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Campanula%20cochleariifolia"
"Campanula glomerata","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Campanula%20glomerata"
"Chenopodium bonus-henricus","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Chenopodium%20bonus-henricus"
"Cirsium rivulare","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Cirsium%20rivulare"
"Cyperus longus","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Cyperus%20longus"
"Dianthus carthusianorum","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Dianthus%20carthusianorum"
"Dianthus deltoides","https://www.gaissmayer.de/web/shop/suche/produkte/?suche=Dianthus%20deltoides"
