"values","name"
"https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/aquilegia-vulgaris-saatgut-kaufen.html","Aquilegia vulgaris - Wilde Akelei"
"https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/inula-helenium-saatgut-kaufen.html","Inula helenium - Echter Alant"
"https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/arnica-montana-397-saatgut-kaufen.html","Arnica montana - Arnika"
"https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/valeriana-officinalis-saatgut-kaufen.html","Valeriana officinalis - Baldrian"
"https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/heracleum-sphondylium-saatgut-kaufen.html","Heracleum sphondylium - Wiesenbärenklau"
"https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/allium-ursinum-saatgut-kaufen.html","Allium ursinum - Bärlauch"
"https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/meum-athamanticum-saatgut-kaufen.html","Meum athamanticum - Bärwurz"
"https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/ocimum-basilicum-saatgut-kaufen.html","Ocimum basilicum - Basilikum"
"https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/artemisia-vulgaris-saatgut-kaufen.html","Artemisia vulgaris - Beifuss"
"https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/calamintha-sylvatica-saatgut-kaufen.html","Calamintha sylvatica - Echte Bergminze"
"https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/jasione-montana-saatgut-kaufen.html","Jasione montana - Bergsandglöckchen"
"https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/pimpinella-major-saatgut-kaufen.html","Pimpinella major - Große Bibernelle"
"https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/pimpinella-saxifraga-saatgut-kaufen.html","Pimpinella saxifraga - Kleine Bibernelle"
"https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/festuca-cinerea-saatgut-kaufen.html","Festuca cinerea - Blauschwingel"
"https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/lythrum-salicaria-saatgut-kaufen.html","Lythrum salicaria - Blutweiderich"
"https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/tragopogon-pratensis-saatgut-kaufen.html","Tragopogon pratensis - Wiesenbocksbart"
"https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/satureja-hortensis-saatgut-kaufen.html","Satureja hortensis - Gartenbohnenkraut"
"https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/satureja-montana-saatgut-kaufen.html","Satureja montana - Winterbohnenkraut"
"https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/borago-officinalis-saatgut-kaufen.html","Borago officinalis - Borretsch"
"https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/prunella-grandiflora-saatgut-kaufen.html","Prunella grandiflora - Große Braunelle"
"https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/prunella-vulgaris-saatgut-kaufen.html","Prunella vulgaris - Kleine Braunelle"
"https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/lychnis-chalcedonica-saatgut-kaufen.html","Lychnis chalcedonica - Brennende Liebe"
"https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/urtica-dioica-saatgut-kaufen.html","Urtica dioica - Große Brennessel"
"https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/fagopyrum-esculentum-saatgut-kaufen.html","Fagopyrum esculentum - Buchweizen"
"https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/anethum-graveolens-saatgut-kaufen.html","Anethum graveolens - Dill"
"https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/dictamnus-albus-saatgut-kaufen.html","Dictamnus albus - Diptam"
"https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/carduus-nutans-saatgut-kaufen.html","Carduus nutans - Nickende Distel"
"https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/dracocephalum-moldavica-samen-kaufen-saatgut-kaufen.html","Dracocephalum moldavica - Türkischer Drachenkopf"
"https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/veronica-spicata-saatgut-kaufen.html","Veronica spicata - Ähriger Ehrenpreis"
"https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/veronica-chamaedrys-saatgut-kaufen.html","Veronica chamaedrys - Gamanderehrenpreis"
"https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/veronica-teucrium-saatgut-kaufen.html","Veronica teucrium - Großer Ehrenpreis"
"https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/veronica-officinalis-saatgut-kaufen.html","Veronica officinalis - Waldehrenpreis"
"https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/althaea-officinalis-saatgut-kaufen.html","Althaea officinalis - Echter Eibisch"
"https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/aconitum-napellus-saatgut-kaufen.html","Aconitum napellus - Blauer Eisenhut"
"https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/aconitum-vulparia-saatgut-kaufen.html","Aconitum vulparia - Gelber Eisenhut"
"https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/verbena-officinalis-saatgut-kaufen.html","Verbena officinalis - Eisenkraut"
"https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/angelica-sylvestris-saatgut-kaufen.html","Angelica sylvestris - Gem. Engelwurz"
"https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/gentiana-lutea-saatgut-kaufen.html","Gentiana lutea - Gelber Enzian"
"https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/gentiana-cruciata-saatgut-kaufen.html","Gentiana cruciata - Kreuzenzian"
"https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/fumaria-officinalis-saatgut-kaufen.html","Fumaria officinalis - Erdrauch"
"https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/angelica-archangelica-saatgut-kaufen.html","Angelica archangelica - Erzengelwurz"
"https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/onopordum-acanthium-saatgut-kaufen.html","Onopordum acanthium - Eselsdistel"
"https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/onobrychis-viciifolia-saatgut-kaufen.html","Onobrychis viciifolia - Esparsette"
"https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/anthemis-tinctoria-saatgut-kaufen.html","Anthemis tinctoria - Färberkamille"
"https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/serratula-tinctoria-saatgut-kaufen.html","Serratula tinctoria - Färberscharte"
"https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/isatis-tinctoria-saatgut-kaufen.html","Isatis tinctoria - Färberwaid"
"https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/foeniculum-vulgare-saatgut-kaufen.html","Foeniculum vulgare - Fenchel"
"https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/hypochoeris-radicata-saatgut-kaufen.html","Hypochoeris radicata - Gem. Ferkelkraut"
"https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/sedum-telephium-saatgut-kaufen.html","Sedum telephium - Purpurfetthenne"
"https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/digitalis-lutea-saatgut-kaufen.html","Digitalis lutea - Gelber Fingerhut"
"https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/digitalis-grandiflora-saatgut-kaufen.html","Digitalis grandiflora - Großblüt. Fingerhut"
"https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/digitalis-purpurea-saatgut-kaufen.html","Digitalis purpurea - Roter Fingerhut"
"https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/centaurea-montana-saatgut-kaufen.html","Centaurea montana - Bergflockenblume"
"https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/centaurea-nigra-saatgut-kaufen.html","Centaurea nigra - Dunkle Flockenblume"
"https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/centaurea-stoebe-saatgut-kaufen.html","Centaurea stoebe - Rispenflockenblume"
"https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/centaurea-scabiosa-saatgut-kaufen.html","Centaurea scabiosa - Skabiosenflockenblume"
"https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/centaurea-jacea-saatgut-kaufen.html","Centaurea jacea - Wiesenflockenblume"
