"fed_state","species_cleaned","species_naturadb","rl_cat","naturadb_common_name","naturadb_cat","naturadb_val"
"Baden-Württemberg","Aceras anthropophorum","aceras-anthropophorum","2","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Adenostyles glabra","adenostyles-glabra","0","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Adonis flammea","adonis-flammea","1","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Aira caryophyllea","aira-caryophyllea","3","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Aira praecox","aira-praecox","3","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Ajuga pyramidalis","ajuga-pyramidalis","R","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Alchemilla connivens","alchemilla-connivens","G","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Alchemilla coriacea","alchemilla-coriacea","G","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Alchemilla crinita","alchemilla-crinita","R","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Alchemilla glaucescens","alchemilla-glaucescens","3","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Alchemilla reniformis","alchemilla-reniformis","G","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Alchemilla strigosula","alchemilla-strigosula","V","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Alisma gramineum","alisma-gramineum","V","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Allium scorodoprasum","allium-scorodoprasum","V","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Allium senescens ssp. montanum","allium-senescens","3","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Allium victorialis","allium-victorialis","1","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Alopecurus rendlei","alopecurus-rendlei","0","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Althaea hirsuta","althaea-hirsuta","2","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Amaranthus graecizans ssp. sylvestris","amaranthus-graecizans","2","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Ambrosia trifida","ambrosia-trifida","2","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Anacamptis pyramidalis","anacamptis-pyramidalis","3","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Anagallis foemina","anagallis-foemina","3","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Anagallis minima","anagallis-minima","3","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Androsace lactea","androsace-lactea","1","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Androsace septentrionalis","androsace-septentrionalis","0","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Anthemis cotula","anthemis-cotula","G","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Anthoxanthum alpinum","anthoxanthum-alpinum","V","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Anthoxanthum aristatum","anthoxanthum-aristatum","2","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Aphanes inexspectata","aphanes-inexspectata","V","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Apium repens","apium-repens","1","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Aposeris foetida","aposeris-foetida","R","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Arabis auriculata","arabis-auriculata","3","not in naturadb","not in naturadb","not in naturadb"
"Baden-Württemberg","Arabis ciliata","arabis-ciliata","0","not in naturadb","not in naturadb","not in naturadb"
