"fed_state","species_cleaned","species_naturadb","rl_cat","naturadb_common_name","Bienen","Blütenfarbe","Boden","Dachbegrünung geeignet","Familie","Frostverträglich","Gattung","Höhe","Kübel/Balkon geeignet","Licht","Nährstoffe","PH-Wert","Säugetiere","Schmetterlinge","Vögel","Wasser"
"Baden-Württemberg","Acer opalus","acer-opalus","R","Schneeballblättriger Ahorn",NA,"gelb","normal",NA,"Seifenbaumgewächse",NA,"Ahorne","8 - 12 m",NA,"Sonne bis Halbschatten","normaler Boden","basisch / kalk",NA,NA,NA,"frisch bis trocken"
"Baden-Württemberg","Achillea nobilis","achillea-nobilis","3","Edel-Schafgarbe",NA,"weiß","lehmig","ja","Korbblütler","bis -23 °C (bis Klimazone 6)","Schafgarbe","30 - 50 cm","ja","Sonne bis Halbschatten","nährstoffreicher Boden","basisch / kalk","1 fressende Arten","Schmetterlingsweide (1 Arten)",NA,"frisch bis trocken"
"Baden-Württemberg","Aconitum napellus ssp. lusitanicum","aconitum-napellus","V","Blauer Eisenhut","Bienenweide","blau","durchlässig bis humus",NA,"Hahnenfußgewächse","bis -28 °C (bis Klimazone 5)","Eisenhut","70 - 150 cm",NA,"Sonne bis Halbschatten","nährstoffreicher Boden",NA,NA,"Schmetterlingsweide (5 Arten)",NA,"feucht bis frisch"
"Baden-Württemberg","Aconitum variegatum","aconitum-variegatum","V","Bunter Eisenhut","Bienenweide","violett","normal bis humus",NA,"Hahnenfußgewächse","bis -28 °C (bis Klimazone 5)","Eisenhut","50 - 250 cm",NA,"Sonne bis Halbschatten","nährstoffreicher Boden",NA,NA,"Schmetterlingsweide (2 Arten)",NA,"feucht bis frisch"
"Baden-Württemberg","Adonis aestivalis","adonis-aestivalis","3","Sommer-Adonisröschen,Blutauge, Blutströpfchen, Sommerblutströpfchen, Feuerröschen, Kleines Teufelsauge",NA,"rot","durchlässig bis normal",NA,"Hahnenfußgewächse",NA,"Adonisröschen","25 - 60 cm",NA,"Sonne","normaler Boden",NA,NA,NA,NA,"trocken"
"Baden-Württemberg","Agrostemma githago","agrostemma-githago","1","Gewöhnliche Kornrade","Bienenweide","rot","durchlässig bis normal",NA,"Nelkengewächse",NA,"Konraden","30 - 100 cm",NA,"Sonne bis Halbschatten","nährstoffreicher Boden",NA,"1 fressende Arten","Schmetterlingsweide (1 Arten)",NA,"frisch bis trocken"
"Baden-Württemberg","Agrostis vinealis","agrostis-vinealis","V","Schmalrispiges Straußgras",NA,"grün","durchlässig",NA,"Süßgräser",NA,"Straußgräser","10 - 40 cm",NA,"","nährstoffarmer Boden",NA,NA,"Schmetterlingsweide (1 Arten)",NA,"trocken"
"Baden-Württemberg","Ajuga chamaepitys","ajuga-chamaepitys","2","Gelber Günsel,Acker-Günsel",NA,NA,NA,NA,"Lippenblütler",NA,"Günsel",NA,NA,"",NA,NA,NA,NA,NA,""
"Baden-Württemberg","Alchemilla hoppeana","alchemilla-hoppeana","R","Berg-Silbermantel",NA,"gelb","durchlässig",NA,"Rosengewächse","bis -23 °C (bis Klimazone 6)","Frauenmantel","10 - 20 cm","ja","Sonne","nährstoffarmer Boden",NA,NA,NA,NA,"frisch"
"Baden-Württemberg","Allium angulosum","allium-angulosum","3","Kanten-Lauch","Bienenweide (1 Arten)","rosa","durchlässig bis lehmig",NA,"Amaryllisgewächse","bis -17 °C (bis Klimazone 7)","Lauch","20 - 50 cm",NA,"Sonne bis Halbschatten","nährstoffreicher Boden",NA,NA,"Schmetterlingsweide (1 Arten)",NA,"feucht bis frisch"
"Baden-Württemberg","Allium carinatum","allium-carinatum","3","Kiel-Lauch",NA,"rosa","lehmig",NA,"Amaryllisgewächse","bis -17 °C (bis Klimazone 7)","Lauch","20 - 40 cm","ja","Sonne",NA,NA,NA,NA,NA,"frisch bis trocken"
"Baden-Württemberg","Allium rotundum","allium-rotundum","2","Runder Lauch","Bienenweide (1 Arten)","pink",NA,"ja","Amaryllisgewächse",NA,"Lauch","30 - 60 cm","ja","Sonne bis Halbschatten","nährstoffreicher Boden",NA,NA,NA,NA,"frisch"
"Baden-Württemberg","Allium schoenoprasum","allium-schoenoprasum","V","Schnittlauch","Bienenweide (1 Arten)","rosa","durchlässig","ja","Amaryllisgewächse","bis -28 °C (bis Klimazone 5)","Lauch","10 - 40 cm","ja","Sonne bis Halbschatten","nährstoffreicher Boden",NA,NA,"Schmetterlingsweide (1 Arten)",NA,"frisch"
"Baden-Württemberg","Allium sphaerocephalon","allium-sphaerocephalon","3","Kugelköpfiger Lauch,Kopflauch","Bienenweide (3 Arten)","pink","durchlässig bis normal",NA,"Amaryllisgewächse","bis -28 °C (bis Klimazone 5)","Lauch","40 - 60 cm","ja, Kübelgröße mittel","Sonne","normaler Boden",NA,"1 fressende Arten","Schmetterlingsweide (1 Arten)",NA,"frisch bis trocken"
"Baden-Württemberg","Allium suaveolens","allium-suaveolens","3","Duftlauch,Wohlriechender Lauch","Bienenweide","rosa","lehmig",NA,"Amaryllisgewächse","bis -17 °C (bis Klimazone 7)","Lauch","20 - 60 cm",NA,"Sonne","nährstoffreicher Boden",NA,NA,NA,NA,"feucht bis frisch"
"Baden-Württemberg","Alnus alnobetula","alnus-alnobetula","V","Grün-Erle",NA,"grün","lehmig",NA,"Birkengewächse",NA,"Erlen","1,5 - 2,5 m",NA,"Sonne bis Halbschatten","nährstoffreicher Boden","sauer",NA,"Schmetterlingsweide (4 Arten)",NA,"feucht"
"Baden-Württemberg","Althaea officinalis","althaea-officinalis","2","Echter Eibisch","Bienenweide (1 Arten)","rosa",NA,NA,"Malvengewächse","bis -40 °C (bis Klimazone 3)","Eibisch","1 - 2 m","ja","Sonne bis Halbschatten","nährstoffreicher Boden",NA,"2 fressende Arten","Schmetterlingsweide (2 Arten)",NA,"feucht bis frisch"
"Baden-Württemberg","Alyssum alyssoides","alyssum-alyssoides","3","Kelch-Steinkraut",NA,"gelb","durchlässig",NA,"Kreuzblütlergewächse",NA,"Steinkräuter","5 - 20 cm",NA,"Sonne","nährstoffarmer Boden",NA,NA,NA,NA,"trocken"
"Baden-Württemberg","Alyssum montanum ssp. gmelinii","alyssum-montanum","1","Berg-Steinkraut,Steinkresse, Steinrich","Bienenweide (7 Arten)","gelb","durchlässig","ja","Kreuzblütlergewächse","bis -23 °C (bis Klimazone 6)","Steinkräuter","5 - 20 cm","ja","Sonne bis Schatten","nährstoffarmer Boden",NA,NA,NA,NA,"trocken"
"Baden-Württemberg","Alyssum montanum ssp. montanum","alyssum-montanum","V","Berg-Steinkraut,Steinkresse, Steinrich","Bienenweide (7 Arten)","gelb","durchlässig","ja","Kreuzblütlergewächse","bis -23 °C (bis Klimazone 6)","Steinkräuter","5 - 20 cm","ja","Sonne bis Schatten","nährstoffarmer Boden",NA,NA,NA,NA,"trocken"
"Baden-Württemberg","Anagallis tenella","anagallis-tenella","1","Zarter Gauchheil",NA,"rosa","lehmig",NA,"Primelgewächse",NA,"Gauchheil","8 - 12 cm","ja, Kübelgröße klein","Sonne bis Halbschatten","nährstoffreicher Boden",NA,NA,NA,NA,"feucht"
"Baden-Württemberg","Anchusa officinalis","anchusa-officinalis","3","Gemeine Ochsenzunge","Bienenweide (7 Arten)","violett","durchlässig",NA,"Raublattgewächse","bis -28 °C (bis Klimazone 5)","Ochsenzungen","30 - 100 cm",NA,"Sonne","normaler Boden",NA,"2 fressende Arten","Schmetterlingsweide (2 Arten)",NA,"frisch bis trocken"
"Baden-Württemberg","Andromeda polifolia","andromeda-polifolia","3","Polei-Gränke,Lavendelheide, Rosmarinheide",NA,"weiß","normal bis humus",NA,"Heidekrautgewächse",NA,"Andromeda","15 - 40 cm","ja","Sonne bis Halbschatten","normaler Boden",NA,NA,"Schmetterlingsweide (2 Arten)",NA,"frisch"
"Baden-Württemberg","Anemone narcissiflora","anemone-narcissiflora","3","Narzissen-Windröschen",NA,"weiß","lehmig","ja","Hahnenfußgewächse","bis -40 °C (bis Klimazone 3)","Windröschen","20 - 50 cm","ja","Sonne","nährstoffreicher Boden",NA,NA,NA,NA,"frisch"
"Baden-Württemberg","Anemone sylvestris","anemone-sylvestris","2","Großes Windröschen","Bienenweide","weiß",NA,NA,"Hahnenfußgewächse","bis -34 °C (bis Klimazone 4)","Windröschen","15 - 40 cm",NA,"Sonne bis Halbschatten","nährstoffreicher Boden",NA,NA,NA,NA,"frisch bis trocken"
"Baden-Württemberg","Antennaria dioica","antennaria-dioica","2","Gewöhnliche Katzenpfötchen","Bienenweide","weiß","durchlässig","ja","Korbblütler","bis -28 °C (bis Klimazone 5)","Katzenpfötchen","5 - 15 cm","ja","Sonne","nährstoffarmer Boden","sauer",NA,NA,NA,"trocken"
"Baden-Württemberg","Anthemis arvensis","anthemis-arvensis","V","Acker-Hundskamille","Bienenweide (6 Arten)","weiß",NA,NA,"Korbblütler","bis -12 °C (bis Klimazone 8)","Hundskamille","10 - 70 cm",NA,"Sonne","nährstoffreicher Boden","sauer","3 fressende Arten","Schmetterlingsweide (3 Arten)",NA,"frisch bis trocken"
"Baden-Württemberg","Anthemis tinctoria","anthemis-tinctoria","3","Färberkamille,Färber-Hundskamille","Bienenweide (7 Arten)","gelb","durchlässig",NA,"Korbblütler","bis -23 °C (bis Klimazone 6)","Hundskamille","20 - 50 cm","ja","Sonne","normaler Boden",NA,"2 fressende Arten","Schmetterlingsweide (4 Arten)",NA,"trocken"
"Baden-Württemberg","Anthericum liliago","anthericum-liliago","3","Traubige Graslilie,Astlose Graslilie","Bienenweide","weiß","durchlässig bis normal",NA,"Spargelgewächse","bis -17 °C (bis Klimazone 7)","Graslilien","30 - 60 cm","ja","Sonne bis Halbschatten","nährstoffarmer Boden",NA,"1 fressende Arten","Schmetterlingsweide (1 Arten)",NA,"trocken"
"Baden-Württemberg","Anthericum ramosum","anthericum-ramosum","V","Ästige Graslilie,Rispige Graslilie","Bienenweide (2 Arten)","weiß","durchlässig",NA,"Spargelgewächse","bis -17 °C (bis Klimazone 7)","Graslilien","30 - 60 cm","ja","Sonne","nährstoffarmer Boden",NA,"1 fressende Arten","Schmetterlingsweide (1 Arten)",NA,"trocken"
"Baden-Württemberg","Anthriscus sylvestris ssp. stenophyllus","anthriscus-sylvestris","R","Wiesen-Kerbel","Bienenweide (24 Arten)","weiß","lehmig",NA,"Doldenblütler","bis -17 °C (bis Klimazone 7)","Kerbel","60 - 150 cm",NA,"Sonne bis Halbschatten","nährstoffreicher Boden",NA,"3 fressende Arten","Schmetterlingsweide (5 Arten)",NA,"frisch bis trocken"
"Baden-Württemberg","Anthyllis vulneraria ssp. alpestris","anthyllis-vulneraria","G","Gewöhnlicher Wundklee","Bienenweide (4 Arten)","gelb","durchlässig","ja","Hülsenfrüchtler","bis -17 °C (bis Klimazone 7)","Wundklee","15 - 30 cm","ja, Kübelgröße mittel","Sonne","nährstoffarmer Boden",NA,"2 fressende Arten","Schmetterlingsweide (6 Arten)",NA,"frisch bis trocken"
"Baden-Württemberg","Anthyllis vulneraria ssp. carpatica","anthyllis-vulneraria","V","Gewöhnlicher Wundklee","Bienenweide (4 Arten)","gelb","durchlässig","ja","Hülsenfrüchtler","bis -17 °C (bis Klimazone 7)","Wundklee","15 - 30 cm","ja, Kübelgröße mittel","Sonne","nährstoffarmer Boden",NA,"2 fressende Arten","Schmetterlingsweide (6 Arten)",NA,"frisch bis trocken"
"Baden-Württemberg","Apium graveolens","apium-graveolens","1","Sellerie",NA,"weiß","humus",NA,"Doldenblütler",NA,"Sellerie","30 - 40 cm",NA,"Sonne","nährstoffreicher Boden",NA,"1 fressende Arten","Schmetterlingsweide (1 Arten)",NA,"frisch"
"Baden-Württemberg","Apium nodiflorum","apium-nodiflorum","3","Knotenblütiger Sellerie,Sumpfschirm",NA,"weiß","humus",NA,"Doldenblütler",NA,"Sellerie","30 - 80 cm",NA,"Sonne","nährstoffreicher Boden",NA,NA,NA,NA,"feucht"
"Baden-Württemberg","Aquilegia atrata","aquilegia-atrata","V","Schwarzviolette Akelei","Bienenweide","braun","lehmig",NA,"Hahnenfußgewächse","bis -34 °C (bis Klimazone 4)","Akeleien","30 - 70 cm",NA,"Sonne","normaler Boden",NA,NA,"Schmetterlingsweide",NA,"frisch bis trocken"
"Baden-Württemberg","Aquilegia vulgaris","aquilegia-vulgaris","V","Gemeine Akelei","Bienenweide","blau","durchlässig",NA,"Hahnenfußgewächse","bis -34 °C (bis Klimazone 4)","Akeleien","30 - 80 cm","ja, Kübelgröße mittel","Sonne bis Halbschatten","normaler Boden",NA,NA,"Schmetterlingsweide (3 Arten)",NA,"frisch bis trocken"
"Baden-Württemberg","Arabis alpina","arabis-alpina","2","Alpen-Gänsekresse",NA,"weiß","normal bis humus",NA,"Kreuzblütlergewächse","bis -34 °C (bis Klimazone 4)","Gänsekresse","10 - 40 cm",NA,"Sonne bis Halbschatten","nährstoffreicher Boden","basisch / kalk","3 fressende Arten","Schmetterlingsweide (2 Arten)",NA,"frisch"
"Baden-Württemberg","Arctostaphylos uva-ursi","arctostaphylos-uva-ursi","1","Echte Bärentraube",NA,"weiß","durchlässig bis humus",NA,"Heidekrautgewächse","bis -40 °C (bis Klimazone 3)","Bärentrauben","10 - 30 cm",NA,"Sonne bis Halbschatten","nährstoffarmer Boden",NA,"2 fressende Arten","Schmetterlingsweide (2 Arten)","Vogelnährgehölz (2 Arten)","trocken"
"Baden-Württemberg","Arnica montana","arnica-montana","2","Echte Arnika","Bienenweide","gelb","durchlässig bis lehmig",NA,"Korbblütler","bis -23 °C (bis Klimazone 6)","Arnika","20 - 50 cm",NA,"Sonne","nährstoffarmer Boden","sauer","1 fressende Arten","Schmetterlingsweide (5 Arten)",NA,"feucht bis frisch"
"Baden-Württemberg","Artemisia campestris","artemisia-campestris","V","Feld-Beifuß",NA,"rot","durchlässig",NA,"Korbblütler","bis -45,5 °C (bis Klimazone 2)","Artemisia","30 - 100 cm",NA,"Sonne","nährstoffarmer Boden",NA,"25 fressende Arten","Schmetterlingsweide (30 Arten)",NA,"trocken"
"Baden-Württemberg","Artemisia pontica","artemisia-pontica","1","Pontischer Beifuß,Römischer Wermut",NA,"weiß","durchlässig",NA,"Korbblütler","bis -34 °C (bis Klimazone 4)","Artemisia","30 - 50 cm","ja","Sonne","normaler Boden","basisch / kalk",NA,NA,NA,"trocken"
