"species_cleaned"
"Adoxa moschatellina"
"Ajuga pyramidalis"
"Allium oleraceum"
"Allium scorodoprasum"
"Althaea hirsuta"
"Aristolochia clematitis"
"Astragalus danicus"
"Astragalus exscapus"
"Bunium bulbocastanum"
"Camelina microcarpa"
"Camelina sativa"
"Chrysanthemum segetum"
"Crepis pulchra"
"Cynoglossum germanicum"
"Dianthus seguieri"
"Dorycnium germanicum"
"Dorycnium herbaceum"
"Fragaria vesca"
"Fumaria parviflora"
"Fumaria vaillantii"
"Gentiana ciliata"
"Gentiana germanica"
"Gentiana utriculosa"
"Glaucium corniculatum"
"Iberis intermedia"
"Inula conyza"
"Inula germanica"
"Juncus bulbosus"
"Lathyrus hirsutus"
"Legousia hybrida"
"Lemna gibba"
"Lemna trisulca"
"Leonurus marrubiastrum"
"Lilium bulbiferum"
"Linaria arvensis"
"Linum viscosum"
"Lithospermum arvense"
"Lobelia dortmanna"
"Mimulus moschatus"
"Narcissus radiiflorus"
"Neslia paniculata"
"Nuphar pumila"
"Oenanthe aquatica"
"Potamogeton perfoliatus"
"Potamogeton praelongus"
"Pulsatilla vernalis"
"Ranunculus platanifolius"
"Rosa caesia"
"Rosa pimpinellifolia"
"Saxifraga mutata"
"Silene rupestris"
"Soldanella alpina"
"Sparganium minimum"
"Stachys annua"
"Veronica catenata"
"Veronica fruticans"
"Veronica verna"
"Vicia lathyroides"
"Viola alba"
"Viola mirabilis"
