"values","name"
"https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=0"," Achillea millefolium / Gewöhnliche Schafgarbe"
"https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=0","Achillea ptarmica / Sumpf-Schafgarbe "
"https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=0","Agrimonia eupatoria / Kleiner Odermennig"
"https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=0","Agrimonia procera / Großer Odermennig"
"https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=0","Agrostemma githago / Kornrade"
"https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=0","Ajuga reptans / Kriechender Günsel"
"https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=0","Alchemilla xanthochlora / Gelbgrüner Frauenmantel"
"https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=0","Alisma plantago-aquatica s.str. / Gewöhnlicher Froschlöffel"
"https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=0","Alliaria petiolata / Knoblauchsrauke"
"https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=0","Allium lusitanicum / Berglauch"
"https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=0","Allium schoenoprasum / Schnittlauch"
"https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=0","Anchusa officinalis / Gewöhnliche Ochsenzunge"
"https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=0","Anemone nemorosa / Buschwindröschen"
"https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=0","Angelica sylvestris / Wald-Engelwurz"
"https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=0","Anthriscus sylvestris / Wiesen-Kerbel"
"https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=0","Aquilegia vulgaris s.str. / Gewöhnliche Akelei"
"https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=0","Arabidopsis thaliana / Acker-Schmalwand"
"https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=0","Arctium lappa / Große Klette"
"https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=0","Arctium tomentosum / Filz-Klette"
"https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=0","Arenaria serpyllifolia / Quendelblättriges Sandkraut"
"https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=0","Armeria maritima ssp. elongata / Gemeine Grasnelke"
"https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=0","Artemisia campestris / Feld-Beifuß"
"https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=0","Artemisia vulgaris / Gewöhnlicher Beifuß"
"https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=0","Arum maculatum s.str. / Gefleckter Aronstab"
"https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=0","Asperula cynanchica / Hügel-Meier"
"https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=0","Asperula tinctoria / Färber-Meier"
"https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=0","Atropa belladonna / Tollkirsche"
"https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=0","Barbarea vulgaris s.str. / Echtes Barbarakraut"
"https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=0","Bellis perennis / Gänseblümchen"
