"values","name"
"https://www.stauden-spatzundfrank.de/1000-gaerten-1000-arten-paket-blumenkraeuterrasen.html","1000 Gärten 1000 Arten Paket Blumenkräuterrasen"
"https://www.stauden-spatzundfrank.de/1000-gaerten-1000-arten-paket-sonnenanbeter.html","1000 Gärten 1000 Arten Paket Sonnenanbeter"
"https://www.stauden-spatzundfrank.de/acker-glockenblume-campanula-rapunculoides.html","Acker-Glockenblume (Campanula rapunculoides)"
"https://www.stauden-spatzundfrank.de/aehrige-teufelskralle-phyteuma-spicatum.html","Ährige Teufelskralle (Phyteuma spicatum)"
"https://www.stauden-spatzundfrank.de/aehriger-ehrenpreis-veronica-spicata-neu-pseudolysimachion-spicatum.html","Ähriger Ehrenpreis (Veronica spicata, neu: Pseudolysimachion spicatum)"
"https://www.stauden-spatzundfrank.de/akeleiblaettrige-wiesenraute-thalictrum-aquilegifolium.html","Akeleiblättrige Wiesenraute (Thalictrum aquilegifolium)"
"https://www.stauden-spatzundfrank.de/alpen-akelei-aquilegia-alpina.html","Alpen-Akelei (Aquilegia alpina)"
"https://www.stauden-spatzundfrank.de/alpen-aster-aster-alpinus.html","Alpen-Aster (Aster alpinus)"
"https://www.stauden-spatzundfrank.de/alpen-aster-albus-aster-alpinus-albus.html","Alpen-Aster Albus (Aster alpinus Albus)"
"https://www.stauden-spatzundfrank.de/alpen-aster-albus-plenus-aster-alpinus-albus-plenus.html","Alpen-Aster Albus Plenus (Aster alpinus Albus Plenus)"
"https://www.stauden-spatzundfrank.de/alpen-aster-dunkle-schoene-aster-alpinus-dunkle-schoene.html","Alpen-Aster Dunkle Schöne (Aster alpinus Dunkle Schöne)"
"https://www.stauden-spatzundfrank.de/alpen-aster-pinkie-aster-alpinus-pinkie.html","Alpen-Aster Pinkie (Aster alpinus Pinkie)"
"https://www.stauden-spatzundfrank.de/alpen-aster-sabine-aster-alpinus-sabine.html","Alpen-Aster Sabine (Aster alpinus Sabine)"
"https://www.stauden-spatzundfrank.de/alpen-helmkraut-scutellaria-alpina.html","Alpen-Helmkraut (Scutellaria alpina)"
"https://www.stauden-spatzundfrank.de/alpen-leinkraut-linaria-alpina.html","Alpen-Leinkraut (Linaria alpina)"
"https://www.stauden-spatzundfrank.de/alpen-schuppenkopf-cephalaria-alpina.html","Alpen-Schuppenkopf (Cephalaria alpina)"
"https://www.stauden-spatzundfrank.de/alpen-steinquendel-acinos-alpinus.html","Alpen-Steinquendel (Acinos alpinus)"
"https://www.stauden-spatzundfrank.de/alpenbalsam-albus-erinus-alpinus-albus.html","Alpenbalsam Albus (Erinus alpinus Albus)"
