"Species","Producer","URL"
"Abies alba","Staudengärtnerei StaudenSpatz",NA
"Acer campestre","Staudengärtnerei StaudenSpatz",NA
"Acer monspessulanum","Staudengärtnerei StaudenSpatz",NA
"Acer opalus","Staudengärtnerei StaudenSpatz",NA
"Achillea macrophylla","Staudengärtnerei StaudenSpatz",NA
"Achillea nobilis","Staudengärtnerei StaudenSpatz","https://www.staudenspatz.de/edle-schafgarbe-duft-scharfgarbe-achillea-nobilis.html"
"Achillea ptarmica","Staudengärtnerei StaudenSpatz","https://www.staudenspatz.de/sumpf-schafgarbe-achillea-ptarmica.html"
"Achillea salicifolia","Staudengärtnerei StaudenSpatz",NA
"Acinos arvensis","Staudengärtnerei StaudenSpatz",NA
"Aconitum lycoctonum","Staudengärtnerei StaudenSpatz",NA
"Aconitum napellus","Staudengärtnerei StaudenSpatz","https://www.staudenspatz.de/berg-eisenhut-aconitum-napellus.html"
"Aconitum variegatum","Staudengärtnerei StaudenSpatz",NA
"Actaea spicata","Staudengärtnerei StaudenSpatz",NA
"Adenophora liliifolia","Staudengärtnerei StaudenSpatz",NA
"Adonis aestivalis","Staudengärtnerei StaudenSpatz",NA
"Adonis vernalis","Staudengärtnerei StaudenSpatz",NA
"Aethusa cynapium","Staudengärtnerei StaudenSpatz",NA
"Agrimonia eupatoria","Staudengärtnerei StaudenSpatz",NA
"Agrimonia procera","Staudengärtnerei StaudenSpatz",NA
"Agrostemma githago","Staudengärtnerei StaudenSpatz",NA
"Agrostis vinealis","Staudengärtnerei StaudenSpatz",NA
"Ajuga chamaepitys","Staudengärtnerei StaudenSpatz",NA
"Ajuga genevensis","Staudengärtnerei StaudenSpatz",NA
"Ajuga reptans","Staudengärtnerei StaudenSpatz","https://www.staudenspatz.de/kriechender-guensel-ajuga-reptans.html"
"Alchemilla alpina","Staudengärtnerei StaudenSpatz",NA
"Alchemilla hoppeana","Staudengärtnerei StaudenSpatz","https://www.staudenspatz.de/hoppes-frauenmantel-alchemilla-hoppeana.html"
"Alchemilla vulgaris","Staudengärtnerei StaudenSpatz",NA
"Alchemilla xanthochlora","Staudengärtnerei StaudenSpatz","https://www.staudenspatz.de/gewoehnlicher-frauenmantel-alchemilla-xanthochlora.html"
"Alisma lanceolatum","Staudengärtnerei StaudenSpatz",NA
"Alisma plantago-aquatica","Staudengärtnerei StaudenSpatz",NA
"Allium angulosum","Staudengärtnerei StaudenSpatz","https://www.staudenspatz.de/kanten-lauch-allium-angulosum.html"
"Allium carinatum","Staudengärtnerei StaudenSpatz",NA
"Allium lusitanicum","Staudengärtnerei StaudenSpatz",NA
"Allium rotundum","Staudengärtnerei StaudenSpatz",NA
"Allium schoenoprasum","Staudengärtnerei StaudenSpatz","https://www.staudenspatz.de/schnittlauch-allium-schoenoprasum.html"
"Allium sphaerocephalon","Staudengärtnerei StaudenSpatz","https://www.staudenspatz.de/kugelkoepfiger-lauch-allium-sphaerocephalon.html"
"Allium strictum","Staudengärtnerei StaudenSpatz",NA
"Allium suaveolens","Staudengärtnerei StaudenSpatz",NA
"Allium ursinum","Staudengärtnerei StaudenSpatz","https://www.staudenspatz.de/baer-lauch-allium-ursinum.html"
"Allium vineale","Staudengärtnerei StaudenSpatz",NA
"Alnus alnobetula","Staudengärtnerei StaudenSpatz",NA
"Althaea officinalis","Staudengärtnerei StaudenSpatz",NA
"Alyssum alyssoides","Staudengärtnerei StaudenSpatz",NA
"Alyssum montanum","Staudengärtnerei StaudenSpatz",NA
"Ambrosia artemisiifolia","Staudengärtnerei StaudenSpatz",NA
"Amelanchier ovalis","Staudengärtnerei StaudenSpatz",NA
"Ammophila arenaria","Staudengärtnerei StaudenSpatz",NA
"Anagallis arvensis","Staudengärtnerei StaudenSpatz",NA
"Anagallis tenella","Staudengärtnerei StaudenSpatz",NA
"Anarrhinum bellidifolium","Staudengärtnerei StaudenSpatz",NA
"Anchusa arvensis","Staudengärtnerei StaudenSpatz",NA
"Anchusa officinalis","Staudengärtnerei StaudenSpatz","https://www.staudenspatz.de/ochsenzunge-anchusa-officinalis.html"
"Andromeda polifolia","Staudengärtnerei StaudenSpatz",NA
"Anemone narcissiflora","Staudengärtnerei StaudenSpatz",NA
"Anemone nemorosa","Staudengärtnerei StaudenSpatz",NA
"Anemone ranunculoides","Staudengärtnerei StaudenSpatz","https://www.staudenspatz.de/gelbes-windroeschen-anemone-ranunculoides.html"
"Anemone sylvestris","Staudengärtnerei StaudenSpatz",NA
"Angelica archangelica","Staudengärtnerei StaudenSpatz",NA
"Angelica palustris","Staudengärtnerei StaudenSpatz",NA
"Angelica sylvestris","Staudengärtnerei StaudenSpatz",NA
"Antennaria dioica","Staudengärtnerei StaudenSpatz",NA
"Anthemis arvensis","Staudengärtnerei StaudenSpatz",NA
"Anthemis austriaca","Staudengärtnerei StaudenSpatz",NA
"Anthemis tinctoria","Staudengärtnerei StaudenSpatz",NA
"Anthericum liliago","Staudengärtnerei StaudenSpatz",NA
