"values","name"
"shop-2009-Ungarischer_Akanthus_Acanthus_hungaricus.htm","Acanthus hungaricus -- Ungarischer Akanthus"
"shop-42755-1er_BA¤renklau_Weiche_BA¤rentatze_Acanthus_mollis.htm","Acanthus mollis -- 1er Bärenklau, Weiche Bärentatze"
"shop-697-FeldAhorn_Acer_campestre.htm","Acer campestre -- Feld-Ahorn"
"shop-3-FeldAhorn_Acer_campestre_60100.htm","Acer campestre 60/100 -- Feld-Ahorn"
"shop-406-FranzA¶sischer_Ahorn_Acer_monspessulanum.htm","Acer monspessulanum -- Französischer Ahorn"
"shop-3088-FranzA¶sischer_Ahorn_Acer_monspessulanum.htm","Acer monspessulanum -- Französischer Ahorn"
"shop-2011-GoldSchafgarbe_Achillea_filipendula_Parker.htm","Achillea filipendula Parker -- Gold-Schafgarbe"
"shop-2015-GewA¶hnl_Schafgarbe_WiesenS_Achillea_millefolium.htm","Achillea millefolium -- Gewöhnl. Schafgarbe, Wiesen-S."
"shop-3345-GewA¶hnl_Schafgarbe_WiesenS_Achillea_millefolium.htm","Achillea millefolium -- Gewöhnl. Schafgarbe, Wiesen-S."
"shop-2014-GewA¶hnl_Schafgarbe_WiesenS_Achillea_millefolium_KirschkA¶nigin.htm","Achillea millefolium Kirschkönigin* -- Gewöhnl. Schafgarbe, Wiesen-S."
"shop-2016-Edle_Schafgarbe_DuftSchafgarbe_Achillea_nobilis.htm","Achillea nobilis -- Edle Schafgarbe, Duft-Schafgarbe"
"shop-39674-Edle_Schafgarbe_DuftSchafgarbe_Achillea_nobilis.htm","Achillea nobilis -- Edle Schafgarbe, Duft-Schafgarbe"
"shop-702-SumpfSchafgarbe_Achillea_ptarmica.htm","Achillea ptarmica -- Sumpf-Schafgarbe"
"shop-2017-SumpfSchafgarbe_Achillea_ptarmica.htm","Achillea ptarmica -- Sumpf-Schafgarbe"
"shop-39671-SumpfSchafgarbe_BertramsGarbe_Achillea_ptarmica.htm","Achillea ptarmica -- Sumpf-Schafgarbe, Bertrams-Garbe"
"shop-1571-AlpenSteinquendel_Acinos_alpinus_Calamintha_acinos_zur_Zeit_nicht_lieferbar.htm","Acinos alpinus (Calamintha acinos) zur Zeit nicht lieferbar -- Alpen-Steinquendel"
"shop-3152-HahnenfuAblA¤ttr_Eisenhut_Aconitum_lamarckii_lycoctonum_sspneapolitanum.htm","Aconitum (lamarckii) lycoctonum ssp.neapolitanum -- Hahnenfußblättr. Eisenhut"
"shop-2021-FuchsEisenhut_Gelber_Eisenhut_Aconitum_lycoctonum_sspvulparia.htm","Aconitum lycoctonum ssp.vulparia -- Fuchs-Eisenhut, Gelber Eisenhut"
"shop-2019-Blauer_Eisenhut_Aconitum_napellus.htm","Aconitum napellus -- Blauer Eisenhut"
"shop-2020-Blauer_Eisenhut_weiA_Aconitum_napellus_Album.htm","Aconitum napellus Album -- Blauer Eisenhut, weiß"
"shop-964-SommerAdonisrA¶schen_Adonis_aestivalis_SA_Kaltkeimer.htm","Adonis aestivalis (SA)* (Kaltkeimer) -- Sommer-Adonisröschen"
"shop-2024-GewA¶hnl_Giersch_Aegopodium_podagraria_wuchert_stark.htm","Aegopodium podagraria (wuchert stark) -- Gewöhnl. Giersch"
"shop-3346-GewA¶hnl_Giersch_Aegopodium_podagraria_wuchert_stark.htm","Aegopodium podagraria (wuchert stark) -- Gewöhnl. Giersch"
"shop-2025-WeiApanasch_GewA¶hnl_Giersch_Aegopodium_podagraria_Variegata.htm","Aegopodium podagraria Variegata -- Weißpanasch. Gewöhnl. Giersch"
"shop-3347-WeiApanasch_GewA¶hnl_Giersch_Aegopodium_podagraria_Variegata.htm","Aegopodium podagraria Variegata* -- Weißpanasch. Gewöhnl. Giersch"
"shop-3348-AnisYsop_Agastache_anisata_foeniculum.htm","Agastache anisata (foeniculum) -- Anis-Ysop"
"shop-39223-LemonYsop_Agastache_mexicana_Toronjil_Morado.htm","Agastache mexicana Toronjil Morado -- Lemon-Ysop"
"shop-3699-Koreanische_Minze_Agastache_rugosa_Korean_Zest.htm","Agastache rugosa Korean Zest -- Koreanische Minze"
"shop-3350-Koreanische_Minze_Agastache_rugosa_zur_Zeit_nicht_lieferbar.htm","Agastache rugosa zur Zeit nicht lieferbar -- Koreanische Minze"
"shop-2026-Kleiner_Odermennig_Agrimonia_eupatoria.htm","Agrimonia eupatoria -- Kleiner Odermennig"
"shop-3352-Kleiner_Odermennig_Agrimonia_eupatoria.htm","Agrimonia eupatoria -- Kleiner Odermennig"
"shop-42446-GroAer_Odermennig_Agrimonia_procera.htm","Agrimonia procera -- Großer Odermennig"
"shop-2027-GroAer_Odermennig_Agrimonia_procera.htm","Agrimonia procera -- Großer Odermennig"
"shop-965-GewA¶hnl_Kornrade_Agrostemma_githago_SA_DEAKO006.htm","Agrostemma githago (SA) DE-ÖKO-006 -- Gewöhnl. Kornrade"
"shop-43449-GewA¶hnl_Kornrade_Agrostemma_githago_SA_f10_qm.htm","Agrostemma githago (SA) f.10 qm -- Gewöhnl. Kornrade"
"shop-2028-Genfer_GA¼nsel_HeideG_Ajuga_genevensis_ab_Herbst_2022_wieder_lieferbar.htm","Ajuga genevensis ab Herbst 2022 wieder lieferbar! -- Genfer Günsel, Heide-G."
"shop-2029-Kriechender_GA¼nsel_Ajuga_reptans.htm","Ajuga reptans -- Kriechender Günsel"
"shop-39389-Kriechender_GA¼nsel_Ajuga_reptans.htm","Ajuga reptans -- Kriechender Günsel"
"shop-707-Kriechender_GA¼nsel_weiA_Ajuga_reptans_Alba.htm","Ajuga reptans Alba -- Kriechender Günsel, weiß"
"shop-2031-Kriechender_GA¼nsel_weiA_Ajuga_reptans_Alba.htm","Ajuga reptans Alba -- Kriechender Günsel, weiß"
"shop-39391-Kriechender_GA¼nsel_weiA_Ajuga_reptans_Alba.htm","Ajuga reptans Alba -- Kriechender Günsel, weiß"
"shop-710-Kriechender_GA¼nsel_rosa_Ajuga_reptans_Rosea.htm","Ajuga reptans Rosea -- Kriechender Günsel, rosa"
"shop-2034-Kriechender_GA¼nsel_rosa_Ajuga_reptans_Rosea.htm","Ajuga reptans Rosea -- Kriechender Günsel, rosa"
"shop-39394-Kriechender_GA¼nsel_rosa_Ajuga_reptans_Rosea.htm","Ajuga reptans Rosea -- Kriechender Günsel, rosa"
"shop-42447-GewA¶hnl_Stockrose_Chin_S_Alcea_Althaea_Rosea_Hybr_Mars_Magic.htm","Alcea (Althaea) Rosea Hybr. Mars Magic -- Gewöhnl. Stockrose, Chin. S."
"shop-2043-GewA¶hnl_Stockrose_Chin_S_Alcea_Althaea_Rosea_Hybr_Mars_Magic.htm","Alcea (Althaea) Rosea Hybr. Mars Magic -- Gewöhnl. Stockrose, Chin. S."
"shop-42448-Schwarze_GewA¶hnl_Stockrose_Alcea_Althaea_rosea_varnigra.htm","Alcea (Althaea) rosea var.nigra -- Schwarze Gewöhnl. Stockrose"
"shop-2044-Schwarze_GewA¶hnl_Stockrose_Alcea_Althaea_rosea_varnigra.htm","Alcea (Althaea) rosea var.nigra -- Schwarze Gewöhnl. Stockrose"
"shop-2035-AlpenFrauenmantel_Alchemilla_alpina.htm","Alchemilla alpina -- Alpen-Frauenmantel"
"shop-2036-KaukasusFrauenmantel_Alchemilla_epipsila.htm","Alchemilla epipsila -- Kaukasus-Frauenmantel"
"shop-2039-Hoppes_Frauenmantel_Alchemilla_hoppeana_zur_Zeit_nicht_lieferbar.htm","Alchemilla hoppeana* zur Zeit nicht lieferbar -- Hoppes Frauenmantel"
"shop-2038-GewA¶hnl_Frauenmantel_GelbgrA¼ner_F_Alchemilla_xanthochlora_vulgaris.htm","Alchemilla xanthochlora (vulgaris) -- Gewöhnl. Frauenmantel, Gelbgrüner F."
"shop-40011-GewA¶hnl_Frauenmantel_GelbgrA¼ner_F_Alchemilla_xanthochlora_vulgaris.htm","Alchemilla xanthochlora (vulgaris) -- Gewöhnl. Frauenmantel, Gelbgrüner F."
"shop-711-LanzettblA¤ttr_FroschlA¶ffel_Alisma_lanceolatum.htm","Alisma lanceolatum -- Lanzettblättr. Froschlöffel"
"shop-712-GewA¶hnl_FroschlA¶ffel_Alisma_plantagoaquatica.htm","Alisma plantago-aquatica -- Gewöhnl. Froschlöffel"
"shop-966-GewA¶hnl_Knoblauchsrauke_Alliaria_petiolata_SA_Kaltkeimer.htm","Alliaria petiolata (SA)* (Kaltkeimer) -- Gewöhnl. Knoblauchsrauke"
"shop-42616-GewA¶hnl_Knoblauchsrauke_Alliaria_petiolata_SA_Kaltkeimer.htm","Alliaria petiolata (SA)* (Kaltkeimer) -- Gewöhnl. Knoblauchsrauke"
"shop-2040-GewA¶hnl_Knoblauchsrauke_Alliaria_petiolata_bis_auf_weiteres_nicht_lieferbar.htm","Alliaria petiolata bis auf weiteres nicht lieferbar -- Gewöhnl. Knoblauchsrauke"
"shop-3354-GewA¶hnl_Knoblauchsrauke_Alliaria_petiolata_bis_auf_weiteres_nicht_lieferbar.htm","Alliaria petiolata bis auf weiteres nicht lieferbar -- Gewöhnl. Knoblauchsrauke"
"shop-1640-Kantiger_Lauch_Allium_angulosum.htm","Allium angulosum -- Kantiger Lauch"
"shop-43024-Kantiger_Lauch_Allium_angulosum.htm","Allium angulosum -- Kantiger Lauch"
"shop-507-SchA¶ner_Lauch_Gekielter_Lauch_Allium_carinatum_ssp_pulch_Album_Topf_zur_Zeit_nicht_lieferbar.htm","Allium carinatum ssp. pulch. Album, Topf zur Zeit nicht lieferbar -- Schöner Lauch, Gekielter Lauch"
"shop-506-SchA¶ner_Lauch_Gekielter_Lauch_Allium_carinatum_ssp_pulchellum_Topf.htm","Allium carinatum ssp. pulchellum Topf -- Schöner Lauch, Gekielter Lauch"
"shop-1636-EtagenZwiebel_Allium_cepa_varproliferum.htm","Allium cepa var.proliferum -- Etagen-Zwiebel"
"shop-39176-SternkugelLauch_Allium_christophii_10_St_zur_Zeit_nicht_lieferbar_Ab_Sept_2022_wieder.htm","Allium christophii*, 10 St. zur Zeit nicht lieferbar. Ab Sept. 2022 wieder! -- Sternkugel-Lauch"
"shop-3355-WinterZwiebel_Allium_fistulosum.htm","Allium fistulosum -- Winter-Zwiebel"
"shop-508-Gelber_Lauch_Allium_flavum_Topf.htm","Allium flavum, Topf -- Gelber Lauch"
"shop-43641-RiesenLauch_Allium_Gladiator_3_St_lose_zur_Zeit_nicht_lieferbar_Ab_Sept_2022_wieder.htm","Allium Gladiator*, 3 St., lose zur Zeit nicht lieferbar. Ab Sept. 2022 wieder! -- Riesen-Lauch"
"shop-2954-Schwarzer_Lauch_Allium_nigrum_Topf.htm","Allium nigrum, Topf -- Schwarzer Lauch"
"shop-43298-Runder_Lauch_Allium_rotundum_sspjajlae_10_St_Topf.htm","Allium rotundum ssp.jajlae, 10 St., Topf -- Runder Lauch"
"shop-512-SchnittLauch_Allium_schoenoprasum.htm","Allium schoenoprasum -- Schnitt-Lauch"
"shop-713-SchnittLauch_Allium_schoenoprasum.htm","Allium schoenoprasum -- Schnitt-Lauch"
"shop-36241-SchnittLauch_Allium_schoenoprasum.htm","Allium schoenoprasum -- Schnitt-Lauch"
"shop-42065-SchnittLauch_Allium_schoenoprasum_Wildform_SA_fA¼r_10_qm.htm","Allium schoenoprasum Wildform (SA)* für 10 qm -- Schnitt-Lauch"
"shop-3357-SchnittLauch_Allium_schoenoprasum_Topf.htm","Allium schoenoprasum, Topf -- Schnitt-Lauch"
"shop-904-BergLauch_Allium_senescens_sspmontanum_lusitanicum.htm","Allium senescens ssp.montanum (lusitanicum) -- Berg-Lauch"
"shop-39397-BergLauch_Allium_senescens_sspmontanum_lusitanicum.htm","Allium senescens ssp.montanum (lusitanicum) -- Berg-Lauch"
"shop-43644-BergLauch_Allium_senescens_sspmontanum_lusitanicum_DA.htm","Allium senescens ssp.montanum (lusitanicum) (DA) -- Berg-Lauch"
"shop-43462-BergLauch_Allium_senescens_sspmontanum_lusitanicum_SA_fA¼r_10_qm.htm","Allium senescens ssp.montanum (lusitanicum) (SA)* für 10 qm -- Berg-Lauch"
"shop-1403-KugelLauch_Allium_sphaerocephalon_25_St_zur_Zeit_nicht_lieferbar_Ab_Sept_2022_wieder.htm","Allium sphaerocephalon*, 25 St. zur Zeit nicht lieferbar. Ab Sept. 2022 wieder! -- Kugel-Lauch"
"shop-42602-KugelLauch_Allium_sphaerocephalon_Tb.htm","Allium sphaerocephalon, Tb -- Kugel-Lauch"
"shop-3358-SchnittKnoblauch_Allium_tuberosum.htm","Allium tuberosum -- Schnitt-Knoblauch"
"shop-515-BA¤rLauch_Allium_ursinum_Topf.htm","Allium ursinum, Topf -- Bär-Lauch"
"shop-40016-BA¤rLauch_Allium_ursinum_Topf.htm","Allium ursinum, Topf -- Bär-Lauch"
"shop-12-GrA¼nErle_Alnus_viridisA°.htm","Alnus viridis° -- Grün-Erle"
"shop-36293-BaumAloe_Aloe_arborescens.htm","Aloe arborescens -- Baum-Aloe"
"shop-3561-Aloe_Vera_Aloe_vera.htm","Aloe vera -- Aloe Vera"
"shop-3106-Zitronenstrauch_Zitronenverbene_Aloysia_triphylla_Zitronenverbene.htm","Aloysia triphylla (Zitronenverbene) -- Zitronenstrauch, Zitronenverbene"
"shop-2042-Echter_Eibisch_Althaea_officinalis.htm","Althaea officinalis -- Echter Eibisch"
"shop-3360-Echter_Eibisch_Althaea_officinalis.htm","Althaea officinalis -- Echter Eibisch"
"shop-41229-KelchSteinkraut_Alyssum_alyssoides_SA.htm","Alyssum alyssoides (SA)* -- Kelch-Steinkraut"
"shop-2768-BergSteinkraut_Alyssum_montanum.htm","Alyssum montanum -- Berg-Steinkraut"
"shop-1138-BergSteinkraut_Alyssum_montanum_Berggold.htm","Alyssum montanum Berggold* -- Berg-Steinkraut"
"shop-2045-BergSteinkraut_Alyssum_montanum_Luna.htm","Alyssum montanum Luna -- Berg-Steinkraut"
"shop-1139-Kriechendes_Steinkraut_Alyssum_repens.htm","Alyssum repens -- Kriechendes Steinkraut"
"shop-41534-FelsenSteinkresse_Alyssum_saxatile.htm","Alyssum saxatile -- Felsen-Steinkresse"
