"Wissenschaftlicher Name","Deutscher Name","Produzent","URL"
"Acer campestre","Feldahorn,Maßholder","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/artikel/3562/acer-campestre"
"Acer monspessulanum","Französischer Ahorn,Burgenahorn","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/artikel/2016/acer-monspessulanum"
"Achillea nobilis","Edel-Schafgarbe","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/artikel/2492/achillea-nobilis"
"Achillea ptarmica","Sumpf-Schafgarbe","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/artikel/1729/achillea-ptarmica"
"Acinos arvensis","Steinquendel","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/artikel/2807/carlina-acaulis"
"Aconitum lycoctonum","Wolfs-Eisenhut","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/artikel/2511/aconitum-lamarckii-lycoctonum-sspneapolitanum"
"Aconitum napellus","Blauer Eisenhut","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/artikel/2535/aconitum-napellus"
"Agrimonia eupatoria","Gewöhnlicher Odermennig,Wohlriechender Odermennig, Kleiner Odermennig","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/artikel/2592/agrimonia-eupatoria"
"Agrimonia procera","Großer Odermennig","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/artikel/2118/agrimonia-procera"
"Agrostemma githago","Gewöhnliche Kornrade","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/artikel/1684/agrostemma-githago-sa-10qm"
"Ajuga genevensis","Genfer Günsel","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/artikel/2616/ajuga-genevensis"
"Ajuga reptans","Kriechender Günsel","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/artikel/1738/ajuga-reptans"
"Alchemilla alpina","Alpen-Frauenmantel,Alpen-Silbermantel, Bergfrauenmantel, Silberkraut, Silbermänteli","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/artikel/2651/alchemilla-alpina"
"Alchemilla hoppeana","Berg-Silbermantel","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/artikel/2673/alchemilla-hoppeana"
"Alchemilla vulgaris","Gemeiner Frauenmantel,Alchemilla xanthochlora","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/artikel/2684/alchemilla-xanthochlora-vulgaris"
"Alchemilla xanthochlora","Gelbgrüner Frauenmantel","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/artikel/2684/alchemilla-xanthochlora-vulgaris"
"Alisma lanceolatum","Lanzettblättriger Froschlöffel","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/artikel/1755/alisma-lanceolatum"
"Alisma plantago-aquatica","Gewöhnlicher Froschlöffel","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/artikel/1762/alisma-plantago-aquatica"
"Allium angulosum","Kanten-Lauch","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/artikel/2717/allium-angulosum"
"Allium carinatum","Kiel-Lauch","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/artikel/2726/allium-carinatum-ssp-pulch-album"
"Allium lusitanicum","Berg-Lauch","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/artikel/2167/allium-senescens-sspmontanum-lusitanicum"
"Allium schoenoprasum","Schnittlauch","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/artikel/1772/allium-schoenoprasum"
"Allium sphaerocephalon","Kugelköpfiger Lauch,Kopflauch","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/artikel/2813/allium-sphaerocephalon"
"Allium ursinum","Bärlauch","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/artikel/2826/allium-ursinum"
"Allium vineale","Weinbergs-Lauch","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/artikel/2376/hypericum-perforatum"
"Althaea officinalis","Echter Eibisch","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/artikel/2846/althaea-officinalis"
"Alyssum alyssoides","Kelch-Steinkraut","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/artikel/3269/alyssum-alyssoides-sa"
"Alyssum montanum","Berg-Steinkraut,Steinkresse, Steinrich","Kräuter- und Wildpflanzen-Gärtnerei Strickler","https://www.gaertnerei-strickler.de/artikel/2855/alyssum-montanum"
