"species","avail"
"Acer opalus","not available"
"Aconitum variegatum","not available"
"Agrostis vinealis","not available"
"Ajuga chamaepitys","not available"
"Allium suaveolens","not available"
"Alnus alnobetula","not available"
"Anagallis tenella","not available"
"Andromeda polifolia","not available"
"Anemone narcissiflora","not available"
"Arabis alpina","not available"
"Aster bellidiastrum","not available"
"Bartsia alpina","not available"
"Bryonia alba","not available"
"Bupleurum longifolium","not available"
"Calamagrostis pseudophragmites","not available"
"Campanula cervicaria","not available"
"Campanula rhomboidalis","not available"
"Campanula scheuchzeri","not available"
"Carduus acanthoides","not available"
"Carex davalliana","not available"
"Carex diandra","not available"
"Carex ericetorum","not available"
"Carex sempervirens","not available"
"Ceratophyllum submersum","not available"
"Chondrilla juncea","not available"
"Cicuta virosa","not available"
"Cladium mariscus","not available"
"Coronilla coronata","not available"
"Coronilla vaginalis","not available"
"Corydalis intermedia","not available"
"Crepis tectorum","not available"
"Dactylorhiza incarnata","not available"
"Descurainia sophia","not available"
"Echinocystis lobata","not available"
"Empetrum nigrum","not available"
"Epilobium palustre","not available"
"Erysimum crepidifolium","not available"
"Fagopyrum tataricum","not available"
"Gagea villosa","not available"
"Galeopsis ladanum","not available"
"Galeopsis segetum","not available"
"Galium pumilum","not available"
"Genista germanica","not available"
"Gentiana pneumonanthe","not available"
"Gentianella germanica","not available"
"Gymnadenia conopsea","not available"
"Gypsophila muralis","not available"
"Helianthemum canum","not available"
"Hieracium bauhini","not available"
"Hippocrepis emerus","not available"
"Homogyne alpina","not available"
"Hypochaeris glabra","not available"
"Hypochaeris maculata","not available"
"Juncus subnodulosus","not available"
"Lactuca perennis","not available"
"Lactuca virosa","not available"
"Lathyrus heterophyllus","not available"
"Ledum palustre","not available"
"Lolium temulentum","not available"
"Malus sylvestris","not available"
"Misopates orontium","not available"
"Moehringia muscosa","not available"
"Myricaria germanica","not available"
"Myriophyllum verticillatum","not available"
"Nigella arvensis","not available"
"Nonea pulla","not available"
"Nymphaea alba","not available"
"Odontites luteus","not available"
"Oenanthe peucedanifolia","not available"
"Onobrychis montana","not available"
"Ornithopus perpusillus","not available"
"Oxytropis pilosa","not available"
