"Wissenschaftlicher Name","Deutscher Name","Produzent","URL"
"Acer opalus","Schneeballblättriger Ahorn","Rieger-Hofmann",NA
"Achillea nobilis","Edel-Schafgarbe","Rieger-Hofmann",NA
"Aconitum variegatum","Bunter Eisenhut","Rieger-Hofmann",NA
"Adonis aestivalis","Sommer-Adonisröschen,Blutauge, Blutströpfchen, Sommerblutströpfchen, Feuerröschen, Kleines Teufelsauge","Rieger-Hofmann",NA
"Agrostemma githago","Gewöhnliche Kornrade","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=0"
"Agrostis vinealis","Schmalrispiges Straußgras","Rieger-Hofmann",NA
"Ajuga chamaepitys","Gelber Günsel,Acker-Günsel","Rieger-Hofmann",NA
"Alchemilla hoppeana","Berg-Silbermantel","Rieger-Hofmann",NA
"Allium angulosum","Kanten-Lauch","Rieger-Hofmann",NA
"Allium carinatum","Kiel-Lauch","Rieger-Hofmann",NA
"Allium rotundum","Runder Lauch","Rieger-Hofmann",NA
"Allium schoenoprasum","Schnittlauch","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=0"
"Allium schoenoprasum","Schnittlauch","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/arznei-gewuerz-und-kulturpflanzen.html?tt_products%5Bpp%5D=0"
"Allium schoenoprasum","Schnittlauch","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/arznei-gewuerz-und-kulturpflanzen.html?tt_products%5Bpp%5D=0"
"Allium sphaerocephalon","Kugelköpfiger Lauch,Kopflauch","Rieger-Hofmann",NA
"Allium suaveolens","Duftlauch,Wohlriechender Lauch","Rieger-Hofmann",NA
"Alnus alnobetula","Grün-Erle","Rieger-Hofmann",NA
"Althaea officinalis","Echter Eibisch","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/arznei-gewuerz-und-kulturpflanzen.html?tt_products%5Bpp%5D=0"
"Alyssum alyssoides","Kelch-Steinkraut","Rieger-Hofmann",NA
"Anagallis tenella","Zarter Gauchheil","Rieger-Hofmann",NA
"Anchusa officinalis","Gemeine Ochsenzunge","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=0"
"Andromeda polifolia","Polei-Gränke,Lavendelheide, Rosmarinheide","Rieger-Hofmann",NA
"Anemone narcissiflora","Narzissen-Windröschen","Rieger-Hofmann",NA
"Anemone sylvestris","Großes Windröschen","Rieger-Hofmann",NA
