Bundesland,Wissenschaftlicher Name,Deutscher Name,Familie,Gefährdung,Licht,Wasser,Nährstoffe,PH-Wert,Boden,Frostverträglich,Maximale Höhe,Blütenfarbe,Bienen,Schmetterlinge,Vögel,Säugetiere,Dachbegrünung,Balkon,h_binned
Baden-Württemberg,Acer opalus,Schneeballblättriger Ahorn,Seifenbaumgewächse,R,Sonne bis Halbschatten,frisch bis trocken,normaler Boden,basisch / kalk,normal,NA,1200,gelb,NA,NA,NA,NA,NA,NA,100+ cm
Baden-Württemberg,Achillea nobilis,Edel-Schafgarbe,Korbblütler,3,Sonne bis Halbschatten,frisch bis trocken,nährstoffreicher Boden,basisch / kalk,lehmig,bis -23 °C (bis Klimazone 6),50,weiß,NA,Schmetterlingsweide (1 Arten),NA,1 fressende Arten,ja,ja,40-60 cm
Baden-Württemberg,Aconitum variegatum,Bunter Eisenhut,Hahnenfußgewächse,V,Sonne bis Halbschatten,feucht bis frisch,nährstoffreicher Boden,NA,normal bis humus,bis -28 °C (bis Klimazone 5),250,violett,Bienenweide,Schmetterlingsweide (2 Arten),NA,NA,NA,NA,100+ cm
Baden-Württemberg,Adonis aestivalis,"Sommer-Adonisröschen,Blutauge, Blutströpfchen, Sommerblutströpfchen, Feuerröschen, Kleines Teufelsauge",Hahnenfußgewächse,3,Sonne,trocken,normaler Boden,NA,durchlässig bis normal,NA,60,rot,NA,NA,NA,NA,NA,NA,40-60 cm
Baden-Württemberg,Agrostemma githago,Gewöhnliche Kornrade,Nelkengewächse,1,Sonne bis Halbschatten,frisch bis trocken,nährstoffreicher Boden,NA,durchlässig bis normal,NA,100,rot,Bienenweide,Schmetterlingsweide (1 Arten),NA,1 fressende Arten,NA,NA,60-100 cm
Baden-Württemberg,Agrostis vinealis,Schmalrispiges Straußgras,Süßgräser,V,NA,trocken,nährstoffarmer Boden,NA,durchlässig,NA,40,grün,NA,Schmetterlingsweide (1 Arten),NA,NA,NA,NA,0-40 cm
Baden-Württemberg,Ajuga chamaepitys,"Gelber Günsel,Acker-Günsel",Lippenblütler,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Baden-Württemberg,Alchemilla hoppeana,Berg-Silbermantel,Rosengewächse,R,Sonne,frisch,nährstoffarmer Boden,NA,durchlässig,bis -23 °C (bis Klimazone 6),20,gelb,NA,NA,NA,NA,NA,ja,0-40 cm
Baden-Württemberg,Allium angulosum,Kanten-Lauch,Amaryllisgewächse,3,Sonne bis Halbschatten,feucht bis frisch,nährstoffreicher Boden,NA,durchlässig bis lehmig,bis -17 °C (bis Klimazone 7),50,rosa,Bienenweide (1 Arten),Schmetterlingsweide (1 Arten),NA,NA,NA,NA,40-60 cm
Baden-Württemberg,Allium carinatum,Kiel-Lauch,Amaryllisgewächse,3,Sonne,frisch bis trocken,NA,NA,lehmig,bis -17 °C (bis Klimazone 7),40,rosa,NA,NA,NA,NA,NA,ja,0-40 cm
Baden-Württemberg,Allium rotundum,Runder Lauch,Amaryllisgewächse,2,Sonne bis Halbschatten,frisch,nährstoffreicher Boden,NA,NA,NA,60,pink,Bienenweide (1 Arten),NA,NA,NA,ja,ja,40-60 cm
Baden-Württemberg,Allium schoenoprasum,Schnittlauch,Amaryllisgewächse,V,Sonne bis Halbschatten,frisch,nährstoffreicher Boden,NA,durchlässig,bis -28 °C (bis Klimazone 5),40,rosa,Bienenweide (1 Arten),Schmetterlingsweide (1 Arten),NA,NA,ja,ja,0-40 cm
